stat_id,player_id,mp,min,ninety_s,starts,mn_per_start,compl,subs,mn_per_subs,unsub,ppm,on_g,on_ga,plus_minus,plus_minus_per_90,onxg,onxga,xg_plus_minus,xg_plus_minus_per_90
,,3,52,0.6,0,0.0,0,3,17.0,1,0.67,0,0,0,0.0,0.2,1.2,-1.1,-1.82
,,3,225,2.5,3,75.0,0,0,0.0,1,0.67,0,2,-2,-0.8,2.0,3.7,-1.7,-0.68
,,4,172,1.9,2,57.0,0,2,30.0,0,2.25,4,1,3,1.57,4.0,1.4,2.6,1.36
,,0,0,0.0,0,0.0,0,0,0.0,4,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,1,3,0.0,0,0.0,0,1,3.0,1,3.0,0,0,0,0.0,0.1,0.3,-0.2,-6.0
,,4,349,3.9,4,87.0,2,0,0.0,0,0.5,3,6,-3,-0.77,3.2,3.5,-0.3,-0.09
,,1,1,0.0,0,0.0,0,1,1.0,1,3.0,0,0,0,0.0,0.0,0.0,0.0,-1.01
,,3,183,2.0,2,75.0,1,1,33.0,0,2.0,3,3,0,0.0,2.3,2.9,-0.6,-0.3
,,3,254,2.8,3,85.0,2,0,0.0,0,1.33,4,2,2,0.71,5.0,4.0,1.0,0.36
,,3,256,2.8,3,85.0,2,0,0.0,0,0.33,1,3,-2,-0.7,2.0,4.1,-2.1,-0.75
,,0,0,0.0,0,0.0,0,0,0.0,3,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,4,360,4.0,4,90.0,4,0,0.0,0,0.75,2,3,-1,-0.25,5.6,5.4,0.2,0.06
,,4,293,3.3,3,90.0,3,1,23.0,0,0.25,1,8,-7,-2.15,2.1,5.7,-3.7,-1.12
,,4,129,1.4,1,66.0,0,3,21.0,0,2.0,3,3,0,0.0,2.3,3.2,-0.8,-0.59
,,4,153,1.7,1,90.0,1,3,21.0,0,2.0,4,2,2,1.18,4.6,1.8,2.8,1.65
,,2,179,2.0,2,90.0,1,0,0.0,2,2.0,4,3,1,0.5,3.3,1.8,1.4,0.73
,,0,0,0.0,0,0.0,0,0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,4,93,1.0,1,45.0,0,3,16.0,0,1.75,2,1,1,0.97,2.3,1.2,1.1,1.09
,,4,360,4.0,4,90.0,4,0,0.0,0,1.5,6,5,1,0.25,4.6,4.9,-0.3,-0.08
,,4,269,3.0,3,78.0,1,1,35.0,0,1.5,4,2,2,0.67,2.8,3.5,-0.7,-0.24
,,1,90,1.0,1,90.0,1,0,0.0,3,1.0,2,2,0,0.0,1.3,2.1,-0.8,-0.79
,,3,270,3.0,3,90.0,3,0,0.0,1,1.0,3,3,0,0.0,3.6,2.6,1.0,0.33
,,4,303,3.4,4,76.0,0,0,0.0,0,2.5,7,3,4,1.19,4.4,4.8,-0.4,-0.11
,,1,90,1.0,1,90.0,1,0,0.0,1,1.0,2,2,0,0.0,2.1,1.0,1.1,1.12
,,4,124,1.4,1,45.0,0,3,26.0,0,1.25,1,3,-2,-1.45,2.1,4.0,-1.9,-1.36
,,2,91,1.0,1,66.0,0,1,25.0,0,2.0,2,0,2,1.98,1.2,0.5,0.8,0.75
,,4,316,3.5,4,79.0,1,0,0.0,0,2.0,8,2,6,1.71,5.4,3.6,1.8,0.52
,,1,33,0.4,0,0.0,0,1,33.0,0,0.0,0,0,0,0.0,0.3,0.6,-0.3,-0.69
,,3,270,3.0,3,90.0,3,0,0.0,1,0.67,5,6,-1,-0.33,5.3,4.8,0.5,0.17
