stat_id,player_id,ninety_s,gls,sh,sot,sot_percent,sh_per_90,sot_per_90,g_per_sh,g_per_sot,dist,fk,pk,pkatt,xg,npxg,npxg_per_sh,g_minus_xg,npg_minus_xg
,,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,4.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,2.9,1,7,3,42.9,2.38,1.02,0.14,0.33,20.1,0,0,1,1.8,0.9,0.13,-0.8,0.1
,,3.2,0,9,2,22.2,2.77,0.62,0.0,0.0,16.0,0,0,0,1.3,1.3,0.14,-1.3,-1.3
,,4.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,2.7,0,7,1,14.3,2.56,0.37,0.0,0.0,11.4,0,0,0,0.3,0.3,0.04,-0.3,-0.3
,,2.4,0,2,1,50.0,0.84,0.42,0.0,0.0,26.9,1,0,0,0.1,0.1,0.04,-0.1,-0.1
,,3.3,0,2,0,0.0,0.6,0.0,0.0,0.0,22.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1
,,4.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0.6,1,1,1,100.0,1.55,1.55,1.0,1.0,10.8,0,0,0,0.1,0.1,0.08,0.9,0.9
,,4.0,0,2,2,100.0,0.5,0.5,0.0,0.0,21.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1
,,2.0,0,2,0,0.0,1.02,0.0,0.0,0.0,9.0,0,0,0,0.6,0.6,0.32,-0.6,-0.6
,,2.4,0,4,0,0.0,1.65,0.0,0.0,0.0,22.2,0,0,0,0.2,0.2,0.04,-0.2,-0.2
,,1.4,2,6,3,50.0,4.19,2.09,0.33,0.67,13.6,0,0,0,1.3,1.3,0.22,0.7,0.7
,,1.5,1,1,1,100.0,0.68,0.68,1.0,1.0,11.7,0,0,0,0.1,0.1,0.05,0.9,0.9
,,1.4,0,7,0,0.0,5.16,0.0,0.0,0.0,25.2,0,0,0,0.2,0.2,0.03,-0.2,-0.2
,,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0.4,0,3,0,0.0,8.44,0.0,0.0,0.0,19.2,0,0,0,0.3,0.3,0.1,-0.3,-0.3
,,4.0,0,2,0,0.0,0.5,0.0,0.0,0.0,13.7,0,0,0,0.1,0.1,0.05,-0.1,-0.1
,,1.1,0,1,0,0.0,0.95,0.0,0.0,0.0,18.5,0,0,0,0.0,0.0,0.03,0.0,0.0
,,1.8,0,5,0,0.0,2.81,0.0,0.0,0.0,12.8,0,0,0,1.1,1.1,0.23,-1.1,-1.1
,,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0.1,0,2,2,100.0,15.0,15.0,0.0,0.0,20.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1
,,1.7,0,5,3,60.0,2.87,1.72,0.0,0.0,21.8,1,0,0,0.2,0.2,0.05,-0.2,-0.2
,,1.6,0,1,0,0.0,0.64,0.0,0.0,0.0,18.0,0,0,0,0.0,0.0,0.04,0.0,0.0
,,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,1.6,0,4,1,25.0,2.45,0.61,0.0,0.0,18.6,0,0,0,0.2,0.2,0.05,-0.2,-0.2
,,2.1,1,6,3,50.0,2.83,1.41,0.17,0.33,15.3,0,0,0,0.7,0.7,0.11,0.3,0.3
,,4.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,2.2,0,1,0,0.0,0.45,0.0,0.0,0.0,11.5,0,0,0,0.1,0.1,0.09,-0.1,-0.1
,,2.6,0,3,1,33.3,1.15,0.38,0.0,0.0,23.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2
,,3.1,1,10,2,20.0,3.21,0.64,0.0,0.0,17.4,1,1,1,2.1,1.3,0.13,-1.1,-1.3
,,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0.8,0,2,1,50.0,2.37,1.18,0.0,0.0,27.5,1,0,0,0.0,0.0,0.02,0.0,0.0
,,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0.7,0,1,0,0.0,1.45,0.0,0.0,0.0,14.5,0,0,0,0.0,0.0,0.04,0.0,0.0
