stat_id,player_id,ninety_s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_percent,tkld,tkld_percent,carries,tot_dist,prg_dist,prgc,one_third,cpa,mis,dis,rec,prgr
,,0.0,5,0,0,3,2,1,5,0,0,0.0,0,0.0,3,54.0,45.0,1,1,0,1,0,3,0
,,1.5,65,2,18,39,8,2,65,3,1,33.3,2,66.7,36,142.0,78.0,1,2,1,1,1,41,0
,,0.2,8,1,3,4,2,2,8,1,0,0.0,1,100.0,3,14.0,12.0,0,0,0,1,0,4,1
,,4.0,367,43,199,159,9,3,367,4,3,75.0,1,25.0,225,973.0,515.0,1,1,0,4,2,292,0
,,2.5,79,3,16,38,27,4,79,4,2,50.0,2,50.0,52,268.0,113.0,3,2,1,3,5,58,6
,,3.1,110,1,10,48,55,9,110,7,3,42.9,3,42.9,72,610.0,346.0,11,6,5,6,6,83,19
,,3.0,155,22,68,74,15,6,155,1,0,0.0,1,100.0,85,386.0,239.0,2,2,0,2,1,83,1
,,0.9,39,4,10,20,9,0,39,3,1,33.3,1,33.3,27,174.0,126.0,3,1,0,0,0,29,4
,,0.5,32,4,16,7,9,1,32,1,1,100.0,0,0.0,12,83.0,50.0,3,1,0,1,1,12,6
,,1.6,124,5,27,72,26,0,124,0,0,0.0,0,0.0,77,386.0,207.0,5,1,0,0,0,92,10
,,2.1,173,13,82,81,10,2,173,0,0,0.0,0,0.0,132,553.0,286.0,1,2,0,0,0,143,2
,,2.4,227,4,29,142,57,2,226,1,1,100.0,0,0.0,156,758.0,402.0,3,6,0,4,0,175,7
,,0.3,15,1,4,5,6,2,15,0,0,0.0,0,0.0,8,32.0,27.0,1,0,1,1,0,9,0
,,0.2,20,0,0,5,15,1,20,0,0,0.0,0,0.0,15,77.0,46.0,1,0,0,0,0,16,4
,,3.9,243,8,63,121,63,6,243,5,2,40.0,3,60.0,137,864.0,429.0,8,8,0,12,3,178,14
,,1.5,71,4,12,27,33,3,71,12,4,33.3,6,50.0,36,251.0,125.0,6,2,1,5,5,42,10
,,3.0,84,5,31,25,29,2,84,4,2,50.0,2,50.0,45,229.0,90.0,2,0,0,2,3,48,5
,,1.9,86,0,3,43,40,1,86,3,1,33.3,1,33.3,67,359.0,146.0,5,4,1,7,6,75,15
,,0.1,2,0,0,1,1,0,2,0,0,0.0,0,0.0,1,1.0,0.0,0,0,0,0,0,1,1
,,1.9,99,8,45,50,4,0,99,0,0,0.0,0,0.0,60,257.0,114.0,1,2,0,0,0,70,0
,,0.0,4,0,3,0,1,0,4,1,1,100.0,0,0.0,3,18.0,15.0,0,1,0,0,0,2,0
,,3.0,99,86,99,0,0,0,99,0,0,0.0,0,0.0,60,289.0,180.0,0,0,0,0,0,48,0
,,0.9,71,9,48,24,0,0,71,0,0,0.0,0,0.0,41,180.0,109.0,0,0,0,0,0,53,0
,,1.5,124,9,39,83,2,2,124,0,0,0.0,0,0.0,83,375.0,211.0,0,1,1,1,0,99,0
,,0.2,9,0,1,2,6,0,9,1,0,0.0,1,100.0,9,61.0,41.0,1,2,1,0,0,8,2
,,3.6,109,1,4,37,70,25,109,3,3,100.0,0,0.0,60,299.0,149.0,7,4,4,8,4,80,18
,,3.2,88,2,9,34,48,14,88,7,3,42.9,4,57.1,45,132.0,43.0,1,2,1,6,4,59,17
,,0.3,16,0,3,8,5,2,16,1,0,0.0,1,100.0,11,97.0,77.0,3,0,1,1,0,10,2
