stat_id,player_id,ninety_s,crd_y,crd_r,two_crd_y,fls,fld,off,crs,interceptions,tklw,pkwon,pkcon,og,recov,won,lost,won_percent
,,3.6,1,0,0,7,6,4,6,0,1,1,0,0,7,13,8,61.9
,,3.2,0,0,0,4,4,1,1,1,1,0,0,0,6,5,7,41.7
,,0.3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0
,,1.6,0,0,0,2,4,0,3,1,2,0,0,0,5,0,2,0.0
,,2.8,0,0,0,4,0,0,6,1,5,0,0,0,7,3,2,60.0
,,0.7,0,0,0,3,1,1,0,0,0,0,0,0,3,3,1,75.0
,,0.2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0.0
,,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
,,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
,,1.6,0,0,0,1,2,0,8,0,2,0,0,0,7,1,1,50.0
,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
,,4.0,1,0,0,3,2,0,0,2,2,0,0,0,5,5,3,62.5
,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
,,4.0,0,0,0,5,3,0,0,8,4,0,0,0,13,7,7,50.0
,,3.2,0,0,0,4,3,1,2,0,1,0,0,0,6,5,15,25.0
,,2.5,0,0,0,2,6,0,1,1,2,0,0,0,6,3,3,50.0
,,2.5,0,0,0,3,0,0,1,1,2,0,0,0,17,9,3,75.0
,,0.5,0,0,0,0,2,1,2,1,1,0,0,0,1,0,0,0.0
,,4.0,1,0,0,6,0,0,0,9,2,0,0,0,9,12,15,44.4
,,0.2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0.0
,,1.2,0,0,0,1,2,0,0,0,2,0,1,0,6,1,3,25.0
,,4.0,0,0,0,2,2,0,1,1,2,0,0,0,15,2,5,28.6
,,3.7,0,0,0,5,3,0,0,8,5,0,0,0,17,10,7,58.8
,,0.2,0,0,0,1,0,0,2,1,1,0,0,0,1,0,0,0.0
,,3.5,0,0,0,1,2,3,9,1,4,0,0,0,10,5,10,33.3
,,0.3,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0.0
,,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.0
,,2.1,0,0,0,1,3,0,7,0,2,0,0,0,12,3,5,37.5
,,1.1,0,0,0,2,1,1,0,0,1,0,0,0,3,2,0,100.0
,,1.3,0,0,0,0,0,0,0,2,1,0,0,0,3,4,2,66.7
,,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
,,3.1,0,0,0,7,5,1,2,0,5,0,0,0,3,3,2,60.0
,,2.3,0,0,0,1,4,0,4,1,1,0,0,0,8,7,0,100.0
,,0.7,1,0,0,3,1,1,0,1,1,0,0,0,8,4,3,57.1
,,4.0,1,0,0,6,3,0,1,3,6,0,0,0,14,6,4,60.0
,,2.8,0,0,0,4,6,0,3,0,0,0,0,0,10,6,7,46.2
,,0.1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.0
,,4.0,3,0,0,7,3,0,0,3,5,0,0,0,16,17,9,65.4
,,3.2,1,0,0,4,2,0,3,1,1,0,0,0,11,4,5,44.4
,,2.2,1,0,0,1,0,0,2,1,1,0,0,0,6,1,1,50.0
,,1.8,0,0,0,2,0,0,2,0,2,0,0,0,13,0,2,0.0
,,0.5,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,100.0
,,3.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0
,,4.0,0,0,0,7,6,1,5,4,8,0,0,0,8,7,6,53.8
,,2.2,0,0,0,4,3,1,0,0,1,0,0,0,4,3,4,42.9
,,3.6,0,0,0,1,3,4,32,2,1,0,0,0,10,1,0,100.0
,,4.0,1,0,0,6,4,0,0,7,4,0,0,1,15,14,6,70.0
,,4.0,1,0,0,1,10,0,18,5,4,0,0,0,21,1,2,33.3
,,2.5,0,1,0,2,11,0,2,1,0,0,0,0,11,5,2,71.4
,,2.7,0,0,0,2,1,0,1,6,2,0,0,0,11,11,5,68.8
,,0.7,0,0,0,0,0,0,0,1,0,0,0,0,4,1,1,50.0
,,3.8,0,0,0,6,2,2,0,0,0,0,0,0,5,5,6,45.5
,,2.9,3,0,0,5,8,0,7,4,2,0,0,0,28,1,2,33.3
,,0.9,1,0,0,4,1,0,4,0,2,0,0,0,3,1,0,100.0
,,3.7,1,0,0,7,7,0,6,5,3,0,0,0,23,3,3,50.0
,,2.3,0,0,0,0,7,0,16,1,1,0,0,0,7,0,2,0.0
,,3.9,1,0,0,8,6,0,6,3,1,0,0,0,15,5,3,62.5
,,4.0,2,0,0,10,5,2,9,5,5,0,0,0,14,3,5,37.5
,,0.3,0,0,0,0,1,0,1,0,0,0,0,0,1,1,4,20.0
,,1.2,0,0,0,3,1,0,1,0,1,0,0,0,7,0,1,0.0
,,0.3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0.0
,,1.5,0,0,0,2,2,1,1,0,0,0,0,0,6,4,5,44.4
,,2.7,0,0,0,2,9,0,0,0,0,0,0,0,3,1,3,25.0
,,2.0,1,0,0,4,3,0,3,3,4,0,0,0,7,2,1,66.7
,,0.8,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0.0
,,1.2,0,0,0,2,2,0,0,0,0,1,0,0,5,2,4,33.3
,,2.3,0,0,0,3,11,2,5,4,4,1,0,0,14,2,5,28.6
,,1.8,1,0,0,2,0,0,3,2,1,0,0,0,7,1,0,100.0
,,2.3,0,0,0,2,4,0,1,1,2,0,0,0,8,3,3,50.0
,,1.2,0,0,0,2,3,1,3,0,5,0,0,0,9,0,1,0.0
,,2.3,1,0,0,4,1,0,2,2,4,0,0,0,10,1,0,100.0
,,4.0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.0
,,0.3,0,0,0,1,0,0,2,0,1,0,0,0,1,0,2,0.0
