stat_id,player_id,ninety_s,att,live,dead,fk,tb,sw,crs,ti,ck,inn,outt,str,cmp,off,blocks
,,1.6,52,48,4,0,0,1,8,0,4,3,1,0,34,0,1
,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,4.0,170,148,22,12,0,0,0,0,0,0,0,0,149,0,0
,,0.0,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0
,,4.0,198,193,5,2,0,0,0,0,0,0,0,0,177,0,1
,,3.2,55,50,5,0,0,1,2,0,0,0,0,0,35,0,1
,,2.5,63,63,0,0,0,0,1,0,0,0,0,0,49,0,1
,,2.5,174,169,5,3,0,1,1,2,0,0,0,0,151,0,1
,,0.5,15,15,0,0,0,0,2,0,0,0,0,0,11,0,2
,,4.0,176,172,3,3,0,1,0,0,0,0,0,0,149,1,1
,,0.2,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0
,,1.2,54,53,1,1,1,0,0,0,0,0,0,0,47,0,0
,,4.0,168,136,32,6,1,1,1,25,1,0,0,0,143,0,1
,,3.7,206,200,5,5,1,0,0,0,0,0,0,0,172,1,2
,,0.2,9,9,0,0,0,0,2,0,0,0,0,0,5,0,3
,,3.5,74,66,7,0,0,0,9,0,0,0,0,0,46,1,3
,,0.3,21,20,0,0,1,0,0,0,0,0,0,0,14,1,1
,,0.1,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0
,,2.1,93,86,7,3,1,1,7,0,4,0,3,0,74,0,4
,,1.1,23,20,3,0,0,0,0,0,0,0,0,0,20,0,0
,,1.3,49,46,3,0,0,0,0,3,0,0,0,0,40,0,1
,,0.1,9,9,0,0,0,0,0,0,0,0,0,0,8,0,0
,,3.1,144,116,26,1,0,0,2,25,0,0,0,0,120,2,2
,,2.3,158,144,13,0,0,1,4,13,0,0,0,0,135,1,6
,,0.7,23,23,0,0,0,0,0,0,0,0,0,0,16,0,0
,,4.0,201,188,13,9,0,3,1,4,0,0,0,0,172,0,1
,,2.8,109,98,10,1,2,0,3,3,0,0,0,0,87,1,0
,,0.1,13,10,3,1,0,0,1,2,0,0,0,0,10,0,0
,,4.0,196,190,6,4,0,0,0,1,0,0,0,0,168,0,1
,,3.2,89,86,2,0,1,1,3,2,0,0,0,0,56,1,7
,,2.2,102,91,11,1,0,0,2,7,0,0,0,0,74,0,1
,,1.8,67,67,0,0,0,0,2,0,0,0,0,0,63,0,0
,,0.5,16,15,1,0,0,0,0,1,0,0,0,0,13,0,1
,,3.0,79,62,17,0,0,0,0,0,0,0,0,0,66,0,0
,,4.0,214,193,20,10,0,2,5,10,0,0,0,0,183,1,4
,,2.2,52,52,0,0,1,1,0,0,0,0,0,0,45,0,0
,,3.6,198,167,31,6,0,1,32,13,12,2,5,0,162,0,1
,,4.0,202,191,11,10,0,1,0,1,0,0,0,0,180,0,1
,,4.0,196,158,38,4,0,0,18,34,0,0,0,0,148,0,8
,,2.5,64,58,6,3,0,0,2,2,1,0,0,0,51,0,3
,,2.7,126,114,10,9,0,2,1,1,0,0,0,0,108,2,1
,,0.7,25,24,0,0,0,0,0,0,0,0,0,0,22,1,0
,,3.8,54,50,3,0,1,0,0,0,0,0,0,0,39,1,1
,,2.9,132,122,10,5,1,3,7,0,4,0,3,0,104,0,2
,,0.9,38,32,6,0,0,0,4,6,0,0,0,0,26,0,2
,,3.7,148,136,10,7,3,2,6,0,2,0,1,0,114,2,3
,,2.3,110,89,21,4,0,3,16,4,11,4,4,1,85,0,4
,,3.9,196,189,7,7,0,7,6,0,0,0,0,0,169,0,1
,,4.0,120,93,26,1,0,0,9,25,0,0,0,0,87,1,4
,,0.3,9,9,0,0,0,0,1,0,0,0,0,0,7,0,1
,,1.2,46,43,2,0,0,0,1,1,1,0,1,0,36,1,0
,,0.3,8,8,0,0,0,0,0,0,0,0,0,0,6,0,0
,,1.5,19,17,2,0,0,0,1,0,0,0,0,0,16,0,1
,,2.7,39,39,0,0,0,0,0,0,0,0,0,0,29,0,1
,,2.0,151,136,15,6,0,0,3,9,0,0,0,0,136,0,3
,,0.8,25,25,0,0,0,0,0,0,0,0,0,0,25,0,0
,,1.2,85,85,0,0,0,1,0,0,0,0,0,0,78,0,0
,,2.3,59,54,5,3,0,0,5,0,2,0,2,0,40,0,5
,,1.8,55,50,5,2,0,0,3,0,3,0,1,0,44,0,1
,,2.3,43,41,2,1,0,0,1,1,0,0,0,0,35,0,2
,,1.2,36,35,1,0,1,0,3,1,0,0,0,0,26,0,5
,,2.3,155,151,4,4,1,2,2,0,0,0,0,0,138,0,1
,,4.0,116,85,31,12,0,0,0,0,0,0,0,0,71,0,0
,,0.3,13,11,2,0,0,0,2,2,0,0,0,0,8,0,0
,,2.6,45,43,1,0,1,0,2,0,0,0,0,0,30,1,0
,,0.3,7,7,0,0,0,0,0,0,0,0,0,0,5,0,0
,,2.1,128,126,2,2,0,1,1,0,0,0,0,0,111,0,1
,,1.6,46,44,1,0,1,0,0,1,0,0,0,0,37,1,2
,,3.9,125,118,6,5,0,0,0,1,0,0,0,0,107,1,2
,,2.0,106,89,16,1,0,0,6,15,0,0,0,0,76,1,2
,,4.0,263,246,15,12,1,0,2,3,0,0,0,0,241,2,2
,,1.0,65,64,1,1,0,0,0,0,0,0,0,0,59,0,0
,,0.5,6,4,2,0,0,0,0,1,0,0,0,0,4,0,1
,,0.6,19,19,0,0,0,0,1,0,0,0,0,0,13,0,1
,,1.0,51,48,3,3,0,0,1,0,0,0,0,0,48,0,0
,,4.0,163,131,31,2,0,1,21,21,8,5,2,0,114,1,0
,,4.0,155,145,10,9,0,0,0,0,0,0,0,0,126,0,0
,,3.9,274,267,7,6,0,0,0,0,0,0,0,0,264,0,0
,,1.0,37,22,14,3,0,0,0,0,0,0,0,0,26,1,0
,,2.0,55,41,14,0,0,0,3,14,0,0,0,0,42,0,0
,,3.3,134,110,24,10,0,2,0,0,0,0,0,0,110,0,1
,,1.0,80,79,1,1,1,1,0,0,0,0,0,0,71,0,0
,,0.2,15,15,0,0,0,0,0,0,0,0,0,0,14,0,0
,,0.2,11,10,1,0,0,0,2,0,1,1,0,0,8,0,0
,,0.3,10,8,2,1,0,0,0,1,0,0,0,0,8,0,1
