stat_id,player_id,ninety_s,cmp_total,att_total,cmp_percent_total,tot_dist_total,prg_dist_total,cmp_short,att_short,cmp_percent_short,cmp_medium,att_medium,cmp_percent_medium,cmp_long,att_long,cmp_percent_long,ast,xa,xag,a_xag,kp,one_third_ppa,crspa,prgp
,,1.4,45,54,83.3,801.0,243.0,17,19,89.5,26,29,89.7,2,5,40.0,0,0.2,0.3,-0.3,1,4,1,7
,,1.7,34,44,77.3,466.0,58.0,17,18,94.4,14,17,82.4,0,1,0.0,1,0.4,0.5,0.5,2,0,0,4
,,2.0,83,103,80.6,1357.0,561.0,43,45,95.6,35,40,87.5,5,14,35.7,2,1.0,1.5,0.5,4,7,2,14
,,1.0,22,32,68.8,327.0,72.0,13,14,92.9,7,9,77.8,1,5,20.0,0,0.1,0.3,-0.3,2,3,0,3
,,4.0,103,132,78.0,1530.0,429.0,61,67,91.0,36,44,81.8,5,14,35.7,0,0.5,0.5,-0.5,7,7,2,8
,,3.0,32,46,69.6,382.0,22.0,19,23,82.6,7,11,63.6,1,5,20.0,0,0.1,0.0,0.0,0,1,0,1
,,1.0,39,48,81.3,668.0,156.0,18,19,94.7,19,23,82.6,2,5,40.0,0,0.0,0.0,0.0,0,3,0,1
,,3.0,70,89,78.7,1552.0,957.0,18,18,100.0,40,40,100.0,11,30,36.7,0,0.0,0.0,0.0,0,0,0,0
,,3.4,71,116,61.2,1265.0,434.0,32,36,88.9,20,38,52.6,11,25,44.0,1,0.3,0.4,0.6,5,10,3,15
,,1.0,52,58,89.7,937.0,429.0,15,17,88.2,33,36,91.7,4,5,80.0,0,0.0,0.0,0.0,0,5,0,7
,,1.4,12,21,57.1,150.0,75.0,8,14,57.1,3,4,75.0,0,0,0.0,0,0.0,0.2,-0.2,1,2,0,4
,,1.0,58,64,90.6,1076.0,173.0,24,24,100.0,28,29,96.6,6,8,75.0,0,0.0,0.0,0.0,0,5,0,4
,,3.5,42,58,72.4,539.0,186.0,26,34,76.5,9,14,64.3,3,4,75.0,0,0.5,0.4,-0.4,4,4,0,10
,,0.4,12,14,85.7,166.0,76.0,6,7,85.7,6,6,100.0,0,0,0.0,0,0.0,0.0,0.0,0,3,0,3
,,3.0,202,212,95.3,3408.0,1263.0,89,93,95.7,108,111,97.3,5,8,62.5,0,0.1,0.0,0.0,1,11,1,9
,,2.0,50,77,64.9,1776.0,1517.0,6,6,100.0,18,18,100.0,26,52,50.0,0,0.0,0.0,0.0,0,0,0,0
,,0.1,8,12,66.7,108.0,24.0,4,5,80.0,3,3,100.0,0,0,0.0,0,0.0,0.0,0.0,1,0,1,0
,,2.1,47,66,71.2,926.0,456.0,17,23,73.9,21,26,80.8,8,11,72.7,1,0.2,0.5,0.5,1,4,0,3
,,0.5,32,38,84.2,511.0,218.0,12,14,85.7,19,21,90.5,0,1,0.0,0,0.1,0.1,-0.1,1,2,1,5
,,4.0,69,126,54.8,2161.0,1640.0,10,10,100.0,29,29,100.0,30,87,34.5,0,0.0,0.0,0.0,0,1,0,0
,,3.3,145,178,81.5,2823.0,892.0,44,53,83.0,86,95,90.5,13,26,50.0,0,0.2,0.1,-0.1,2,7,1,11
,,1.4,56,63,88.9,945.0,176.0,28,31,90.3,21,22,95.5,6,7,85.7,0,0.0,0.0,0.0,1,6,0,2
,,0.3,4,9,44.4,43.0,22.0,4,5,80.0,0,1,0.0,0,2,0.0,0,0.0,0.0,0.0,0,0,0,1
,,1.2,22,33,66.7,296.0,47.0,14,18,77.8,7,9,77.8,0,1,0.0,0,0.0,0.0,0.0,0,1,0,2
,,0.3,11,16,68.8,167.0,60.0,7,10,70.0,3,3,100.0,1,3,33.3,0,0.0,0.0,0.0,0,5,0,4
