Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
26,Mathis Amougou,fr FRA,MF,Saint-Étienne,18-256,2006,5.1,117,147,79.6,1938,730,56,65,86.2,47,58,81.0,10,14,71.4,0,0.1,0.1,-0.1,2,10,3,0,24,Matches
27,Benjamin André,fr FRA,MF,Lille,34-058,1990,4.9,307,366,83.9,5322,1527,143,156,91.7,132,148,89.2,29,44,65.9,0,0.3,0.3,-0.3,4,41,6,0,44,Matches
28,Dennis Appiah,fr FRA,DF,Saint-Étienne,32-113,1992,3.9,135,183,73.8,2053,911,79,94,84.0,51,63,81.0,5,17,29.4,0,0.0,0.3,0.0,1,14,4,3,18,Matches
29,Carlens Arcus,ht HAI,DF,Angers,28-094,1996,4.8,165,204,80.9,2780,980,80,89,89.9,68,81,84.0,14,25,56.0,0,0.2,0.2,-0.2,4,9,5,4,12,Matches
30,Hákon Arnar Haraldsson,is ISL,MF,Lille,21-173,2003,1.9,132,158,83.5,2403,445,63,75,84.0,49,52,94.2,18,25,72.0,1,0.2,0.2,+0.8,3,20,4,0,18,Matches
31,Marco Asensio,es ESP,"FW,MF",Paris S-G,28-253,1996,2.9,122,142,85.9,1812,403,72,79,91.1,35,41,85.4,10,12,83.3,2,1.3,0.5,+0.7,8,12,1,0,15,Matches
32,Lorenz Assignon,tg TOG,"DF,MF",Rennes,24-100,2000,4.3,130,171,76.0,2162,946,53,68,77.9,73,89,82.0,2,7,28.6,1,0.1,0.3,+0.9,3,6,4,1,17,Matches
33,Dehmaine Assoumani,fr FRA,"MF,FW",Nantes,19-166,2005,0.3,14,15,93.3,252,87,7,8,87.5,5,5,100.0,2,2,100.0,0,0.3,0.5,-0.3,3,0,2,2,0,Matches
34,Valentin Atangana Edoa,fr FRA,MF,Reims,19-036,2005,5.6,212,238,89.1,3215,873,112,120,93.3,89,97,91.8,5,7,71.4,0,0.1,0.1,-0.1,3,13,1,0,21,Matches
35,Florian Ayé,fr FRA,FW,Auxerre,27-255,1997,1.6,25,32,78.1,313,30,18,20,90.0,4,6,66.7,1,1,100.0,0,0.0,0.0,0.0,0,1,2,0,2,Matches
36,Neil El Aynaoui,fr FRA,MF,Lens,23-090,2001,0.1,2,2,100.0,13,0,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
37,Shavy Babicka,ga GAB,MF,Toulouse,24-121,2000,2.7,45,62,72.6,528,73,32,38,84.2,10,16,62.5,0,1,0.0,0,0.0,0.0,0.0,1,1,0,0,4,Matches
38,Theo Bair,ca CAN,FW,Auxerre,25-034,1999,2.1,29,42,69.0,354,31,21,28,75.0,5,9,55.6,1,1,100.0,0,0.2,0.1,-0.2,4,2,0,0,1,Matches
39,Mitchel Bakker,nl NED,DF,Lille,24-102,2000,0.6,43,53,81.1,720,232,25,26,96.2,16,20,80.0,2,5,40.0,0,0.0,0.1,0.0,1,4,0,0,5,Matches
40,Dilane Bakwa,fr FRA,"MF,DF",Strasbourg,22-035,2002,5.8,152,212,71.7,2626,765,78,92,84.8,51,71,71.8,20,37,54.1,2,2.0,2.0,0.0,12,11,8,4,17,Matches
41,Leonardo Balerdi,ar ARG,DF,Marseille,25-248,1999,2.0,188,198,94.9,3293,1359,74,75,98.7,101,104,97.1,10,15,66.7,0,0.0,0.0,0.0,0,4,0,0,4,Matches
42,Folarin Balogun,us USA,FW,Monaco,23-089,2001,3.8,53,72,73.6,594,82,29,34,85.3,13,20,65.0,1,2,50.0,0,0.6,1.0,-0.6,5,2,1,0,6,Matches
43,Abdoulaye Bamba,ci CIV,DF,Angers,34-158,1990,2.7,63,78,80.8,1294,580,20,22,90.9,36,39,92.3,7,14,50.0,0,0.1,0.2,-0.1,1,5,2,1,6,Matches
44,Bradley Barcola,fr FRA,FW,Paris S-G,22-028,2002,4.2,112,137,81.8,1440,327,78,83,94.0,23,32,71.9,5,7,71.4,0,0.8,0.9,-0.8,5,5,9,1,12,Matches
45,Melvin Bard,fr FRA,"MF,DF",Nice,23-329,2000,3.7,134,184,72.8,2289,767,63,77,81.8,56,72,77.8,12,24,50.0,0,0.0,0.2,0.0,1,10,3,0,14,Matches
46,Gabriel Bares,ch SUI,MF,Montpellier,24-032,2000,0.1,3,4,75.0,27,0,3,3,100.0,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
47,Dylan Batubinsika,cd COD,DF,Saint-Étienne,28-228,1996,6.0,245,276,88.8,4799,1553,69,72,95.8,157,168,93.5,16,29,55.2,0,0.0,0.1,0.0,0,16,1,0,13,Matches
48,Haris Belkebla,dz ALG,MF,Angers,30-246,1994,2.9,127,150,84.7,2047,518,66,74,89.2,52,59,88.1,6,12,50.0,0,0.0,0.1,0.0,1,17,0,0,15,Matches
49,Yassin Belkhdim,fr FRA,MF,Angers,22-229,2002,3.1,79,91,86.8,1107,269,49,52,94.2,22,23,95.7,5,8,62.5,0,0.0,0.0,0.0,1,5,1,0,6,Matches
50,Eliesse Ben Seghir,ma MAR,"FW,MF",Monaco,19-227,2005,4.4,161,204,78.9,2203,684,98,112,87.5,52,68,76.5,2,9,22.2,0,1.7,0.7,-1.7,7,14,8,0,31,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
51,Saïd Benrahma,dz ALG,"FW,MF",Lyon,29-051,1995,2.9,89,128,69.5,1395,526,56,64,87.5,20,35,57.1,10,14,71.4,0,0.4,0.7,-0.4,5,9,6,2,9,Matches
52,Lucas Beraldo,br BRA,DF,Paris S-G,20-311,2003,4.9,419,452,92.7,7306,2734,162,169,95.9,225,236,95.3,26,37,70.3,0,0.1,0.5,-0.1,1,36,7,0,23,Matches
53,Dimitry Bertaud,cd COD,GK,Montpellier,26-116,1998,2.0,44,71,62.0,1511,1230,4,4,100.0,19,19,100.0,21,47,44.7,0,0.0,0.0,0.0,0,3,0,0,0,Matches
54,Emmanuel Biumla,fr FRA,DF,Angers,19-145,2005,3.1,135,153,88.2,2605,818,39,47,83.0,84,86,97.7,11,17,64.7,0,0.0,0.0,0.0,0,2,0,0,2,Matches
55,Marco Bizot,nl NED,GK,Brest,33-204,1991,6.0,142,222,64.0,4921,4044,19,19,100.0,53,54,98.1,70,149,47.0,0,0.0,0.0,0.0,0,2,0,0,0,Matches
56,Ludovic Blas,fr FRA,"MF,FW",Rennes,26-274,1997,5.6,133,184,72.3,2273,724,67,77,87.0,47,66,71.2,15,29,51.7,2,0.9,0.9,+1.1,12,15,8,2,21,Matches
57,Augustine Boakye,gh GHA,"MF,FW",Saint-Étienne,23-332,2000,0.6,12,14,85.7,184,31,4,4,100.0,5,6,83.3,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
