Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
51,Saïd Benrahma,dz ALG,"FW,MF",Lyon,29-051,1995,2.9,0,3,0,0.0,1.04,0.00,0.00,,20.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
52,Lucas Beraldo,br BRA,DF,Paris S-G,20-311,2003,4.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
53,Dimitry Bertaud,cd COD,GK,Montpellier,26-116,1998,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
54,Emmanuel Biumla,fr FRA,DF,Angers,19-145,2005,3.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
55,Marco Bizot,nl NED,GK,Brest,33-204,1991,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
56,Ludovic Blas,fr FRA,"MF,FW",Rennes,26-274,1997,5.6,2,19,8,42.1,3.39,1.43,0.11,0.25,15.9,0,0,0,1.8,1.8,0.09,+0.2,+0.2,Matches
57,Augustine Boakye,gh GHA,"MF,FW",Saint-Étienne,23-332,2000,0.6,0,1,0,0.0,1.67,0.00,0.00,,21.6,1,0,0,0.0,0.0,0.04,0.0,0.0,Matches
58,Jeremie Boga,ci CIV,"FW,MF",Nice,27-271,1997,1.9,0,5,2,40.0,2.63,1.05,0.00,0.00,18.4,2,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
59,Moïse Bombito,ca CAN,DF,Nice,24-184,2000,3.7,0,1,1,100.0,0.27,0.27,0.00,0.00,9.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
60,Ayyoub Bouaddi,fr FRA,MF,Lille,16-364,2007,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
61,Badredine Bouanani,dz ALG,"FW,MF",Nice,19-297,2004,2.9,0,11,5,45.5,3.85,1.75,0.00,0.00,21.9,1,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
62,Benjamin Bouchouari,ma MAR,MF,Saint-Étienne,22-322,2001,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
63,Hicham Boudaoui,dz ALG,MF,Nice,25-007,1999,4.0,1,5,3,60.0,1.25,0.75,0.20,0.33,18.5,0,0,0,0.4,0.4,0.09,+0.6,+0.6,Matches
64,Benjamin Bourigeaud,fr FRA,MF,Rennes,30-260,1994,0.9,1,2,1,50.0,2.25,1.13,0.50,1.00,16.1,1,0,0,0.2,0.2,0.08,+0.8,+0.8,Matches
65,Bilal Brahimi,dz ALG,MF,Nice,24-200,2000,0.8,0,1,1,100.0,1.18,1.18,0.00,0.00,23.0,1,0,0,0.0,0.0,0.04,0.0,0.0,Matches
