Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
22,Jim Allevinah,ga GAB,FW,Angers,29-216,1995,3,3,207,2.3,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,2,13,18,0.00,0.00,0.00,0.00,0.00,0.09,0.01,0.10,0.09,0.10,Matches
23,Jordan Amavi,fr FRA,DF,Brest,30-205,1994,5,4,344,3.8,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,9,13,3,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
24,Kelvin Amian,fr FRA,DF,Nantes,26-235,1998,5,4,377,4.2,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.3,12,20,19,0.00,0.00,0.00,0.00,0.00,0.01,0.06,0.07,0.01,0.07,Matches
25,Michael Amir Murillo,pa PAN,DF,Marseille,28-232,1996,6,6,540,6.0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,6,20,11,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.05,0.01,0.05,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
26,Mathis Amougou,fr FRA,MF,Saint-Étienne,18-256,2006,6,6,460,5.1,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,3,24,4,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches
27,Benjamin André,fr FRA,MF,Lille,34-058,1990,5,5,442,4.9,0,0,0,0,0,0,3,0,0.2,0.2,0.3,0.5,5,44,9,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.11,0.05,0.11,Matches
28,Dennis Appiah,fr FRA,DF,Saint-Étienne,32-113,1992,5,3,347,3.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,18,14,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,Matches
29,Carlens Arcus,ht HAI,DF,Angers,28-094,1996,6,6,432,4.8,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,8,12,14,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,Matches
30,Hákon Arnar Haraldsson,is ISL,MF,Lille,21-173,2003,3,2,168,1.9,0,1,1,0,0,0,0,0,0.5,0.5,0.2,0.6,8,18,12,0.00,0.54,0.54,0.00,0.54,0.25,0.08,0.33,0.25,0.33,Matches
31,Marco Asensio,es ESP,"FW,MF",Paris S-G,28-253,1996,4,4,265,2.9,1,2,3,1,0,0,0,0,2.5,2.5,1.3,3.9,10,15,23,0.34,0.68,1.02,0.34,1.02,0.86,0.45,1.31,0.86,1.31,Matches
32,Lorenz Assignon,tg TOG,"DF,MF",Rennes,24-100,2000,6,5,386,4.3,0,1,1,0,0,0,2,0,0.0,0.0,0.1,0.1,12,17,23,0.00,0.23,0.23,0.00,0.23,0.00,0.03,0.03,0.00,0.03,Matches
33,Dehmaine Assoumani,fr FRA,"MF,FW",Nantes,19-166,2005,3,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,1,0,5,0.00,0.00,0.00,0.00,0.00,0.00,1.11,1.11,0.00,1.11,Matches
34,Valentin Atangana Edoa,fr FRA,MF,Reims,19-036,2005,6,6,507,5.6,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,3,21,3,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.04,0.02,0.04,Matches
35,Florian Ayé,fr FRA,FW,Auxerre,27-255,1997,5,1,144,1.6,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,1,2,10,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.17,0.17,0.17,Matches
36,Neil El Aynaoui,fr FRA,MF,Lens,23-090,2001,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
37,Shavy Babicka,ga GAB,MF,Toulouse,24-121,2000,5,2,241,2.7,3,0,3,3,0,0,1,0,1.4,1.4,0.0,1.5,3,4,28,1.12,0.00,1.12,1.12,1.12,0.54,0.01,0.55,0.54,0.55,Matches
38,Theo Bair,ca CAN,FW,Auxerre,25-034,1999,5,3,190,2.1,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,1,1,7,0.00,0.00,0.00,0.00,0.00,0.09,0.11,0.20,0.09,0.20,Matches
39,Mitchel Bakker,nl NED,DF,Lille,24-102,2000,3,0,50,0.6,0,0,0,0,0,0,0,0,0.8,0.8,0.0,0.9,2,5,11,0.00,0.00,0.00,0.00,0.00,1.45,0.08,1.53,1.45,1.53,Matches
40,Dilane Bakwa,fr FRA,"MF,DF",Strasbourg,22-035,2002,6,6,526,5.8,0,2,2,0,0,0,0,0,1.0,1.0,2.0,3.0,19,17,33,0.00,0.34,0.34,0.00,0.34,0.17,0.33,0.51,0.17,0.51,Matches
41,Leonardo Balerdi,ar ARG,DF,Marseille,25-248,1999,3,3,184,2.0,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
42,Folarin Balogun,us USA,FW,Monaco,23-089,2001,5,4,339,3.8,2,0,2,2,0,0,0,0,3.4,3.4,0.6,4.0,10,6,45,0.53,0.00,0.53,0.53,0.53,0.90,0.16,1.06,0.90,1.06,Matches
43,Abdoulaye Bamba,ci CIV,DF,Angers,34-158,1990,3,3,242,2.7,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
44,Bradley Barcola,fr FRA,FW,Paris S-G,22-028,2002,6,5,374,4.2,6,0,6,6,0,0,0,0,3.5,3.5,0.8,4.2,25,12,56,1.44,0.00,1.44,1.44,1.44,0.84,0.18,1.02,0.84,1.02,Matches
45,Melvin Bard,fr FRA,"MF,DF",Nice,23-329,2000,4,4,332,3.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,6,14,10,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02,Matches
46,Gabriel Bares,ch SUI,MF,Montpellier,24-032,2000,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
