stat_id,player_id,ninety_s,crd_y,crd_r,two_crd_y,fls,fld,off,crs,interceptions,tklw,pkwon,pkcon,og,recov,won,lost,won_percent
,,0.5,0,0,0,2,3,0,0,1,2,0,0,0,3,1,0,100.0
,,4.9,1,0,0,5,6,1,2,10,10,0,0,0,29,5,5,50.0
,,1.1,0,0,0,2,0,0,1,1,3,0,0,0,4,0,2,0.0
,,4.1,1,0,0,2,5,0,11,5,4,0,0,0,8,4,3,57.1
,,2.7,0,0,0,4,0,0,1,3,2,0,0,0,16,4,1,80.0
,,2.7,0,0,0,4,2,0,0,0,2,0,0,0,9,1,1,50.0
,,5.0,0,0,0,7,1,0,0,5,2,0,0,0,15,12,3,80.0
,,0.8,0,0,0,2,1,0,2,0,3,0,0,0,3,0,0,0.0
,,2.1,0,0,0,0,2,0,8,2,3,0,0,0,14,3,0,100.0
,,0.9,0,0,0,3,3,0,0,0,0,1,0,0,4,3,6,33.3
,,1.2,0,0,0,1,3,0,0,2,4,0,0,0,3,0,2,0.0
,,0.3,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,100.0
,,5.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.0
,,1.6,2,0,0,5,2,0,2,2,1,0,0,0,12,3,2,60.0
,,3.1,0,0,0,1,1,0,3,1,2,0,0,0,16,4,0,100.0
,,3.6,0,0,0,2,1,0,0,4,1,0,0,0,5,4,3,57.1
,,4.7,1,0,0,3,5,1,3,4,4,0,0,0,33,3,8,27.3
,,5.0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0.0
,,3.0,2,0,0,6,4,1,14,3,2,0,0,0,14,4,6,40.0
,,1.2,0,0,0,2,1,0,0,0,2,0,0,0,1,0,1,0.0
,,1.3,0,0,0,3,1,0,2,1,0,0,0,0,10,1,2,33.3
,,3.9,0,0,0,6,7,0,13,2,6,0,0,0,20,1,4,20.0
,,2.4,0,0,0,0,0,0,0,1,0,0,0,0,4,6,3,66.7
,,6.0,1,0,0,13,12,1,5,5,10,0,0,0,30,18,9,66.7
,,5.0,0,0,0,0,0,0,0,1,0,0,0,0,12,4,0,100.0
,,1.3,1,0,0,2,1,0,3,0,0,0,0,0,4,0,0,0.0
,,2.7,1,0,0,4,2,0,17,3,1,0,0,0,7,1,2,33.3
,,4.0,2,0,0,5,1,0,0,0,2,0,1,0,11,10,5,66.7
,,2.2,1,0,0,1,1,3,0,0,1,0,0,0,2,2,0,100.0
,,1.1,0,0,0,0,0,2,3,1,1,0,0,0,4,0,1,0.0
,,4.1,0,0,0,2,3,0,24,2,4,0,0,0,18,2,0,100.0
,,2.5,1,0,0,2,6,0,13,0,1,0,0,0,14,1,0,100.0
,,0.2,0,0,0,1,0,0,0,0,0,0,0,0,4,2,0,100.0
,,1.7,0,0,0,2,1,1,1,1,2,0,0,0,4,1,1,50.0
,,1.3,0,0,0,1,3,0,3,1,2,0,0,0,7,0,1,0.0
,,0.1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0.0
,,1.1,0,0,0,3,3,1,2,0,0,0,0,0,0,6,7,46.2
,,0.9,0,0,0,3,1,0,1,0,0,0,0,0,2,0,2,0.0
,,4.0,1,0,0,2,5,0,2,4,0,0,0,0,13,9,4,69.2
,,1.3,0,0,0,3,0,0,2,0,0,0,0,0,3,5,4,55.6
,,2.5,0,0,0,1,2,0,0,3,3,0,0,1,4,9,1,90.0
,,0.3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0
,,2.3,0,0,0,3,12,3,1,2,1,0,0,0,5,2,3,40.0
,,0.9,0,0,0,1,1,1,0,0,1,0,0,0,3,1,0,100.0
,,3.8,1,0,0,6,7,1,1,3,3,0,1,0,11,8,15,34.8
,,2.9,0,0,0,2,4,2,9,0,1,0,0,0,11,1,0,100.0
,,2.7,0,0,0,2,5,0,1,1,2,0,0,0,14,2,3,40.0
,,3.8,1,0,0,8,6,4,38,3,4,0,0,0,9,3,6,33.3
,,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
,,3.4,1,0,0,9,8,0,10,7,9,0,0,0,15,6,3,66.7
,,2.6,0,0,0,0,4,1,3,2,6,0,0,0,9,5,3,62.5
,,1.0,0,0,0,1,2,1,2,0,0,0,0,0,4,2,2,50.0
,,2.0,0,0,0,3,7,0,10,0,2,0,0,0,3,0,2,0.0
,,5.0,2,0,0,2,3,0,10,5,3,0,0,0,23,1,2,33.3
,,0.5,1,0,0,1,0,0,0,0,1,0,0,0,3,0,1,0.0
,,3.3,0,0,0,3,2,1,15,4,4,0,0,0,13,2,0,100.0
,,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
,,2.4,1,0,0,3,5,0,12,0,5,0,0,0,12,2,0,100.0
,,2.9,1,0,0,8,2,0,4,5,4,0,0,0,9,0,2,0.0
,,2.8,1,0,0,3,2,0,3,1,5,0,0,0,15,4,3,57.1
,,3.3,0,0,0,5,6,0,6,1,4,0,0,0,18,1,2,33.3
,,0.9,0,0,0,3,4,0,7,0,0,0,0,0,4,0,1,0.0
,,0.6,1,0,0,2,0,0,1,0,1,0,0,0,6,0,0,0.0
,,2.1,0,0,0,4,4,0,2,1,5,0,0,0,9,2,3,40.0
,,2.7,1,0,0,1,1,2,10,4,5,0,0,0,12,0,3,0.0
,,1.0,0,0,0,0,1,0,0,1,0,0,0,0,2,2,3,40.0
,,1.8,0,0,0,1,2,1,7,2,4,0,0,0,8,1,1,50.0
,,5.0,0,0,0,0,1,0,0,0,0,0,0,0,9,3,0,100.0
,,3.7,1,0,0,8,5,1,16,3,6,0,0,0,20,2,5,28.6
,,2.0,0,0,0,0,0,0,0,1,4,0,0,0,7,6,3,66.7
,,5.0,1,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0.0
,,4.3,1,0,0,7,5,1,13,3,9,0,0,0,13,0,2,0.0
,,1.3,0,0,0,2,1,5,0,2,1,0,0,0,4,3,3,50.0
,,2.0,0,0,0,2,1,0,2,5,2,0,0,1,15,2,3,40.0
,,1.5,0,0,0,0,0,0,0,1,1,0,0,0,2,3,4,42.9
,,4.6,0,0,0,5,3,1,31,3,7,0,1,0,19,4,8,33.3
,,1.3,1,0,0,2,5,0,5,0,0,0,0,0,3,3,4,42.9
,,0.5,0,0,0,1,0,0,1,0,0,0,0,0,3,1,0,100.0
,,0.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0.0
,,1.0,1,0,0,3,0,0,0,0,0,0,0,0,1,1,2,33.3
,,3.4,0,0,0,14,2,0,0,3,6,0,0,0,8,5,1,83.3
,,4.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.0
,,4.0,0,0,0,1,3,2,22,3,1,0,0,0,6,1,2,33.3
,,1.0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,100.0
,,0.0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0.0
,,2.8,0,0,0,1,1,0,0,2,3,0,0,0,4,5,7,41.7
,,2.7,0,0,0,4,3,0,0,0,4,0,0,0,11,1,1,50.0
,,3.3,0,0,0,3,4,0,1,1,3,0,0,0,18,0,5,0.0
,,2.2,3,1,1,7,6,0,1,2,2,0,0,0,12,1,1,50.0
,,2.3,2,0,0,4,2,0,0,3,1,0,0,0,9,3,2,60.0
,,1.9,1,0,0,3,6,2,7,1,0,0,0,0,7,0,2,0.0
,,1.5,0,0,0,3,1,0,5,0,4,0,0,0,4,3,7,30.0
,,3.5,1,0,0,3,4,1,1,2,3,0,0,0,13,2,6,25.0
,,3.3,0,0,0,8,4,0,1,0,1,0,0,0,10,2,13,13.3
,,5.0,0,0,0,2,3,2,20,4,6,0,0,0,30,1,2,33.3
,,0.7,0,0,0,0,1,1,1,0,0,0,0,0,4,1,3,25.0
,,1.0,0,0,0,2,1,1,0,0,0,0,0,0,1,7,6,53.8
,,4.7,0,0,0,13,3,0,15,8,3,0,0,0,14,6,2,75.0
,,3.0,1,0,0,1,0,0,0,1,0,0,0,0,5,5,3,62.5
,,1.2,2,0,0,5,2,0,0,0,1,0,0,0,6,1,0,100.0
,,5.0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0
,,3.0,0,0,0,10,6,0,12,5,5,0,0,0,22,3,3,50.0
,,5.0,2,0,0,7,4,0,4,1,6,0,0,0,11,8,6,57.1
,,0.8,0,0,0,1,2,0,0,1,0,0,0,0,3,4,1,80.0
,,0.1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0.0
,,4.0,1,0,0,6,4,0,17,7,11,0,0,0,14,5,6,45.5
,,2.7,0,0,0,3,6,4,0,0,1,0,0,0,4,0,3,0.0
,,0.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0
,,5.0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.0
,,2.2,2,1,0,4,3,0,4,3,5,0,0,0,11,3,3,50.0
,,0.1,0,0,0,0,1,0,0,0,0,0,0,0,2,2,1,66.7
,,2.7,0,0,0,3,6,0,8,1,2,0,0,0,13,1,1,50.0
,,0.3,0,0,0,0,2,0,5,0,1,0,0,0,1,0,0,0.0
,,1.4,1,0,0,3,3,0,0,1,3,0,0,0,5,4,0,100.0
,,4.8,1,0,0,7,15,0,10,0,2,2,0,0,13,0,2,0.0
,,3.4,2,0,0,8,0,0,0,2,5,0,0,0,19,4,2,66.7
,,1.0,0,0,0,0,0,0,0,0,2,0,0,0,2,6,0,100.0
,,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
,,3.4,0,0,0,9,3,1,1,0,2,0,0,0,8,9,15,37.5
,,4.0,2,0,0,7,1,0,3,3,5,0,0,1,21,1,3,25.0
,,5.0,1,0,0,6,1,1,10,2,5,0,0,0,22,4,4,50.0
,,4.4,0,0,0,4,2,0,0,4,11,0,0,0,21,4,2,66.7
,,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0
,,4.2,1,0,0,2,14,0,6,1,2,0,0,0,16,0,4,0.0
,,3.7,3,0,0,3,11,0,1,4,4,0,0,0,5,7,6,53.8
,,1.9,1,0,0,3,2,4,0,1,2,0,0,0,6,6,8,42.9
,,1.7,1,0,0,7,3,0,0,0,0,0,0,0,1,10,5,66.7
,,1.5,0,1,0,4,0,0,8,2,3,0,0,0,6,2,0,100.0
,,5.0,1,0,0,9,5,1,0,1,6,0,0,0,15,7,4,63.6
,,5.0,1,0,0,6,3,0,0,2,7,0,0,0,12,13,10,56.5
,,2.2,1,0,0,3,1,0,6,2,2,0,0,0,10,0,0,0.0
,,4.6,1,0,0,3,8,1,0,1,0,0,0,0,11,5,5,50.0
,,3.7,1,0,0,4,4,1,6,4,3,0,0,0,23,0,3,0.0
,,4.0,0,0,0,5,2,0,0,6,2,0,0,0,8,4,3,57.1
,,4.5,0,0,0,1,4,0,11,3,8,0,0,0,22,3,3,50.0
,,0.3,0,0,0,0,3,0,2,0,0,0,0,0,2,0,0,0.0
,,1.4,0,0,0,1,1,1,5,1,2,0,0,0,3,2,1,66.7
,,5.0,0,0,0,1,0,0,1,4,0,0,0,0,10,3,4,42.9
,,4.5,0,0,0,1,2,0,18,2,1,0,0,0,14,2,6,25.0
,,0.7,1,0,0,1,2,0,2,1,2,0,0,0,3,1,0,100.0
,,4.2,0,0,0,4,3,0,9,1,4,0,0,0,18,2,1,66.7
,,0.3,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0.0
,,2.4,2,0,0,3,3,1,3,4,1,0,0,0,22,2,4,33.3
,,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0
,,0.9,0,0,0,1,0,0,1,0,1,0,0,0,5,0,2,0.0
,,3.3,0,0,0,4,4,1,13,1,2,0,0,0,11,1,0,100.0
,,0.6,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0.0
,,3.4,1,0,0,2,1,0,20,3,4,0,0,0,10,3,1,75.0
,,5.0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,100.0
,,2.2,0,0,0,1,2,1,2,4,4,0,0,0,14,1,2,33.3
,,1.3,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0.0
,,2.3,1,0,0,2,8,0,0,2,4,0,0,0,11,9,2,81.8
,,1.8,0,0,0,3,0,0,3,4,2,0,0,0,8,1,1,50.0
,,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
,,3.5,0,0,0,3,2,0,0,4,1,0,0,0,10,5,1,83.3
,,0.5,0,0,0,2,0,0,1,0,1,0,0,0,5,2,2,50.0
,,5.0,1,0,0,6,1,0,10,7,4,0,0,0,14,2,5,28.6
,,0.6,0,0,0,1,0,0,1,0,0,0,0,0,3,1,0,100.0
,,1.0,0,0,0,1,2,0,3,0,0,0,0,0,6,1,0,100.0
,,4.3,0,0,0,1,2,0,1,2,2,0,0,0,26,1,0,100.0
,,1.0,1,0,0,6,0,0,0,1,0,0,0,0,3,7,3,70.0
,,1.4,1,1,0,6,3,0,0,0,2,0,0,0,8,3,1,75.0
,,2.1,0,0,0,0,0,0,7,0,5,0,0,0,3,0,2,0.0
,,5.0,0,0,0,6,3,0,0,2,3,0,0,0,19,10,9,52.6
,,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
,,0.8,0,0,0,3,0,0,1,0,1,0,0,0,5,10,6,62.5
,,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,50.0
,,4.1,0,0,0,6,7,0,19,4,5,0,1,0,19,2,5,28.6
,,2.9,1,0,0,2,2,0,0,7,3,0,0,0,11,3,5,37.5
,,1.8,0,0,0,3,3,1,6,1,0,0,0,0,7,3,6,33.3
,,4.9,0,0,0,1,3,3,3,0,0,0,0,0,8,1,1,50.0
,,4.7,0,0,0,7,6,0,1,3,3,0,0,0,7,16,22,42.1
,,4.1,0,0,0,0,0,0,0,0,3,0,0,0,14,10,2,83.3
,,2.9,0,0,0,6,11,1,6,2,2,0,0,0,12,1,6,14.3
,,3.2,1,1,0,4,2,0,1,3,8,0,0,0,9,2,1,66.7
,,1.7,0,0,0,2,2,0,0,0,4,0,0,0,8,2,3,40.0
