stat_id,player_id,ninety_s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_percent,tkld,tkld_percent,carries,tot_dist,prg_dist,prgc,one_third,cpa,mis,dis,rec,prgr
,,2.6,62,1,6,28,28,12,62,1,1,100.0,0,0.0,32,151.0,49.0,1,0,1,9,3,45,8
,,1.0,67,16,48,19,0,0,67,0,0,0.0,0,0.0,27,104.0,55.0,0,0,0,0,0,38,0
,,3.7,247,29,110,134,5,3,247,0,0,0.0,0,0.0,141,873.0,569.0,6,2,1,0,0,164,0
,,2.0,80,61,79,1,0,0,80,0,0,0.0,0,0.0,45,260.0,158.0,0,0,0,0,0,27,0
,,3.0,114,1,19,53,45,5,114,11,5,45.5,5,45.5,68,369.0,137.0,5,3,2,11,5,78,15
,,1.9,111,14,59,52,1,1,111,0,0,0.0,0,0.0,60,413.0,254.0,0,1,0,1,0,69,0
,,3.5,219,14,61,122,37,3,218,2,2,100.0,0,0.0,96,379.0,159.0,1,0,0,4,0,149,2
,,3.7,265,4,28,162,79,6,265,9,5,55.6,4,44.4,141,967.0,550.0,11,9,0,10,2,197,14
,,4.0,267,19,95,115,60,4,267,7,5,71.4,2,28.6,115,539.0,251.0,5,11,1,6,3,151,16
,,0.6,23,0,2,8,13,2,23,3,0,0.0,2,66.7,9,74.0,38.0,2,1,0,2,1,14,1
,,1.5,70,3,9,22,41,5,70,7,4,57.1,3,42.9,40,240.0,71.0,4,2,2,2,3,51,16
,,1.2,52,0,2,28,24,3,52,3,0,0.0,1,33.3,25,114.0,31.0,1,1,0,1,4,35,4
,,2.8,104,4,18,39,48,16,104,11,5,45.5,3,27.3,69,421.0,191.0,8,7,4,9,2,73,13
,,2.9,102,1,6,39,59,7,102,14,7,50.0,7,50.0,57,348.0,162.0,4,6,3,6,6,66,17
,,4.0,217,5,46,142,31,3,217,6,2,33.3,3,50.0,112,657.0,372.0,3,6,0,4,4,153,6
,,5.0,267,21,94,117,61,3,267,6,3,50.0,1,16.7,121,565.0,295.0,8,5,2,5,1,154,19
,,3.5,251,9,69,101,82,6,251,6,4,66.7,2,33.3,126,614.0,273.0,7,4,3,5,3,157,29
,,1.0,47,8,25,20,2,2,47,0,0,0.0,0,0.0,28,172.0,114.0,1,0,0,0,0,27,0
,,2.7,122,5,18,36,69,17,122,4,3,75.0,1,25.0,69,378.0,196.0,3,2,1,7,6,92,35
,,1.6,60,0,4,21,35,4,60,2,1,50.0,1,50.0,38,137.0,58.0,1,2,0,0,0,41,16
,,3.3,180,4,23,125,33,2,180,3,1,33.3,2,66.7,90,391.0,151.0,3,3,0,2,3,118,3
,,0.9,26,1,3,14,9,5,25,0,0,0.0,0,0.0,12,35.0,9.0,0,0,0,0,3,20,0
,,4.8,139,2,14,72,59,20,138,8,1,12.5,6,75.0,74,533.0,221.0,5,6,3,10,5,93,13
,,1.5,65,5,15,27,26,5,64,5,2,40.0,3,60.0,31,216.0,92.0,3,2,1,3,2,30,8
,,6.0,354,66,197,138,22,11,354,0,0,0.0,0,0.0,162,967.0,633.0,6,3,0,0,2,205,3
,,0.6,45,2,10,12,23,1,45,2,0,0.0,2,100.0,20,105.0,21.0,0,1,0,2,0,22,10
,,3.5,131,5,19,47,65,11,131,5,2,40.0,1,20.0,73,373.0,169.0,8,5,2,9,5,83,14
,,5.0,281,3,15,104,168,34,281,16,8,50.0,7,43.8,140,809.0,383.0,11,8,10,4,3,184,44
,,2.9,146,5,40,54,52,8,146,6,4,66.7,2,33.3,70,342.0,187.0,7,5,2,3,7,88,12
,,1.4,36,3,3,16,19,5,36,6,5,83.3,1,16.7,22,92.0,26.0,2,2,0,3,5,26,7
,,0.8,24,1,3,7,14,2,24,3,2,66.7,1,33.3,13,57.0,26.0,2,0,1,4,1,16,6
,,6.0,233,198,233,0,0,0,233,0,0,0.0,0,0.0,106,600.0,340.0,0,0,0,1,0,100,0
,,3.9,221,7,61,113,52,0,221,2,1,50.0,1,50.0,67,362.0,193.0,5,5,0,3,1,74,9
,,0.3,15,0,2,4,10,2,15,0,0,0.0,0,0.0,8,99.0,71.0,4,1,2,0,0,10,3
,,3.0,146,2,22,51,79,7,146,12,5,41.7,5,41.7,67,434.0,135.0,5,6,1,4,3,98,23
,,2.1,128,5,25,49,59,9,128,6,2,33.3,4,66.7,90,712.0,410.0,16,8,5,4,3,97,24
,,0.3,22,0,2,4,17,1,22,4,1,25.0,3,75.0,11,73.0,47.0,2,1,1,3,0,11,4
,,0.2,17,0,7,8,2,0,17,2,0,0.0,1,50.0,5,23.0,5.0,0,0,0,2,0,5,0
,,3.8,237,14,66,137,35,4,237,1,1,100.0,0,0.0,140,922.0,506.0,6,9,0,2,1,161,2
,,1.3,86,3,22,32,33,6,86,6,2,33.3,4,66.7,57,401.0,183.0,4,3,3,5,2,63,11
,,2.7,126,2,17,71,41,1,126,7,4,57.1,3,42.9,68,355.0,151.0,3,4,1,7,2,97,7
,,3.7,259,5,36,168,55,4,259,0,0,0.0,0,0.0,136,497.0,235.0,0,0,0,2,3,198,4
,,3.7,178,2,15,70,97,7,178,7,5,71.4,2,28.6,96,516.0,213.0,7,8,0,9,3,116,20
,,0.0,3,0,0,2,1,0,3,0,0,0.0,0,0.0,1,1.0,1.0,0,0,0,0,0,1,0
,,3.3,237,9,81,134,22,4,237,2,1,50.0,1,50.0,151,690.0,437.0,4,5,1,2,0,190,4
,,4.7,434,10,99,274,63,4,434,6,4,66.7,2,33.3,260,1345.0,763.0,10,11,0,3,6,322,10
,,0.5,43,3,18,21,5,0,43,0,0,0.0,0,0.0,23,80.0,23.0,0,2,0,1,0,30,3
,,4.0,243,3,17,74,156,19,243,18,6,33.3,8,44.4,168,1204.0,636.0,19,15,7,6,2,196,45
,,2.0,68,55,68,0,0,0,68,0,0,0.0,0,0.0,34,207.0,109.0,0,0,0,0,0,34,0
,,4.6,204,15,59,88,60,3,204,7,3,42.9,4,57.1,83,557.0,276.0,5,3,1,4,5,109,22
,,4.1,125,6,11,54,61,17,125,12,6,50.0,3,25.0,67,317.0,154.0,5,1,3,10,9,85,14
,,1.1,34,0,3,14,18,3,33,3,1,33.3,1,33.3,20,129.0,42.0,2,1,1,4,4,22,7
,,2.7,171,3,21,129,21,0,171,0,0,0.0,0,0.0,111,551.0,281.0,2,4,0,2,2,137,2
,,0.7,17,0,0,11,6,4,17,3,0,0.0,3,100.0,10,57.0,27.0,1,1,1,1,3,12,4
,,4.4,226,19,88,105,34,2,226,6,4,66.7,2,33.3,93,454.0,195.0,4,4,1,3,5,94,8
,,5.0,397,35,183,192,24,6,397,2,1,50.0,0,0.0,247,1191.0,699.0,3,6,1,2,1,290,1
,,2.1,65,0,2,29,36,9,65,2,1,50.0,1,50.0,41,223.0,81.0,2,3,2,7,5,45,10
,,4.1,129,2,6,62,62,22,128,7,3,42.9,3,42.9,81,467.0,137.0,9,2,5,10,3,101,23
,,3.7,218,11,76,91,52,13,218,6,3,50.0,3,50.0,102,392.0,176.0,5,1,3,2,2,120,17
,,2.0,62,1,11,23,31,9,62,6,4,66.7,2,33.3,34,233.0,90.0,4,1,2,12,4,44,12
,,2.5,174,19,105,68,1,0,174,1,0,0.0,0,0.0,98,347.0,163.0,1,0,0,1,0,120,0
,,1.1,100,5,47,48,5,2,100,0,0,0.0,0,0.0,56,205.0,117.0,0,1,0,0,0,67,0
,,1.7,118,4,36,68,14,1,118,1,0,0.0,0,0.0,64,270.0,141.0,3,0,0,1,0,85,1
,,1.0,20,0,2,8,10,1,20,0,0,0.0,0,0.0,11,46.0,20.0,0,1,0,1,3,12,4
,,4.1,185,1,13,94,82,6,184,8,2,25.0,4,50.0,109,683.0,390.0,10,11,0,12,8,142,22
,,3.6,174,8,67,61,49,3,174,4,2,50.0,1,25.0,84,418.0,171.0,3,3,1,2,1,99,10
,,2.7,120,4,28,55,39,5,120,9,6,66.7,1,11.1,76,567.0,280.0,10,4,1,6,2,79,13
,,2.7,178,26,113,60,5,3,178,0,0,0.0,0,0.0,86,262.0,133.0,0,0,0,2,0,126,1
,,2.9,94,1,17,50,28,7,94,4,0,0.0,4,100.0,44,194.0,100.0,2,1,1,2,2,61,12
,,3.3,182,13,58,79,48,2,182,5,2,40.0,2,40.0,69,421.0,271.0,7,2,0,5,2,72,10
,,0.5,16,1,7,8,1,1,16,0,0,0.0,0,0.0,5,7.0,4.0,0,0,0,0,0,4,0
,,2.9,126,10,63,60,3,2,126,1,0,0.0,1,100.0,65,382.0,217.0,1,2,0,0,0,71,0
,,5.0,301,37,193,108,0,0,301,0,0,0.0,0,0.0,161,705.0,331.0,0,1,0,0,0,194,0
,,0.7,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0
,,0.3,12,0,0,3,9,5,12,2,1,50.0,1,50.0,7,48.0,31.0,1,0,1,1,1,10,4
,,4.0,141,117,141,0,0,0,141,0,0,0.0,0,0.0,79,388.0,171.0,0,0,0,0,0,63,0
,,0.2,9,0,4,3,3,0,9,4,3,75.0,1,25.0,4,65.0,47.0,2,1,0,0,0,4,2
,,4.3,322,40,136,171,17,4,322,2,1,50.0,1,50.0,209,1057.0,563.0,3,6,1,0,5,236,2
,,5.0,161,114,157,4,0,0,161,0,0,0.0,0,0.0,76,417.0,261.0,0,0,0,0,0,55,0
,,3.4,109,3,17,40,55,9,109,20,6,30.0,10,50.0,66,311.0,141.0,5,2,3,17,5,72,15
,,2.1,137,7,36,80,23,0,137,3,2,66.7,1,33.3,95,552.0,218.0,0,3,0,5,6,103,2
,,4.0,88,71,86,2,0,0,88,0,0,0.0,0,0.0,50,309.0,166.0,0,0,0,0,0,30,0
,,5.0,174,152,174,0,0,0,174,0,0,0.0,0,0.0,79,393.0,253.0,0,0,0,0,0,51,0
,,0.9,71,1,13,46,13,0,71,0,0,0.0,0,0.0,55,252.0,94.0,1,3,0,0,1,56,2
