stat_id,player_id,ninety_s,sca,sca_per_90,passlive_sca,passdead_sca,to_sca,sh_sca,fld_sca,def_sca,gca,gca_per_90,passlive_gca,passdead_gca,to_gca,sh_gca,fld_gca,def_gca
,,0.3,8,24.0,3,1,0,3,1,0,0,0.0,0,0,0,0,0,0
,,4.0,1,0.25,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.0,7,3.52,6,0,0,1,0,0,2,1.01,1,0,0,1,0,0
,,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,4.9,13,2.63,12,0,0,1,0,0,2,0.4,2,0,0,0,0,0
,,0.5,1,1.87,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,4.9,8,1.63,5,1,0,1,1,0,0,0.0,0,0,0,0,0,0
,,1.1,1,0.88,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0
,,4.1,8,1.94,7,1,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.7,7,2.55,7,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.7,11,4.12,11,0,0,0,0,0,1,0.37,1,0,0,0,0,0
,,5.0,3,0.6,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.8,7,9.0,7,0,0,0,0,0,1,1.29,1,0,0,0,0,0
,,2.1,4,1.95,4,0,0,0,0,0,1,0.49,1,0,0,0,0,0
,,0.9,5,5.56,2,0,0,1,2,0,2,2.22,1,0,0,0,1,0
,,1.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,5.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.6,3,1.93,3,0,0,0,0,0,1,0.64,1,0,0,0,0,0
,,3.1,8,2.55,6,1,0,1,0,0,0,0.0,0,0,0,0,0,0
,,3.6,3,0.83,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,4.7,17,3.59,16,0,0,0,0,1,1,0.21,1,0,0,0,0,0
,,5.0,1,0.2,1,0,0,0,0,0,1,0.2,1,0,0,0,0,0
,,3.0,5,1.69,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.3,7,5.38,3,0,3,1,0,0,1,0.77,0,0,1,0,0,0
,,3.9,8,2.07,7,0,1,0,0,0,0,0.0,0,0,0,0,0,0
,,2.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,6.0,14,2.35,11,0,1,1,1,0,1,0.17,0,0,0,1,0,0
,,5.0,1,0.2,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.3,1,0.74,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.7,7,2.56,3,3,1,0,0,0,1,0.37,1,0,0,0,0,0
,,4.0,8,1.98,7,0,0,1,0,0,4,0.99,3,0,0,1,0,0
,,2.2,2,0.9,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.1,2,1.82,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0
,,4.1,15,3.64,4,8,2,1,0,0,0,0.0,0,0,0,0,0,0
,,2.5,11,4.36,10,1,0,0,0,0,1,0.4,1,0,0,0,0,0
,,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.7,1,0.58,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.3,10,7.56,8,0,2,0,0,0,2,1.51,2,0,0,0,0,0
,,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.9,1,1.07,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0
,,4.0,1,0.25,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0
,,1.3,1,0.79,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0
,,2.5,1,0.4,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.3,3,1.3,0,0,1,0,2,0,0,0.0,0,0,0,0,0,0
,,0.9,3,3.42,2,0,0,1,0,0,1,1.14,1,0,0,0,0,0
,,3.8,2,0.52,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0
,,2.9,19,6.45,13,2,3,0,1,0,1,0.34,1,0,0,0,0,0
,,2.7,3,1.13,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.8,8,2.12,3,3,0,0,2,0,0,0.0,0,0,0,0,0,0
