stat_id,player_id,mp,min,ninety_s,starts,mn_per_start,compl,subs,mn_per_subs,unsub,ppm,on_g,on_ga,plus_minus,plus_minus_per_90,onxg,onxga,xg_plus_minus,xg_plus_minus_per_90
,,3,270,3.0,3,90.0,3,0,0.0,2,0.33,1,5,-4,-1.33,1.3,4.9,-3.6,-1.21
,,4,332,3.7,4,83.0,3,0,0.0,0,2.0,7,2,5,1.36,7.4,2.4,5.0,1.37
,,5,246,2.7,3,72.0,1,2,15.0,0,1.4,3,2,1,0.37,2.8,4.2,-1.4,-0.52
,,4,49,0.5,0,0.0,0,4,12.0,1,0.0,0,1,-1,-1.84,0.4,1.0,-0.6,-1.19
,,4,360,4.0,4,90.0,4,0,0.0,1,1.0,5,5,0,0.0,5.7,4.6,1.2,0.3
,,5,450,5.0,5,90.0,5,0,0.0,0,3.0,17,4,13,2.6,12.9,4.2,8.7,1.75
,,3,29,0.3,0,0.0,0,3,10.0,2,1.67,1,0,1,3.1,0.6,0.7,-0.1,-0.19
,,0,0,0.0,0,0.0,0,0,0.0,3,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,1,8,0.1,0,0.0,0,1,8.0,4,3.0,1,0,1,11.25,0.3,0.0,0.3,3.49
,,1,9,0.1,0,0.0,0,1,9.0,4,3.0,0,0,0,0.0,0.0,0.1,-0.1,-0.88
,,5,205,2.3,3,57.0,0,2,18.0,0,3.0,5,4,1,0.44,4.6,2.6,2.1,0.91
,,5,444,4.9,5,89.0,4,0,0.0,0,1.4,6,9,-3,-0.61,3.5,6.4,-2.9,-0.58
,,4,311,3.5,4,78.0,1,0,0.0,0,1.0,2,3,-1,-0.29,2.4,4.1,-1.6,-0.48
,,2,119,1.3,2,60.0,0,0,0.0,3,2.0,1,1,0,0.0,1.3,0.6,0.7,0.57
,,4,260,2.9,4,65.0,0,0,0.0,0,1.5,4,6,-2,-0.69,3.4,2.3,1.1,0.39
,,6,309,3.4,4,71.0,1,2,13.0,0,0.67,0,2,-2,-0.58,1.6,3.6,-2.0,-0.58
,,4,352,3.9,4,88.0,2,0,0.0,0,0.75,1,2,-1,-0.26,2.7,1.6,1.1,0.29
,,0,0,0.0,0,0.0,0,0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,5,427,4.7,5,85.0,4,0,0.0,0,1.4,7,5,2,0.42,4.5,4.4,0.1,0.03
,,1,12,0.1,0,0.0,0,1,12.0,0,0.0,0,1,-1,-7.5,0.1,0.5,-0.4,-3.14
,,5,450,5.0,5,90.0,5,0,0.0,1,1.0,3,4,-1,-0.2,3.8,4.0,-0.1,-0.03
,,0,0,0.0,0,0.0,0,0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0,0,0.0,0,0.0,0,0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,5,450,5.0,5,90.0,5,0,0.0,0,2.2,9,2,7,1.4,10.0,3.8,6.2,1.23
,,0,0,0.0,0,0.0,0,0,0.0,4,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,5,441,4.9,5,88.0,4,0,0.0,0,0.2,3,10,-7,-1.43,3.2,9.2,-6.0,-1.23
