stat_id,player_id,mp,min,ninety_s,starts,gls,gls_per_90,ast,ast_per_90,g_a,g_a_per_90,g_pk,g_pk_per_90,pk,pkatt,crd_y,crd_r,xg,xg_per_90,npxg,npxg_per_90,xag,xag_per_90,npxg_xag,npxg_xag_per_90
,,4,220,2.4,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,3,161,1.8,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.2,0.12,0.2,0.12,0.7,0.36,0.9,0.49
,,2,91,1.0,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.14,0.1,0.14,0.3,0.25,0.4,0.39
,,1,45,0.5,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,4,191,2.1,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.2,0.09,0.2,0.09,0.1,0.04,0.3,0.13
,,4,315,3.5,3,0,0.0,1,0.29,1,0.29,0,0.0,0,0,1,0,0.1,0.04,0.1,0.04,0.3,0.07,0.4,0.11
,,4,238,2.6,2,1,0.38,0,0.0,1,0.38,1,0.38,0,0,1,0,1.0,0.38,1.0,0.38,0.1,0.03,1.1,0.42
,,2,175,1.9,2,1,0.51,0,0.0,1,0.51,1,0.51,0,0,0,0,0.2,0.09,0.2,0.09,0.0,0.0,0.2,0.09
,,1,4,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,1,90,1.0,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,6,346,3.8,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.3,0.09,0.3,0.09,0.4,0.09,0.7,0.18
,,2,32,0.4,0,0,0.0,1,2.81,1,2.81,0,0.0,0,0,0,0,0.1,0.17,0.1,0.17,0.9,2.48,1.0,2.66
,,1,29,0.3,0,0,0.0,1,3.1,1,3.1,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.9,2.7,0.9,2.7
,,1,87,1.0,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,0.05,0.1,0.05
,,5,322,3.6,4,1,0.28,0,0.0,1,0.28,1,0.28,0,0,0,0,0.2,0.05,0.2,0.05,0.5,0.14,0.7,0.19
,,3,70,0.8,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.02,0.0,0.02,0.3,0.43,0.3,0.45
,,2,37,0.4,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09
,,4,360,4.0,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.03,0.1,0.03,0.1,0.03,0.3,0.07
,,4,182,2.0,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.01,0.0,0.01,0.5,0.25,0.5,0.26
,,3,242,2.7,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,2,0,0.1,0.03,0.1,0.03,0.0,0.01,0.1,0.03
,,2,19,0.2,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,0.41,0.1,0.41
,,1,89,1.0,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,5,334,3.7,4,0,0.0,1,0.27,1,0.27,0,0.0,0,0,0,0,0.4,0.1,0.4,0.1,0.4,0.11,0.8,0.21
,,5,450,5.0,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.4,0.08,0.4,0.08
,,1,78,0.9,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,2,180,2.0,2,1,0.5,0,0.0,1,0.5,1,0.5,0,0,0,0,0.1,0.06,0.1,0.06,0.0,0.0,0.1,0.06
,,3,270,3.0,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.02,0.1,0.02,0.0,0.0,0.1,0.02
,,5,353,3.9,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.4,0.11,0.4,0.11,0.0,0.01,0.5,0.12
,,5,326,3.6,4,0,0.0,1,0.28,1,0.28,0,0.0,0,0,0,0,0.4,0.11,0.4,0.11,0.1,0.03,0.5,0.14
,,3,270,3.0,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02
,,2,179,2.0,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,5,257,2.9,3,1,0.35,0,0.0,1,0.35,1,0.35,0,0,1,0,1.6,0.57,1.6,0.57,0.2,0.09,1.9,0.65
,,3,188,2.1,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,0.03,0.1,0.03
,,2,30,0.3,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.2,0.53,0.2,0.53,0.0,0.06,0.2,0.59
,,4,360,4.0,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,4,179,2.0,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.6,0.3,0.6,0.3,0.2,0.12,0.8,0.42
,,2,18,0.2,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.53,0.1,0.53,0.0,0.0,0.1,0.53
,,5,445,4.9,5,1,0.2,1,0.2,2,0.4,1,0.2,0,0,1,0,1.1,0.23,1.1,0.23,0.7,0.14,1.8,0.36
,,2,48,0.5,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.19,0.1,0.19,0.0,0.06,0.1,0.25
,,5,441,4.9,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.1,0.02,0.1,0.02,0.5,0.1,0.6,0.13
,,2,102,1.1,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.02
,,5,371,4.1,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.1,0.02,0.1,0.02,0.1,0.02,0.2,0.04
,,4,247,2.7,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.05,0.1,0.05,0.0,0.01,0.2,0.06
,,3,240,2.7,3,0,0.0,1,0.37,1,0.37,0,0.0,0,0,0,0,0.6,0.23,0.6,0.23,0.3,0.12,0.9,0.35
,,5,450,5.0,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.4,0.08,0.4,0.08,0.0,0.0,0.4,0.08
,,2,70,0.8,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,4,185,2.1,1,0,0.0,1,0.49,1,0.49,0,0.0,0,0,0,0,0.0,0.01,0.0,0.01,0.1,0.03,0.1,0.04
,,3,81,0.9,0,0,0.0,1,1.11,1,1.11,0,0.0,0,0,0,0,0.1,0.09,0.1,0.09,0.6,0.69,0.7,0.78
,,3,112,1.2,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,1,27,0.3,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,5,450,5.0,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,4,140,1.6,1,0,0.0,1,0.64,1,0.64,0,0.0,0,0,2,0,0.0,0.0,0.0,0.0,0.2,0.15,0.2,0.15
,,5,283,3.1,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.01,0.0,0.01,0.1,0.02,0.1,0.02
,,4,324,3.6,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.2,0.06,0.2,0.06,0.0,0.0,0.2,0.06
,,5,426,4.7,5,0,0.0,1,0.21,1,0.21,0,0.0,0,0,1,0,0.2,0.03,0.2,0.03,0.3,0.07,0.5,0.11
,,5,450,5.0,5,0,0.0,1,0.2,1,0.2,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,0.01,0.1,0.01
,,4,267,3.0,4,1,0.34,0,0.0,1,0.34,1,0.34,0,0,2,0,0.9,0.31,0.9,0.31,0.1,0.02,1.0,0.33
,,4,108,1.2,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.11,0.1,0.11,0.0,0.0,0.1,0.11
,,5,117,1.3,0,1,0.77,0,0.0,1,0.77,1,0.77,0,0,0,0,1.2,0.95,1.2,0.95,0.2,0.14,1.4,1.09
,,5,348,3.9,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.03,0.1,0.03,0.1,0.03,0.2,0.06
,,3,213,2.4,2,1,0.42,0,0.0,1,0.42,1,0.42,0,0,0,0,0.2,0.07,0.2,0.07,0.0,0.0,0.2,0.07
,,6,537,6.0,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.3,0.05,0.3,0.05,0.1,0.02,0.4,0.07
,,5,450,5.0,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,2,121,1.3,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,5,246,2.7,3,2,0.73,0,0.0,2,0.73,2,0.73,0,0,1,0,0.5,0.18,0.5,0.18,0.3,0.1,0.8,0.28
,,5,363,4.0,5,0,0.0,1,0.25,1,0.25,0,0.0,0,0,2,0,0.1,0.03,0.1,0.03,0.4,0.1,0.5,0.13
,,3,200,2.2,3,2,0.9,0,0.0,2,0.9,2,0.9,0,0,1,0,0.8,0.37,0.8,0.37,0.0,0.01,0.8,0.38
