stat_id,player_id,mp,min,ninety_s,starts,gls,gls_per_90,ast,ast_per_90,g_a,g_a_per_90,g_pk,g_pk_per_90,pk,pkatt,crd_y,crd_r,xg,xg_per_90,npxg,npxg_per_90,xag,xag_per_90,npxg_xag,npxg_xag_per_90
,,3,159,1.8,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,1.3,0.72,1.3,0.72,0.0,0.0,1.3,0.72
,,3,242,2.7,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.1,0.03,0.1,0.03
,,4,216,2.4,3,4,1.67,0,0.0,4,1.67,4,1.67,0,0,0,0,2.3,0.95,2.3,0.95,0.1,0.05,2.4,1.0
,,3,262,2.9,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.1,0.02,0.1,0.02,0.0,0.0,0.1,0.02
,,1,8,0.1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,4,360,4.0,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01
,,1,90,1.0,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.01,0.0,0.01,0.0,0.03,0.0,0.04
,,4,252,2.8,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.1,0.05,0.1,0.05,0.0,0.01,0.2,0.06
,,4,283,3.1,4,1,0.32,0,0.0,1,0.32,1,0.32,0,0,0,0,0.8,0.26,0.8,0.26,1.3,0.4,2.1,0.67
,,2,170,1.9,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.07,0.1,0.07,0.2,0.13,0.4,0.2
,,3,270,3.0,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,2,103,1.1,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
