stat_id,player_id,mp,min,ninety_s,starts,mn_per_start,compl,subs,mn_per_subs,unsub,ppm,on_g,on_ga,plus_minus,plus_minus_per_90,onxg,onxga,xg_plus_minus,xg_plus_minus_per_90
,,3,69,0.8,1,45.0,0,2,12.0,1,3.0,2,0,2,2.61,1.4,0.4,1.1,1.37
,,3,244,2.7,3,81.0,2,0,0.0,1,1.33,3,4,-1,-0.37,2.7,2.2,0.5,0.18
,,4,360,4.0,4,90.0,4,0,0.0,0,2.0,4,1,3,0.75,7.4,2.8,4.5,1.14
,,3,41,0.5,0,0.0,0,3,14.0,1,1.0,1,1,0,0.0,0.5,0.3,0.2,0.4
,,3,26,0.3,0,0.0,0,3,9.0,1,3.0,0,1,-1,-3.46,0.3,0.9,-0.7,-2.26
,,3,206,2.3,2,81.0,1,1,45.0,0,0.33,2,6,-4,-1.75,2.7,4.9,-2.2,-0.94
,,2,152,1.7,2,76.0,1,0,0.0,0,3.0,7,1,6,3.55,6.0,1.5,4.6,2.69
,,3,206,2.3,2,90.0,1,1,27.0,1,1.33,4,4,0,0.0,3.0,3.7,-0.7,-0.29
,,1,71,0.8,1,71.0,0,0,0.0,1,3.0,1,0,1,1.27,1.0,0.2,0.8,1.01
,,3,270,3.0,3,90.0,3,0,0.0,0,2.33,10,4,6,2.0,6.3,3.2,3.1,1.03
,,0,0,0.0,0,0.0,0,0,0.0,3,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,4,211,2.3,2,84.0,1,2,22.0,0,1.5,3,2,1,0.43,2.7,2.3,0.4,0.16
,,4,248,2.8,2,74.0,1,2,50.0,0,1.0,1,8,-7,-2.54,3.7,7.0,-3.3,-1.2
,,4,292,3.2,3,88.0,2,1,27.0,0,2.5,5,1,4,1.23,6.4,2.7,3.6,1.11
,,3,46,0.5,0,0.0,0,3,15.0,0,2.33,2,0,2,3.91,0.6,1.7,-1.1,-2.14
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,4,216,2.4,2,77.0,1,2,31.0,0,1.25,4,3,1,0.42,3.7,2.5,1.2,0.5
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0,0,0.0,0,0.0,0,0,0.0,3,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,2,107,1.2,1,75.0,0,1,32.0,0,1.5,1,2,-1,-0.84,1.2,2.5,-1.3,-1.13
,,1,22,0.2,0,0.0,0,1,22.0,1,0.0,0,0,0,0.0,1.0,0.2,0.8,2.96
,,2,39,0.4,0,0.0,0,2,20.0,2,1.5,0,1,-1,-2.31,0.4,1.0,-0.6,-1.36
,,3,130,1.4,1,71.0,0,2,30.0,0,2.0,3,1,2,1.38,2.4,0.8,1.6,1.13
,,4,360,4.0,4,90.0,4,0,0.0,0,1.75,6,6,0,0.0,2.8,7.4,-4.6,-1.14
,,3,130,1.4,1,90.0,1,2,20.0,1,1.67,2,1,1,0.69,1.1,2.0,-0.9,-0.59
,,0,0,0.0,0,0.0,0,0,0.0,4,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,1,9,0.1,0,0.0,0,1,9.0,0,3.0,0,0,0,0.0,0.7,0.0,0.7,6.22
,,4,256,2.8,3,79.0,0,1,18.0,0,1.75,5,4,1,0.35,2.4,5.1,-2.7,-0.96
,,3,162,1.8,2,76.0,0,1,11.0,0,1.33,5,4,1,0.56,4.9,3.4,1.4,0.78
,,0,0,0.0,0,0.0,0,0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,3,181,2.0,2,90.0,2,1,1.0,0,1.33,4,3,1,0.5,4.2,2.2,2.0,1.0
,,4,221,2.5,3,66.0,0,1,23.0,0,1.5,3,2,1,0.41,2.3,2.7,-0.4,-0.16
,,4,337,3.7,4,84.0,0,0,0.0,0,1.0,6,5,1,0.27,5.6,4.4,1.2,0.32
