stat_id,player_id,ninety_s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_percent,tkld,tkld_percent,carries,tot_dist,prg_dist,prgc,one_third,cpa,mis,dis,rec,prgr
,,0.1,7,0,0,4,3,1,7,0,0,0.0,0,0.0,5,30.0,12.0,1,0,1,0,1,5,1
,,3.9,461,17,120,295,51,2,461,1,0,0.0,1,100.0,310,1172.0,563.0,1,6,0,4,2,377,3
,,1.0,21,0,2,8,12,3,21,2,2,100.0,0,0.0,14,93.0,44.0,1,2,0,2,5,18,3
,,0.9,61,0,9,24,28,6,61,1,0,0.0,1,100.0,33,162.0,101.0,0,0,0,2,0,38,8
,,0.5,13,1,1,8,4,2,13,1,1,100.0,0,0.0,8,65.0,39.0,2,0,0,0,0,8,2
,,3.9,162,1,18,64,85,7,162,12,7,58.3,5,41.7,97,743.0,392.0,16,10,2,10,3,115,25
,,2.0,121,6,25,50,46,1,121,0,0,0.0,0,0.0,67,503.0,228.0,9,7,1,0,0,77,17
,,0.2,11,0,2,4,5,0,11,0,0,0.0,0,0.0,6,14.0,9.0,0,0,0,0,0,6,1
,,3.0,142,122,142,0,0,0,142,0,0,0.0,0,0.0,98,445.0,248.0,0,0,0,0,0,84,0
,,3.8,297,14,94,139,66,4,297,9,1,11.1,4,44.4,159,713.0,384.0,10,7,1,5,4,178,26
,,0.3,13,0,3,3,7,1,13,0,0,0.0,0,0.0,9,38.0,4.0,0,1,1,1,1,9,0
,,2.5,85,1,10,31,49,9,85,17,9,52.9,8,47.1,58,452.0,231.0,12,6,6,11,2,55,18
,,4.0,225,23,111,108,7,4,225,0,0,0.0,0,0.0,132,517.0,180.0,0,0,0,0,1,147,1
,,2.0,114,1,10,67,39,1,114,7,1,14.3,6,85.7,74,411.0,224.0,6,6,0,5,6,82,8
,,2.5,100,2,20,49,32,5,100,7,4,57.1,3,42.9,70,396.0,236.0,7,3,2,2,1,72,15
,,2.8,106,3,23,49,38,10,106,9,2,22.2,7,77.8,46,241.0,80.0,1,1,0,6,3,58,11
,,1.8,52,0,1,20,32,10,52,4,1,25.0,3,75.0,39,240.0,99.0,5,4,2,3,6,45,18
,,3.3,160,3,26,88,48,2,160,3,2,66.7,1,33.3,85,439.0,203.0,5,3,0,5,1,89,20
,,2.9,164,4,29,97,40,6,164,2,1,50.0,1,50.0,84,302.0,130.0,3,0,0,4,3,114,12
,,0.1,8,1,2,6,0,0,8,1,1,100.0,0,0.0,5,31.0,21.0,1,0,0,0,0,7,0
,,2.3,213,1,19,88,107,10,213,10,5,50.0,5,50.0,128,671.0,296.0,6,7,4,4,3,164,19
,,3.7,145,1,24,74,50,3,145,5,2,40.0,1,20.0,73,393.0,228.0,7,5,0,7,4,94,21
,,3.0,232,19,104,123,6,2,232,1,0,0.0,1,100.0,127,655.0,359.0,0,0,0,0,1,150,1
,,0.8,37,1,8,11,22,1,37,7,4,57.1,2,28.6,27,289.0,177.0,4,6,0,1,0,24,7
,,1.1,44,0,3,18,24,4,44,2,1,50.0,1,50.0,23,218.0,118.0,5,2,2,2,4,32,2
,,2.2,109,16,61,45,4,0,109,0,0,0.0,0,0.0,36,166.0,66.0,0,1,0,0,0,49,1
,,0.8,28,2,5,11,12,5,28,0,0,0.0,0,0.0,17,67.0,30.0,2,1,1,3,4,20,7
,,1.1,103,19,64,38,1,1,103,1,1,100.0,0,0.0,72,394.0,226.0,1,0,0,0,0,74,0
,,4.0,128,112,128,0,0,0,128,0,0,0.0,0,0.0,77,399.0,213.0,0,0,0,0,0,58,0
,,1.5,46,0,1,18,27,12,45,5,1,20.0,4,80.0,31,94.0,51.0,3,0,1,4,3,40,11
,,2.9,220,6,35,158,28,5,220,3,2,66.7,1,33.3,143,532.0,196.0,0,0,0,3,1,174,2
,,0.7,34,5,15,17,2,0,34,0,0,0.0,0,0.0,12,53.0,10.0,0,0,0,1,1,12,0
,,0.2,7,0,0,6,1,0,7,0,0,0.0,0,0.0,5,33.0,7.0,0,0,0,0,0,6,0
,,0.2,9,1,2,4,3,0,9,1,1,100.0,0,0.0,6,26.0,15.0,0,0,0,1,0,6,0
,,1.0,36,5,23,12,1,1,36,0,0,0.0,0,0.0,14,64.0,19.0,0,0,0,0,0,16,0
,,2.1,101,8,34,49,18,2,101,2,1,50.0,1,50.0,47,217.0,97.0,2,3,0,1,0,63,3
,,1.8,65,0,4,25,38,11,65,10,5,50.0,5,50.0,46,306.0,83.0,5,2,2,7,1,52,18
,,0.9,36,1,3,18,15,4,36,2,1,50.0,1,50.0,14,99.0,71.0,4,1,1,2,0,28,12
,,3.0,105,1,9,45,52,11,105,8,3,37.5,3,37.5,56,200.0,60.0,2,2,1,9,3,83,18
,,4.0,121,105,120,1,0,0,121,0,0,0.0,0,0.0,59,283.0,161.0,0,0,0,0,0,51,0
,,4.0,237,25,94,105,38,1,236,1,1,100.0,0,0.0,107,541.0,244.0,6,3,0,3,1,134,6
,,1.9,49,0,1,25,23,10,49,2,1,50.0,1,50.0,34,129.0,47.0,2,2,2,6,2,39,12
,,4.0,154,124,153,1,0,0,154,0,0,0.0,0,0.0,86,456.0,277.0,0,0,0,0,0,69,0
