stat_id,player_id,ninety_s,crd_y,crd_r,two_crd_y,fls,fld,off,crs,interceptions,tklw,pkwon,pkcon,og,recov,won,lost,won_percent
,,4.0,1,0,0,7,2,0,1,2,7,0,0,0,14,7,6,53.8
,,2.5,0,0,0,1,1,0,11,2,1,0,0,0,11,2,2,50.0
,,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0
,,2.9,0,0,0,4,6,5,2,0,4,0,0,0,7,3,14,17.6
,,4.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.0
,,4.0,0,0,0,4,0,0,2,1,8,0,0,0,17,1,1,50.0
,,2.4,1,0,0,1,0,1,1,1,3,0,0,0,14,1,4,20.0
,,3.7,0,0,0,4,1,0,17,6,12,0,0,0,14,4,2,66.7
,,2.1,2,0,0,8,4,0,6,0,8,0,0,0,10,2,3,40.0
,,2.8,3,1,1,5,2,0,0,0,3,0,1,0,10,6,1,85.7
,,1.9,2,0,0,3,1,0,4,2,3,0,1,0,10,0,1,0.0
,,1.5,0,0,0,1,2,0,2,1,0,0,0,0,6,0,1,0.0
,,1.0,0,0,0,0,0,0,1,2,1,0,0,0,4,4,2,66.7
,,0.4,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0.0
,,0.2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0
,,1.5,0,0,0,2,0,0,4,1,0,0,1,0,6,2,3,40.0
,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
,,2.8,0,0,0,7,2,0,0,3,1,0,0,1,11,11,1,91.7
,,0.6,0,0,0,1,0,0,2,1,1,0,0,0,2,0,0,0.0
,,2.0,0,0,0,1,1,0,0,2,0,0,0,0,10,7,4,63.6
,,3.8,2,0,0,5,4,0,1,4,1,0,0,0,16,6,5,54.5
,,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,100.0
,,2.1,0,0,0,2,5,1,0,0,0,0,0,0,4,1,6,14.3
,,3.7,0,0,0,3,4,1,8,2,4,0,0,0,15,5,9,35.7
,,0.1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0.0
,,3.7,0,0,0,2,5,0,26,1,5,0,0,0,25,1,2,33.3
,,2.6,1,0,0,1,6,1,15,3,1,1,0,0,6,0,0,0.0
,,4.0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0.0
,,0.2,0,0,0,0,2,0,0,0,2,0,0,0,1,0,1,0.0
,,4.0,1,0,0,6,2,1,0,1,2,0,0,0,26,5,3,62.5
,,3.1,1,0,0,6,3,2,0,0,2,0,0,0,11,3,10,23.1
,,3.3,1,0,0,4,9,0,2,0,1,0,0,0,10,6,2,75.0
,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
,,0.2,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0.0
,,1.5,1,0,0,1,4,0,1,0,0,1,0,0,1,2,1,66.7
,,1.3,0,0,0,3,1,0,0,1,0,0,0,0,7,3,1,75.0
,,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
,,3.1,0,0,0,5,2,0,3,2,5,0,0,0,23,4,4,50.0
,,4.0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0.0
,,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
,,4.0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0.0
,,0.9,0,0,0,4,2,0,5,0,1,0,0,0,3,0,0,0.0
,,4.0,2,0,0,8,5,0,1,6,5,0,0,0,28,6,3,66.7
,,2.9,1,0,0,5,5,0,3,2,4,0,0,0,8,1,6,14.3
,,3.5,1,0,0,1,3,0,0,4,3,0,0,0,9,2,2,50.0
,,0.3,0,0,0,1,0,0,0,1,2,0,0,0,3,0,0,0.0
,,3.0,0,0,0,5,3,0,6,4,7,0,0,0,9,4,2,66.7
,,1.0,1,0,0,1,0,0,0,2,2,0,0,0,5,0,2,0.0
,,3.1,2,0,0,6,4,0,7,1,3,0,0,0,11,2,3,40.0
,,2.5,0,0,0,3,3,0,10,2,5,0,0,0,6,3,3,50.0
,,1.0,0,0,0,1,1,0,0,1,1,0,0,0,4,0,1,0.0
,,2.7,1,0,0,2,6,2,1,1,0,0,0,0,8,6,1,85.7
