stat_id,player_id,ninety_s,cmp_total,att_total,cmp_percent_total,tot_dist_total,prg_dist_total,cmp_short,att_short,cmp_percent_short,cmp_medium,att_medium,cmp_percent_medium,cmp_long,att_long,cmp_percent_long,ast,xa,xag,a_xag,kp,one_third_ppa,crspa,prgp
,,0.9,66,76,86.8,1038.0,184.0,31,32,96.9,26,32,81.3,4,7,57.1,0,0.0,0.0,0.0,2,1,0,3
,,0.8,22,30,73.3,335.0,192.0,13,14,92.9,9,12,75.0,0,1,0.0,0,0.0,0.0,0.0,0,2,0,2
,,2.9,45,80,56.3,703.0,254.0,27,31,87.1,13,23,56.5,4,23,17.4,0,0.2,0.4,-0.4,4,3,1,6
,,3.6,156,191,81.7,2174.0,672.0,95,107,88.8,45,56,80.4,8,12,66.7,0,1.3,1.7,-1.7,6,9,2,19
,,1.9,95,112,84.8,1383.0,506.0,50,56,89.3,39,41,95.1,3,6,50.0,0,0.4,0.4,-0.4,5,11,0,22
,,3.3,102,118,86.4,1589.0,528.0,56,60,93.3,34,41,82.9,8,10,80.0,0,0.1,0.0,0.0,1,9,0,15
,,2.6,76,99,76.8,1299.0,356.0,30,35,85.7,39,48,81.3,5,11,45.5,0,0.1,0.2,-0.2,3,2,1,10
,,3.2,148,194,76.3,2449.0,1009.0,88,100,88.0,41,61,67.2,16,22,72.7,1,0.6,0.7,0.3,2,5,2,13
,,0.3,11,20,55.0,158.0,54.0,5,7,71.4,6,8,75.0,0,3,0.0,0,0.0,0.0,0.0,0,0,0,3
,,0.1,2,6,33.3,37.0,27.0,1,1,100.0,0,2,0.0,1,2,50.0,0,0.1,0.0,0.0,1,0,0,0
,,3.0,295,309,95.5,5091.0,1199.0,146,150,97.3,112,114,98.2,32,34,94.1,0,0.4,0.7,-0.7,3,24,0,30
,,0.5,7,8,87.5,102.0,7.0,3,3,100.0,4,4,100.0,0,0,0.0,0,0.0,0.0,0.0,1,0,0,0
,,2.3,30,40,75.0,395.0,40.0,23,26,88.5,6,7,85.7,1,2,50.0,0,0.1,0.0,0.0,1,2,0,1
,,2.4,73,93,78.5,1171.0,425.0,38,47,80.9,28,31,90.3,4,8,50.0,1,0.2,0.7,0.3,2,1,2,3
,,4.0,149,172,86.6,3067.0,1392.0,44,48,91.7,86,96,89.6,19,27,70.4,0,0.1,0.0,0.0,0,11,0,12
,,2.0,45,53,84.9,896.0,297.0,8,9,88.9,31,31,100.0,5,12,41.7,0,0.0,0.1,-0.1,1,2,0,3
,,0.8,80,85,94.1,1372.0,317.0,30,32,93.8,47,49,95.9,3,4,75.0,0,0.0,0.0,0.0,0,3,0,4
,,2.9,175,186,94.1,2455.0,352.0,115,117,98.3,49,54,90.7,6,10,60.0,0,0.1,0.2,-0.2,2,5,0,10
,,0.1,4,6,66.7,36.0,6.0,3,4,75.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0
,,3.8,180,203,88.7,2658.0,744.0,102,108,94.4,69,76,90.8,6,12,50.0,1,0.2,0.2,0.8,3,12,1,13
,,1.2,27,46,58.7,444.0,117.0,13,19,68.4,14,16,87.5,0,4,0.0,1,0.2,0.2,0.8,4,4,0,5
,,3.0,106,131,80.9,2067.0,858.0,34,38,89.5,64,71,90.1,7,19,36.8,0,0.0,0.0,0.0,0,6,0,4
,,2.0,65,93,69.9,929.0,272.0,41,46,89.1,23,34,67.6,1,6,16.7,0,0.5,1.0,-1.0,6,4,0,10
,,0.3,14,20,70.0,265.0,99.0,5,5,100.0,8,11,72.7,1,4,25.0,0,0.0,0.0,0.0,1,1,0,2
,,0.1,6,6,100.0,81.0,10.0,3,3,100.0,0,0,0.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,1
,,0.8,33,42,78.6,597.0,269.0,16,17,94.1,12,15,80.0,4,8,50.0,1,0.3,0.2,0.8,4,2,2,5
