stat_id,player_id,ninety_s,att,live,dead,fk,tb,sw,crs,ti,ck,inn,outt,str,cmp,off,blocks
,,2.8,248,243,5,5,0,0,0,0,0,0,0,0,231,0,2
,,1.9,89,67,22,4,1,4,4,18,0,0,0,0,77,0,2
,,1.5,49,47,2,1,0,1,2,0,1,1,0,0,43,0,1
,,1.0,56,55,1,0,0,0,1,1,0,0,0,0,47,0,0
,,0.4,10,10,0,0,0,0,1,0,0,0,0,0,9,0,0
,,0.2,9,8,1,1,0,1,0,0,0,0,0,0,8,0,0
,,1.5,45,44,1,0,0,0,4,1,0,0,0,0,33,0,1
,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2.8,160,141,19,4,0,0,0,7,0,0,0,0,118,0,4
,,0.6,57,50,7,1,0,1,2,6,0,0,0,0,44,0,2
,,2.0,108,95,13,6,0,0,0,0,0,0,0,0,87,0,1
,,3.8,279,265,13,13,0,1,1,0,0,0,0,0,241,1,3
,,0.5,24,24,0,0,0,0,0,0,0,0,0,0,19,0,0
,,2.1,54,51,3,0,0,1,0,0,0,0,0,0,41,0,3
,,3.7,82,69,11,1,0,0,8,4,5,0,5,0,63,2,0
,,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
,,3.7,164,138,26,11,0,1,26,4,11,4,5,0,116,0,9
,,2.6,153,144,9,1,0,0,15,1,7,0,4,0,120,0,9
,,4.0,121,88,33,8,0,0,0,0,0,0,0,0,97,0,0
,,0.2,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0
,,4.0,340,329,11,8,0,0,0,2,0,0,0,0,326,0,4
,,3.1,60,54,6,0,0,1,0,0,0,0,0,0,52,0,2
,,3.3,117,115,2,0,1,0,2,0,0,0,0,0,96,0,2
,,0.0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
,,0.2,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0
,,1.5,27,26,1,0,1,0,1,0,0,0,0,0,22,0,0
,,1.3,78,71,7,5,0,1,0,2,0,0,0,0,63,0,3
,,0.2,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0
,,0.0,9,7,1,1,0,0,0,0,0,0,0,0,7,1,0
,,3.1,132,127,3,3,2,0,3,0,0,0,0,0,100,2,4
,,4.0,157,124,32,15,0,0,0,0,0,0,0,0,114,1,0
,,0.1,17,17,0,0,0,1,0,0,0,0,0,0,16,0,0
,,4.0,122,92,30,9,0,0,0,0,0,0,0,0,99,0,0
,,0.9,43,42,1,0,1,0,5,0,1,1,0,0,35,0,2
,,4.0,297,257,40,10,0,1,1,27,0,0,0,0,250,0,3
,,2.9,129,124,5,3,0,0,3,1,0,0,0,0,114,0,2
,,3.5,162,157,5,3,1,1,0,2,0,0,0,0,137,0,3
,,0.3,17,16,1,0,0,0,0,0,0,0,0,0,14,0,0
,,3.0,135,102,32,0,0,0,6,32,0,0,0,0,99,1,4
,,1.0,47,45,2,0,0,1,0,0,0,0,0,0,43,0,0
,,3.1,96,80,16,3,0,1,7,13,0,0,0,0,75,0,3
,,2.5,91,61,29,0,0,0,10,29,0,0,0,0,61,1,7
,,1.0,27,27,0,0,0,1,0,0,0,0,0,0,20,0,1
,,2.7,47,43,3,1,2,0,1,0,0,0,0,0,30,1,1
,,3.6,41,31,9,0,0,0,0,0,0,0,0,0,34,1,1
,,2.0,69,64,5,1,0,0,4,1,3,1,2,0,57,0,4
,,1.0,67,67,0,0,0,1,1,0,0,0,0,0,61,0,2
,,0.6,41,34,6,0,0,0,4,1,5,1,3,0,29,1,1
,,0.9,34,34,0,0,0,0,1,0,0,0,0,0,27,0,0
,,0.3,7,7,0,0,1,0,0,0,0,0,0,0,4,0,0
,,3.0,214,201,13,8,0,0,3,5,0,0,0,0,189,0,0
,,0.1,4,4,0,0,0,0,0,0,0,0,0,0,2,0,1
,,1.5,50,46,4,0,1,0,6,4,0,0,0,0,33,0,3
,,4.0,117,87,30,11,0,0,0,0,0,0,0,0,83,0,0
,,0.8,39,39,0,0,0,2,0,0,0,0,0,0,31,0,2
,,1.3,91,70,20,0,2,0,11,16,4,1,3,0,65,1,9
,,1.0,44,41,2,0,1,1,2,0,2,2,0,0,29,1,1
,,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
,,0.1,5,5,0,0,0,0,2,0,0,0,0,0,2,0,1
,,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3.8,88,84,3,2,0,0,7,0,0,0,0,0,55,1,5
,,0.8,55,55,0,0,0,0,2,0,0,0,0,0,46,0,1
,,1.4,58,56,0,0,0,0,1,0,0,0,0,0,51,2,0
,,0.3,4,4,0,0,0,0,1,0,0,0,0,0,2,0,0
,,3.0,72,64,8,1,0,0,1,0,0,0,0,0,58,0,3
,,3.8,209,202,7,7,1,1,3,0,0,0,0,0,171,0,3
,,0.5,9,9,0,0,1,0,0,0,0,0,0,0,5,0,1
,,4.0,146,143,3,2,0,4,3,0,1,1,0,0,118,0,1
,,3.5,77,64,12,3,0,0,10,3,6,6,0,0,53,1,3
,,2.9,135,106,29,0,0,1,15,29,0,0,0,0,106,0,6
,,4.0,53,44,9,0,2,0,4,0,0,0,0,0,45,0,1
,,0.1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1.0,36,34,2,0,0,0,1,2,0,0,0,0,30,0,0
,,3.9,352,315,37,6,1,0,13,30,1,0,0,0,318,0,3
,,1.5,114,99,15,0,0,0,9,15,0,0,0,0,90,0,1
,,3.3,141,127,14,6,2,1,5,0,3,1,1,0,118,0,4
,,2.4,127,108,18,4,0,2,7,14,0,0,0,0,104,1,4
,,3.6,141,139,2,0,0,0,5,2,0,0,0,0,112,0,6
,,1.4,80,68,12,1,0,2,5,11,0,0,0,0,65,0,1
,,3.0,100,95,5,4,0,0,0,0,0,0,0,0,85,0,0
,,0.1,5,4,1,0,0,0,0,0,0,0,0,0,4,0,1
,,3.9,417,406,11,8,0,0,0,2,1,0,0,0,398,0,3
,,1.0,15,14,1,0,1,0,0,0,0,0,0,0,10,0,0
,,0.9,49,43,6,0,0,0,3,6,0,0,0,0,42,0,1
,,0.5,11,11,0,0,0,0,1,0,0,0,0,0,7,0,1
,,3.9,129,111,18,8,0,0,22,2,7,4,2,0,86,0,6
,,2.0,105,87,18,5,0,0,14,13,0,0,0,0,85,0,2
,,0.2,8,8,0,0,0,0,0,0,0,0,0,0,6,0,0
,,3.0,129,118,11,4,0,0,0,0,0,0,0,0,107,0,0
,,3.8,238,210,27,5,0,5,22,22,0,0,0,0,164,1,7
,,0.3,9,9,0,0,0,0,1,0,0,0,0,0,6,0,0
,,2.5,45,45,0,0,1,0,7,0,0,0,0,0,24,0,2
,,4.0,188,178,10,10,0,1,0,0,0,0,0,0,170,0,1
,,2.0,80,74,5,3,0,0,5,1,1,1,0,0,63,1,1
,,2.5,79,77,2,1,1,0,2,0,1,0,0,0,62,0,1
,,2.8,69,69,0,0,1,0,0,0,0,0,0,0,51,0,2
,,1.8,37,34,2,0,0,0,1,0,0,0,0,0,30,1,0
,,3.3,131,109,22,2,1,0,5,20,0,0,0,0,105,0,6
,,2.9,134,128,5,4,1,0,0,1,0,0,0,0,120,1,0
,,0.1,6,6,0,0,0,0,0,0,0,0,0,0,3,0,0
,,2.3,185,165,20,2,1,0,8,1,17,2,4,0,166,0,4
,,3.7,107,101,5,1,1,0,3,1,0,0,0,0,82,1,2
,,3.0,201,182,19,18,1,1,0,0,0,0,0,0,183,0,1
,,0.8,29,26,3,3,1,0,3,0,0,0,0,0,22,0,0
,,1.1,31,25,6,0,0,0,4,0,2,1,0,0,25,0,1
,,2.2,77,73,4,1,0,0,1,0,0,0,0,0,65,0,1
,,0.8,18,18,0,0,0,0,0,0,0,0,0,0,13,0,2
,,1.1,85,82,3,3,0,0,0,0,0,0,0,0,81,0,0
,,4.0,120,85,35,8,0,0,0,0,0,0,0,0,88,0,0
,,1.5,27,25,2,0,0,0,0,0,0,0,0,0,23,0,0
,,2.9,190,189,1,0,0,0,0,1,0,0,0,0,175,0,0
,,0.7,27,19,8,0,0,0,0,8,0,0,0,0,17,0,5
,,0.2,7,7,0,0,0,0,0,0,0,0,0,0,7,0,0
,,0.2,7,7,0,0,0,0,0,0,0,0,0,0,5,0,0
,,1.0,23,23,0,0,0,0,0,0,0,0,0,0,19,0,0
,,2.1,82,80,2,1,0,0,3,0,1,1,0,0,65,0,1
,,1.8,45,43,1,0,1,0,4,0,0,0,0,0,29,1,0
,,0.9,28,28,0,0,0,0,4,0,0,0,0,0,21,0,1
,,3.0,80,73,6,0,0,0,2,0,0,0,0,0,55,1,5
,,4.0,104,68,35,10,0,0,0,0,0,0,0,0,63,1,1
,,4.0,195,165,28,4,0,2,13,24,0,0,0,0,154,2,6
,,1.9,32,27,5,0,0,0,0,0,0,0,0,0,23,0,2
,,4.0,139,96,42,12,0,0,0,0,0,0,0,0,86,1,0
,,3.8,188,176,10,9,0,2,0,0,0,0,0,0,159,2,0
,,1.1,14,14,0,0,0,0,0,0,0,0,0,0,11,0,0
,,4.0,133,96,37,11,0,0,0,0,0,0,0,0,90,0,0
,,4.0,262,246,14,11,0,1,3,3,0,0,0,0,209,2,6
,,0.8,29,28,1,0,0,0,1,0,1,1,0,0,23,0,1
,,4.0,149,116,32,14,0,0,0,1,0,0,0,0,99,1,0
,,0.1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0
,,3.0,70,69,1,0,0,0,3,0,1,1,0,0,52,0,4
,,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
,,1.0,37,26,11,0,0,0,0,11,0,0,0,0,26,0,2
,,4.0,175,172,2,1,0,2,0,1,0,0,0,0,143,1,2
,,0.4,21,19,2,0,0,0,2,2,0,0,0,0,17,0,0
,,0.1,4,4,0,0,0,0,0,0,0,0,0,0,3,0,1
,,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1.4,62,48,14,0,0,0,5,12,2,2,0,0,44,0,2
,,1.6,98,84,14,4,0,1,4,10,0,0,0,0,74,0,1
,,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
,,1.3,80,80,0,0,0,0,0,0,0,0,0,0,72,0,1
,,3.0,96,93,2,2,0,1,3,0,0,0,0,0,70,1,2
,,1.9,26,22,4,0,0,0,0,1,0,0,0,0,16,0,1
,,3.1,117,89,27,1,1,0,10,15,11,7,2,0,88,1,3
,,0.2,17,17,0,0,0,0,0,0,0,0,0,0,14,0,0
,,4.0,113,85,28,10,0,0,0,0,0,0,0,0,83,0,0
,,2.5,172,164,8,5,0,2,3,2,0,0,0,0,160,0,0
,,0.7,32,31,0,0,0,0,1,0,0,0,0,0,29,1,2
,,0.7,14,14,0,0,0,0,0,0,0,0,0,0,11,0,0
,,2.2,194,188,5,4,0,1,0,1,0,0,0,0,184,1,1
,,1.9,106,103,3,3,0,0,0,0,0,0,0,0,97,0,0
,,4.0,170,140,29,7,0,1,7,21,0,0,0,0,133,1,3
,,3.1,146,136,10,9,0,2,2,0,0,0,0,0,125,0,3
,,4.0,179,177,2,2,2,1,1,0,0,0,0,0,157,0,2
,,1.0,35,32,3,0,0,0,0,1,0,0,0,0,27,0,3
,,0.9,69,66,3,0,0,0,0,0,0,0,0,0,63,0,0
,,0.2,11,10,1,1,0,0,0,0,0,0,0,0,8,0,1
,,0.8,36,34,2,1,0,0,0,0,1,0,0,0,30,0,1
,,0.8,21,20,0,0,0,0,0,0,0,0,0,0,19,1,0
,,2.7,120,110,10,4,0,0,0,6,0,0,0,0,100,0,1
,,4.0,197,187,6,5,1,1,1,1,0,0,0,0,172,4,1
,,0.5,10,10,0,0,0,0,0,0,0,0,0,0,8,0,0
,,0.3,28,24,4,0,0,0,0,4,0,0,0,0,26,0,1
,,2.3,58,47,11,4,0,0,8,2,4,3,1,0,39,0,3
,,1.7,138,119,19,7,0,1,6,12,0,0,0,0,125,0,3
,,2.3,130,115,15,5,0,0,2,10,0,0,0,0,105,0,1
,,0.8,43,43,0,0,0,1,0,0,0,0,0,0,39,0,1
,,3.0,223,204,18,0,0,0,11,17,1,0,0,0,189,1,4
,,2.3,178,167,11,1,0,1,6,10,0,0,0,0,141,0,6
,,2.8,86,82,3,0,0,0,3,0,0,0,0,0,70,1,2
,,3.2,102,96,4,1,5,0,2,1,0,0,0,0,71,2,4
,,0.5,8,7,0,0,0,0,0,0,0,0,0,0,3,1,0
,,2.4,107,91,15,3,0,0,6,11,1,0,0,0,74,1,2
,,1.2,42,42,0,0,0,0,0,0,0,0,0,0,41,0,0
,,0.2,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0
,,0.4,30,29,0,0,1,1,1,0,0,0,0,0,26,1,1
,,1.4,107,106,0,0,0,0,0,0,0,0,0,0,97,1,1
,,4.0,86,85,1,1,0,0,2,0,0,0,0,0,69,0,0
,,1.4,60,58,2,2,0,1,0,0,0,0,0,0,54,0,1
,,0.1,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0
,,2.8,75,71,4,1,1,0,4,3,0,0,0,0,56,0,2
,,1.8,54,50,4,0,1,0,3,1,3,0,2,0,46,0,0
,,2.0,113,101,11,8,0,0,1,1,0,0,0,0,99,1,0
,,2.5,76,74,1,1,1,0,0,0,0,0,0,0,55,1,2
,,3.7,132,129,2,2,0,0,1,0,0,0,0,0,114,1,1
,,3.2,112,93,18,1,0,0,7,17,0,0,0,0,82,1,7
,,2.8,194,188,5,1,4,1,3,3,0,0,0,0,175,1,1
,,0.2,8,5,3,0,0,0,0,0,0,0,0,0,6,0,1
,,4.0,185,167,18,6,1,1,0,12,0,0,0,0,156,0,4
,,0.2,14,13,1,1,0,0,1,0,0,0,0,0,12,0,0
,,4.0,222,214,8,7,1,0,0,1,0,0,0,0,194,0,2
,,2.7,58,56,2,0,0,0,3,0,0,0,0,0,45,0,0
,,1.0,31,27,4,0,0,1,1,2,2,1,0,0,26,0,2
,,1.5,63,63,0,0,0,0,3,0,0,0,0,0,53,0,3
,,1.4,55,41,14,0,0,0,1,14,0,0,0,0,46,0,1
,,0.7,39,39,0,0,1,0,1,0,0,0,0,0,33,0,1
,,3.0,119,112,7,7,1,1,0,0,0,0,0,0,97,0,0
,,1.9,19,19,0,0,0,0,0,0,0,0,0,0,16,0,0
,,3.0,137,128,7,1,0,0,1,0,0,0,0,0,123,2,0
