stat_id,player_id,ninety_s,sca,sca_per_90,passlive_sca,passdead_sca,to_sca,sh_sca,fld_sca,def_sca,gca,gca_per_90,passlive_gca,passdead_gca,to_gca,sh_gca,fld_gca,def_gca
,,1.9,8,4.24,8,0,0,0,0,0,1,0.53,1,0,0,0,0,0
,,3.3,5,1.51,2,0,0,1,2,0,0,0.0,0,0,0,0,0,0
,,2.6,10,3.8,8,0,0,1,0,1,0,0.0,0,0,0,0,0,0
,,3.2,5,1.58,3,0,2,0,0,0,2,0.63,1,0,1,0,0,0
,,0.3,1,3.46,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.1,1,18.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.0,10,3.33,9,1,0,0,0,0,2,0.67,1,1,0,0,0,0
,,0.5,4,8.0,2,0,1,1,0,0,0,0.0,0,0,0,0,0,0
,,2.3,4,1.71,3,0,0,1,0,0,2,0.85,2,0,0,0,0,0
,,2.4,3,1.27,2,0,0,0,1,0,1,0.42,1,0,0,0,0,0
,,4.0,1,0.25,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0
,,2.0,1,0.5,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.9,6,2.1,5,0,1,0,0,0,2,0.7,1,0,1,0,0,0
,,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.8,6,1.59,6,0,0,0,0,0,1,0.26,1,0,0,0,0,0
,,1.2,7,5.68,4,1,0,1,1,0,1,0.81,1,0,0,0,0,0
,,3.0,1,0.33,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0
,,2.0,9,4.5,6,2,1,0,0,0,0,0.0,0,0,0,0,0,0
,,0.3,1,3.6,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.8,5,6.08,2,3,0,0,0,0,1,1.22,0,1,0,0,0,0
