stat_id,player_id,ninety_s,gls,sh,sot,sot_percent,sh_per_90,sot_per_90,g_per_sh,g_per_sot,dist,fk,pk,pkatt,xg,npxg,npxg_per_sh,g_minus_xg,npg_minus_xg
,,1.9,0,3,0,0.0,1.59,0.0,0.0,0.0,20.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1
,,3.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,1.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,4.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,3.7,2,13,5,38.5,3.51,1.35,0.15,0.4,16.0,0,0,0,1.4,1.4,0.11,0.6,0.6
,,0.6,0,1,0,0.0,1.73,0.0,0.0,0.0,21.6,1,0,0,0.0,0.0,0.04,0.0,0.0
,,1.1,0,4,2,50.0,3.79,1.89,0.0,0.0,16.9,1,0,0,0.2,0.2,0.06,-0.2,-0.2
,,1.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,1.4,0,4,2,50.0,2.93,1.46,0.0,0.0,23.0,0,0,0,0.2,0.2,0.05,-0.2,-0.2
,,3.0,1,2,2,100.0,0.67,0.67,0.5,0.5,16.8,0,0,0,0.2,0.2,0.11,0.8,0.8
,,0.9,1,2,1,50.0,2.25,1.13,0.5,1.0,16.1,1,0,0,0.2,0.2,0.08,0.8,0.8
,,0.8,0,1,1,100.0,1.18,1.18,0.0,0.0,23.0,1,0,0,0.0,0.0,0.04,0.0,0.0
,,3.0,0,2,1,50.0,0.67,0.33,0.0,0.0,13.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1
,,1.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,4.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,1.9,0,4,1,25.0,2.11,0.53,0.0,0.0,13.9,0,0,0,0.4,0.4,0.11,-0.4,-0.4
,,3.5,1,12,8,66.7,3.44,2.29,0.08,0.13,18.9,1,0,0,0.8,0.8,0.06,0.2,0.2
,,4.0,0,2,0,0.0,0.5,0.0,0.0,0.0,8.4,0,0,0,0.6,0.6,0.29,-0.6,-0.6
,,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,3.0,1,3,1,33.3,1.01,0.34,0.33,1.0,21.9,0,0,0,0.3,0.3,0.09,0.7,0.7
,,3.9,2,7,4,57.1,1.81,1.03,0.29,0.5,16.7,0,0,0,0.5,0.5,0.07,1.5,1.5
,,0.3,0,1,0,0.0,3.46,0.0,0.0,0.0,16.0,0,0,0,0.0,0.0,0.05,0.0,0.0
,,1.9,0,1,0,0.0,0.52,0.0,0.0,0.0,15.9,0,0,0,0.0,0.0,0.04,0.0,0.0
,,3.8,0,4,0,0.0,1.05,0.0,0.0,0.0,19.4,0,0,0,0.3,0.3,0.07,-0.3,-0.3
,,0.4,0,1,1,100.0,2.37,2.37,0.0,0.0,17.7,0,0,0,0.0,0.0,0.03,0.0,0.0
,,3.1,0,4,1,25.0,1.3,0.33,0.0,0.0,14.5,0,0,0,0.6,0.6,0.15,-0.6,-0.6
,,3.1,0,2,0,0.0,0.65,0.0,0.0,0.0,18.2,1,0,0,0.1,0.1,0.07,-0.1,-0.1
,,3.0,0,1,1,100.0,0.33,0.33,0.0,0.0,8.4,0,0,0,0.1,0.1,0.09,-0.1,-0.1
,,4.0,0,4,0,0.0,1.0,0.0,0.0,0.0,14.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1
,,2.5,1,2,1,50.0,0.81,0.4,0.5,1.0,12.0,0,0,0,0.1,0.1,0.06,0.9,0.9
