Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Gls_per_90,Ast,Ast_per_90,G+A,G+A_per_90,G-PK,G-PK_per_90,PK,PKatt,CrdY,CrdR,xG,xG_per_90,npxG,npxG_per_90,xAG,xAG_per_90,npxG+xAG,npxG+xAG_per_90,PrgC,PrgP,PrgR,G+A-PK,xG+xAG
26,Kepa Arrizabalaga,ESP,GK,Bournemouth,29,1994,2,2,180,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
27,Taiwo Awoniyi,NGA,FW,Nott'ham Forest,27,1997,4,1,80,0.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.3,0.31,0.3,0.31,0.0,0.0,0.3,0.31,2,1,7,0.0,0.31
28,Yasin Ayari,SWE,MF,Brighton,20,2003,5,1,201,2.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.5,0.24,0.5,0.24,0.1,0.04,0.6,0.28,5,9,12,0.0,0.28
29,Jordan Ayew,GHA,"FW,MF",Crystal Palace,33,1991,1,0,21,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.5,1.96,0.5,1.96,0.0,0.21,0.5,2.17,0,0,1,0.0,2.17
30,Jordan Ayew,GHA,FW,Leicester City,33,1991,5,3,273,3.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.3,0.1,0.3,0.1,0.1,0.02,0.4,0.12,4,5,8,0.0,0.12
31,Leon Bailey,JAM,"FW,MF",Aston Villa,27,1997,5,4,286,3.2,0,0.0,1,0.31,1,0.31,0,0.0,0,0,1,0,0.3,0.1,0.3,0.1,0.7,0.21,1.0,0.31,16,11,24,0.31,0.31
32,Carlos Baleba,CMR,MF,Brighton,20,2004,5,4,349,3.9,1,0.26,1,0.26,2,0.52,1,0.26,0,0,1,0,0.7,0.19,0.7,0.19,0.2,0.05,0.9,0.24,6,24,2,0.52,0.24
33,Ross Barkley,ENG,MF,Aston Villa,30,1993,5,0,126,1.4,0,0.0,1,0.71,1,0.71,0,0.0,0,0,1,0,0.1,0.09,0.1,0.09,0.1,0.07,0.2,0.17,4,5,1,0.71,0.17
34,Harvey Barnes,ENG,FW,Newcastle Utd,26,1997,6,3,324,3.6,3,0.83,1,0.28,4,1.11,3,0.83,0,0,0,0,1.8,0.51,1.8,0.51,1.6,0.45,3.5,0.96,14,17,29,1.11,0.96
35,Calvin Bassey,NGA,DF,Fulham,24,1999,6,6,540,6.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.2,0.03,0.2,0.03,0.0,0.0,0.2,0.03,4,19,0,0.0,0.03
36,Jan Bednarek,POL,DF,Southampton,28,1996,5,5,440,4.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.1,0.02,0.1,0.02,1,13,1,0.0,0.02
37,Jean-Ricner Bellegarde,FRA,"MF,FW",Wolves,26,1998,6,6,388,4.3,1,0.23,0,0.0,1,0.23,1,0.23,0,0,1,0,0.3,0.07,0.3,0.07,0.2,0.05,0.5,0.12,11,5,19,0.23,0.12
38,Rodrigo Bentancur,URU,MF,Tottenham,27,1997,5,4,305,3.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,3,0,0.3,0.1,0.3,0.1,0.1,0.03,0.4,0.12,4,23,2,0.0,0.12
39,Sander Berge,NOR,MF,Fulham,26,1998,4,0,111,1.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0,3,0,0.0,0.1
40,Lucas Bergvall,SWE,"MF,FW",Tottenham,18,2006,5,0,51,0.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.14,0.1,0.14,0.2,0.34,0.3,0.48,1,4,3,0.0,0.48
41,Victor Bernth Kristiansen,DEN,DF,Leicester City,21,2002,6,6,534,5.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.1,0.02,0.1,0.02,9,15,18,0.0,0.02
42,Beto,GNB,FW,Everton,26,1998,4,0,47,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.0,0.0
43,Philip Billing,DEN,MF,Bournemouth,28,1996,2,0,23,0.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0.0,0.0
44,Yves Bissouma,MLI,MF,Tottenham,28,1996,3,2,181,2.0,1,0.5,0,0.0,1,0.5,1,0.5,0,0,2,0,0.1,0.05,0.1,0.05,0.2,0.08,0.3,0.13,5,17,0,0.5,0.13
45,Lamare Bogarde,NED,DF,Aston Villa,20,2004,2,2,168,1.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.1,0.04,0.1,0.04,3,6,5,0.0,0.04
46,Willy Boly,CIV,DF,Nott'ham Forest,33,1991,2,1,91,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.07,0.1,0.07,0.0,0.0,0.1,0.07,0,2,0,0.0,0.07
47,Jarrod Bowen,ENG,"FW,MF",West Ham,27,1996,6,6,516,5.7,1,0.17,1,0.17,2,0.35,1,0.17,0,0,0,0,0.7,0.12,0.7,0.12,1.3,0.22,1.9,0.33,20,20,32,0.35,0.33
48,Conor Bradley,NIR,DF,Liverpool,21,2003,4,0,79,0.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.2,0.26,0.2,0.26,0.0,0.0,0.2,0.26,6,5,5,0.0,0.26
49,Jarrad Branthwaite,ENG,DF,Everton,22,2002,1,1,90,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0
50,Ben Brereton,CHI,FW,Southampton,25,1999,5,4,344,3.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.8,0.2,0.8,0.2,0.1,0.03,0.9,0.22,9,6,29,0.0,0.22
51,Emi Buendía,ARG,"MF,FW",Aston Villa,27,1996,3,0,15,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.52,0.1,0.52,0.0,0.0,0.1,0.52,2,2,4,0.0,0.52
52,Santiago Bueno,URU,DF,Wolves,25,1998,2,1,85,0.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0
53,Facundo Buonanotte,ARG,"MF,FW",Leicester City,19,2004,5,3,290,3.2,1,0.31,2,0.62,3,0.93,1,0.31,0,0,2,0,0.4,0.12,0.4,0.12,0.6,0.2,1.0,0.32,6,10,9,0.93,0.32
54,Dan Burn,ENG,DF,Newcastle Utd,32,1992,6,6,540,6.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,3,0,0.4,0.06,0.4,0.06,0.1,0.02,0.5,0.08,0,10,2,0.0,0.08
55,Wes Burns,WAL,FW,Ipswich Town,29,1994,4,3,208,2.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.2,0.07,0.2,0.07,0.6,0.27,0.8,0.34,5,1,17,0.0,0.34
56,Moisés Caicedo,ECU,MF,Chelsea,22,2001,6,6,525,5.8,0,0.0,1,0.17,1,0.17,0,0.0,0,0,1,0,0.1,0.02,0.1,0.02,1.1,0.19,1.2,0.21,5,19,7,0.17,0.21
57,Tom Cairney,SCO,MF,Fulham,33,1991,4,0,71,0.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0,2,0,0.0,0.0,0.0,0.0,0.3,0.32,0.3,0.32,3,7,2,0.0,0.32
58,Jens Cajuste,SWE,MF,Ipswich Town,25,1999,2,1,80,0.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.03,0.0,0.03,0.1,0.09,0.1,0.11,2,3,1,0.0,0.11
59,Riccardo Calafiori,ITA,DF,Arsenal,22,2002,4,2,207,2.3,1,0.43,0,0.0,1,0.43,1,0.43,0,0,1,0,0.5,0.22,0.5,0.22,0.1,0.04,0.6,0.26,2,12,6,0.43,0.26
60,Dominic Calvert-Lewin,ENG,FW,Everton,27,1997,6,6,503,5.6,2,0.36,1,0.18,3,0.54,2,0.36,0,0,1,0,1.8,0.32,1.8,0.32,0.2,0.04,2.0,0.36,4,7,33,0.54,0.36
61,Diego Carlos,BRA,DF,Aston Villa,31,1993,2,2,180,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,0,0.0,0.0
62,Fabio Carvalho,POR,"FW,MF",Brentford,22,2002,6,2,230,2.6,0,0.0,1,0.39,1,0.39,0,0.0,0,0,0,0,0.1,0.04,0.1,0.04,0.5,0.21,0.6,0.25,5,7,6,0.39,0.25
63,Casemiro,BRA,MF,Manchester Utd,32,1992,5,3,274,3.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.4,0.14,0.4,0.14,1.2,0.4,1.6,0.54,1,15,4,0.0,0.54
64,Matty Cash,POL,DF,Aston Villa,27,1997,2,2,96,1.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,1,4,1,0.0,0.1
65,Conor Chaplin,ENG,"MF,FW",Ipswich Town,27,1997,5,1,93,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,2,0.0,0.0
66,Federico Chiesa,ITA,FW,Liverpool,26,1997,1,0,19,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.2,0.76,0.2,0.76,0.0,0.0,0.2,0.76,1,0,2,0.0,0.76
67,Chiquinho,POR,MF,Wolves,24,2000,1,0,7,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.42,0,0,0,0.0,0.42
68,Hamza Choudhury,ENG,MF,Leicester City,26,1997,1,0,15,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
69,Ryan Christie,SCO,MF,Bournemouth,29,1995,5,4,292,3.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,3,0,0.1,0.02,0.1,0.02,0.2,0.07,0.3,0.1,4,21,10,0.0,0.1
70,Jack Clarke,ENG,FW,Ipswich Town,23,2000,4,1,160,1.8,0,0.0,1,0.56,1,0.56,0,0.0,0,0,0,0,0.3,0.14,0.3,0.14,0.8,0.42,1.0,0.56,3,4,11,0.56,0.56
71,Nathaniel Clyne,ENG,DF,Crystal Palace,33,1991,2,2,153,1.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,1,0.0,0.0
72,Conor Coady,ENG,DF,Leicester City,31,1993,1,0,8,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
73,Séamus Coleman,IRL,DF,Everton,35,1988,1,1,90,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.6,0.57,0.6,0.57,0.0,0.0,0.6,0.57,0,6,2,0.0,0.57
74,Nathan Collins,IRL,DF,Brentford,23,2001,6,6,540,6.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.6,0.1,0.6,0.1,0.0,0.0,0.6,0.1,5,13,3,0.0,0.1
75,Toby Collyer,ENG,MF,Manchester Utd,20,2004,1,0,45,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,0.15,0.1,0.15,0,2,2,0.0,0.15
76,Levi Colwill,ENG,DF,Chelsea,21,2003,6,6,540,6.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.2,0.03,0.2,0.03,0.6,0.1,0.8,0.13,3,22,0,0.0,0.13
77,Lewis Cook,ENG,MF,Bournemouth,27,1997,5,5,443,4.9,1,0.2,0,0.0,1,0.2,1,0.2,0,0,3,0,0.2,0.05,0.2,0.05,0.6,0.12,0.8,0.17,4,31,5,0.2,0.17
78,Maxwel Cornet,CIV,FW,Southampton,28,1996,1,0,27,0.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2,0.0,0.0
79,Vladimír Coufal,CZE,DF,West Ham,32,1992,4,2,200,2.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.01,0.0,0.01,0.1,0.05,0.1,0.06,3,6,4,0.0,0.06
80,Aaron Cresswell,ENG,DF,West Ham,34,1989,2,0,20,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.16,1,3,1,0.0,0.16
81,Marc Cucurella,ESP,DF,Chelsea,26,1998,6,6,500,5.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0,4,0,0.0,0.0,0.0,0.0,0.2,0.03,0.2,0.03,5,16,14,0.0,0.03
82,Matheus Cunha,BRA,"MF,FW",Wolves,25,1999,6,5,461,5.1,2,0.39,0,0.0,2,0.39,2,0.39,0,0,1,0,1.5,0.29,1.5,0.29,0.8,0.16,2.3,0.45,20,14,33,0.39,0.45
83,Diogo Dalot,POR,DF,Manchester Utd,25,1999,6,6,540,6.0,0,0.0,1,0.17,1,0.17,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.17,1.0,0.17,6,29,19,0.17,0.17
84,Mikkel Damsgaard,DEN,MF,Brentford,24,2000,6,4,374,4.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.3,0.08,0.3,0.08,0.4,0.1,0.7,0.18,13,26,10,0.0,0.18
85,Danilo,BRA,MF,Nott'ham Forest,23,2001,1,1,14,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
86,Leif Davis,ENG,DF,Ipswich Town,24,2000,6,6,540,6.0,0,0.0,1,0.17,1,0.17,0,0.0,0,0,0,0,0.3,0.05,0.3,0.05,0.9,0.14,1.2,0.19,12,13,25,0.17,0.19
87,Craig Dawson,ENG,DF,Wolves,34,1990,5,3,301,3.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.02,0.1,0.02,0.0,0.01,0.1,0.03,2,6,3,0.0,0.03
88,Kevin De Bruyne,BEL,MF,Manchester City,33,1991,4,4,356,4.0,1,0.25,1,0.25,2,0.51,1,0.25,0,0,1,0,1.2,0.31,1.2,0.31,1.7,0.43,2.9,0.74,10,47,32,0.51,0.74
89,Liam Delap,ENG,FW,Ipswich Town,21,2003,6,6,454,5.0,3,0.59,0,0.0,3,0.59,3,0.59,0,0,2,0,1.0,0.2,1.0,0.2,0.3,0.05,1.3,0.26,10,3,18,0.59,0.26
90,Sepp van den Berg,NED,DF,Brentford,22,2001,4,3,286,3.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.01,0.0,0.01,0.1,0.02,0.1,0.03,0,8,8,0.0,0.03
91,Kiernan Dewsbury-Hall,ENG,MF,Chelsea,26,1998,3,0,46,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,0.18,0.1,0.18,3,2,1,0.0,0.18
92,Amad Diallo,CIV,FW,Manchester Utd,22,2002,6,4,342,3.8,1,0.26,1,0.26,2,0.53,1,0.26,0,0,1,0,0.4,0.11,0.4,0.11,1.2,0.3,1.6,0.42,26,18,58,0.53,0.42
93,Rúben Dias,POR,DF,Manchester City,27,1997,6,5,457,5.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,3,0,0.5,0.09,0.5,0.09,0.1,0.02,0.6,0.11,10,26,2,0.0,0.11
94,Luis Díaz,COL,FW,Liverpool,27,1997,6,6,428,4.8,5,1.05,1,0.21,6,1.26,5,1.05,0,0,0,0,2.6,0.55,2.6,0.55,1.0,0.21,3.6,0.76,20,15,46,1.26,0.76
95,Tyler Dibling,ENG,"FW,MF",Southampton,18,2006,5,2,206,2.3,1,0.44,0,0.0,1,0.44,1,0.44,0,0,0,0,0.8,0.35,0.8,0.35,0.7,0.29,1.5,0.64,14,10,20,0.44,0.64
96,Lucas Digne,FRA,DF,Aston Villa,31,1993,6,6,434,4.8,0,0.0,2,0.41,2,0.41,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,1.1,0.22,1.1,0.22,0,10,20,0.41,0.22
97,Issa Diop,FRA,DF,Fulham,27,1997,5,3,280,3.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.2,0.06,0.2,0.06,0.0,0.01,0.2,0.06,0,7,1,0.0,0.06
98,Axel Disasi,FRA,DF,Chelsea,26,1998,2,1,94,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,0,0.0,0.0
99,Roman Dixon,ENG,DF,Everton,19,2004,1,1,90,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0
100,Matt Doherty,IRL,DF,Wolves,32,1992,4,2,210,2.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.03,0.1,0.03,0.1,0.06,0.2,0.1,1,6,8,0.0,0.1
101,Jeremy Doku,BEL,FW,Manchester City,22,2002,5,4,306,3.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.2,0.07,0.2,0.07,1.0,0.31,1.3,0.37,37,11,48,0.0,0.37
102,Nicolás Domínguez,ARG,"FW,MF",Nott'ham Forest,26,1998,4,2,162,1.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.1,0.08,0.1,0.08,0.0,0.01,0.2,0.09,1,6,4,0.0,0.09
