Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp_total,Att_total,Cmp%_total,TotDist_total,PrgDist_total,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
32,Carlos Baleba,CMR,MF,Brighton,20,2004,3.9,155,175,88.6,2440,646,75,80,93.8,66,75,88.0,10,12,83.3,1,0.2,0.1,0.8,3,15,4,0,24
33,Ross Barkley,ENG,MF,Aston Villa,30,1993,1.4,89,96,92.7,1449,232,45,46,97.8,37,39,94.9,6,7,85.7,1,0.1,0.1,0.9,2,12,1,0,5
34,Harvey Barnes,ENG,FW,Newcastle Utd,26,1997,3.6,80,95,84.2,1139,404,55,57,96.5,20,30,66.7,4,5,80.0,1,1.6,0.8,-0.6,6,5,9,3,17
35,Calvin Bassey,NGA,DF,Fulham,24,1999,6.0,308,345,89.3,5791,1956,109,112,97.3,165,176,93.8,26,43,60.5,0,0.0,0.1,0.0,0,17,0,0,19
36,Jan Bednarek,POL,DF,Southampton,28,1996,4.9,437,463,94.4,7347,2511,193,199,97.0,211,222,95.0,31,38,81.6,0,0.1,0.1,-0.1,2,22,0,0,13
37,Jean-Ricner Bellegarde,FRA,"MF,FW",Wolves,26,1998,4.3,84,105,80.0,1235,157,54,58,93.1,24,29,82.8,6,9,66.7,0,0.2,0.3,-0.2,4,8,2,1,5
38,Rodrigo Bentancur,URU,MF,Tottenham,27,1997,3.4,213,228,93.4,3368,815,101,107,94.4,95,98,96.9,11,13,84.6,0,0.1,0.1,-0.1,2,24,1,0,23
39,Sander Berge,NOR,MF,Fulham,26,1998,1.2,44,49,89.8,747,187,18,22,81.8,21,22,95.5,4,4,100.0,0,0.1,0.0,-0.1,4,6,0,0,3
40,Lucas Bergvall,SWE,"MF,FW",Tottenham,18,2006,0.6,50,59,84.7,753,219,30,33,90.9,13,16,81.3,5,6,83.3,0,0.2,0.3,-0.2,1,4,0,0,4
41,Victor Bernth Kristiansen,DEN,DF,Leicester City,21,2002,5.9,235,306,76.8,3877,1534,119,134,88.8,88,113,77.9,20,44,45.5,0,0.1,0.3,-0.1,4,21,4,4,15
42,Beto,GNB,FW,Everton,26,1998,0.5,3,8,37.5,91,0,1,2,50.0,0,3,0.0,2,2,100.0,0,0.0,0.0,0.0,0,0,0,0,1
