Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
38,Rodrigo Bentancur,URU,MF,Tottenham,27,1997,3.4,257,9,48,153,56,5,257,3,1,33.3,2,66.7,159,680,254,4,6,2,1,3,186,2
39,Sander Berge,NOR,MF,Fulham,26,1998,1.2,62,3,16,34,12,2,62,1,0,0.0,1,100.0,29,163,69,0,1,1,1,0,28,0
40,Lucas Bergvall,SWE,"MF,FW",Tottenham,18,2006,0.6,72,1,6,35,32,2,72,5,3,60.0,2,40.0,36,139,40,1,1,0,3,3,49,3
41,Victor Bernth Kristiansen,DEN,DF,Leicester City,21,2002,5.9,384,33,150,183,55,0,384,5,2,40.0,3,60.0,194,951,483,9,1,0,3,4,207,18
42,Beto,GNB,FW,Everton,26,1998,0.5,19,1,1,12,6,0,19,1,0,0.0,1,100.0,8,36,19,1,0,0,3,1,13,1
43,Philip Billing,DEN,MF,Bournemouth,28,1996,0.3,16,0,1,6,9,2,16,0,0,0.0,0,0.0,10,43,27,0,0,0,0,2,11,2
44,Yves Bissouma,MLI,MF,Tottenham,28,1996,2.0,175,4,29,101,48,1,175,6,4,66.7,2,33.3,117,733,347,5,5,0,3,0,143,0
45,Lamare Bogarde,NED,DF,Aston Villa,20,2004,1.9,117,6,31,71,16,0,117,2,1,50.0,0,0.0,72,326,157,3,3,0,2,5,79,5
46,Willy Boly,CIV,DF,Nott'ham Forest,33,1991,1.0,71,16,44,25,2,1,71,0,0,0.0,0,0.0,32,111,33,0,0,0,1,0,39,0
47,Jarrod Bowen,ENG,"FW,MF",West Ham,27,1996,5.7,199,9,35,58,113,28,199,23,10,43.5,12,52.2,106,957,440,20,8,9,7,17,114,32
48,Conor Bradley,NIR,DF,Liverpool,21,2003,0.9,97,5,30,40,29,9,97,1,1,100.0,0,0.0,56,324,180,6,1,2,1,0,55,5
49,Jarrad Branthwaite,ENG,DF,Everton,22,2002,1.0,43,8,25,15,3,0,43,1,1,100.0,0,0.0,24,73,38,0,0,0,0,0,21,0
50,Ben Brereton,CHI,FW,Southampton,25,1999,3.8,157,3,12,58,88,14,157,4,1,25.0,2,50.0,107,642,322,9,12,2,5,3,132,29
51,Emi Buendía,ARG,"MF,FW",Aston Villa,27,1996,0.2,16,0,1,9,7,0,16,0,0,0.0,0,0.0,12,37,33,2,2,0,1,1,13,4
52,Santiago Bueno,URU,DF,Wolves,25,1998,0.9,69,11,35,33,1,0,69,1,0,0.0,1,100.0,32,127,81,0,0,0,0,0,47,0
53,Facundo Buonanotte,ARG,"MF,FW",Leicester City,19,2004,3.2,147,6,27,72,51,6,147,13,2,15.4,9,69.2,84,566,261,6,4,1,11,4,91,9
54,Dan Burn,ENG,DF,Newcastle Utd,32,1992,6.0,359,80,216,119,25,13,359,0,0,0.0,0,0.0,204,967,326,0,0,0,5,0,233,2
55,Wes Burns,WAL,FW,Ipswich Town,29,1994,2.3,77,3,13,27,38,5,77,7,2,28.6,5,71.4,52,200,81,5,2,2,4,3,55,17
56,Moisés Caicedo,ECU,MF,Chelsea,22,2001,5.8,387,15,110,209,72,2,387,9,4,44.4,2,22.2,201,722,359,5,2,0,4,3,266,7
57,Tom Cairney,SCO,MF,Fulham,33,1991,0.8,49,2,9,25,16,2,49,4,2,50.0,1,25.0,31,226,132,3,2,1,0,0,37,2
58,Jens Cajuste,SWE,MF,Ipswich Town,25,1999,0.9,46,4,8,27,12,0,46,1,1,100.0,0,0.0,19,97,53,2,0,0,0,0,25,1
59,Riccardo Calafiori,ITA,DF,Arsenal,22,2002,2.3,135,10,38,43,54,7,135,3,3,100.0,0,0.0,58,322,173,2,2,2,3,0,79,6
60,Dominic Calvert-Lewin,ENG,FW,Everton,27,1997,5.6,157,7,12,65,81,29,157,10,1,10.0,8,80.0,86,415,124,4,3,4,20,10,125,33
61,Diego Carlos,BRA,DF,Aston Villa,31,1993,2.0,146,13,60,85,3,0,146,0,0,0.0,0,0.0,118,539,278,1,2,0,0,0,113,0
62,Fabio Carvalho,POR,"FW,MF",Brentford,22,2002,2.6,120,3,25,43,52,11,120,8,1,12.5,6,75.0,58,306,120,5,1,0,5,1,64,6
63,Casemiro,BRA,MF,Manchester Utd,32,1992,3.0,253,14,75,124,55,11,253,3,1,33.3,2,66.7,150,562,291,1,3,0,2,2,182,4
64,Matty Cash,POL,DF,Aston Villa,27,1997,1.1,62,6,22,25,15,2,62,0,0,0.0,0,0.0,26,104,50,1,3,0,0,0,32,1
65,Conor Chaplin,ENG,"MF,FW",Ipswich Town,27,1997,1.0,45,1,14,25,7,1,45,0,0,0.0,0,0.0,23,54,24,1,0,0,2,0,30,2
66,Federico Chiesa,ITA,FW,Liverpool,26,1997,0.2,12,0,2,5,5,3,12,1,0,0.0,1,100.0,11,35,13,1,0,1,1,2,9,2
67,Chiquinho,POR,MF,Wolves,24,2000,0.1,3,0,0,1,2,1,3,0,0,0.0,0,0.0,1,13,5,0,0,0,0,0,2,0
68,Hamza Choudhury,ENG,MF,Leicester City,26,1997,0.2,5,1,1,2,2,0,5,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,1,0
69,Ryan Christie,SCO,MF,Bournemouth,29,1995,3.2,171,5,34,94,45,7,171,9,3,33.3,5,55.6,87,436,182,4,6,2,8,1,99,10
70,Jack Clarke,ENG,FW,Ipswich Town,23,2000,1.8,71,1,13,32,32,8,71,10,5,50.0,4,40.0,41,312,159,3,3,1,3,1,47,11
71,Nathaniel Clyne,ENG,DF,Crystal Palace,33,1991,1.7,92,7,39,46,7,1,92,0,0,0.0,0,0.0,61,225,121,1,0,1,1,0,66,1
72,Conor Coady,ENG,DF,Leicester City,31,1993,0.1,8,4,8,0,0,0,8,0,0,0.0,0,0.0,2,7,0,0,1,1,1,0,0,0
73,Séamus Coleman,IRL,DF,Everton,35,1988,1.0,52,3,12,30,10,2,52,2,2,100.0,0,0.0,22,100,35,0,0,0,1,0,25,2
74,Nathan Collins,IRL,DF,Brentford,23,2001,6.0,384,62,220,140,24,10,384,1,1,100.0,0,0.0,209,927,463,5,1,0,1,3,248,3
75,Toby Collyer,ENG,MF,Manchester Utd,20,2004,0.5,31,1,8,16,7,1,31,1,1,100.0,0,0.0,20,108,27,0,0,0,5,0,23,2
76,Levi Colwill,ENG,DF,Chelsea,21,2003,6.0,467,80,265,193,10,4,467,2,1,50.0,1,50.0,258,1321,758,3,1,0,4,1,332,0
77,Lewis Cook,ENG,MF,Bournemouth,27,1997,4.9,281,15,69,154,63,5,281,3,1,33.3,2,66.7,106,580,349,4,5,0,5,2,132,5
