Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
46,Willy Boly,CIV,DF,Nott'ham Forest,33,1991,1.0,0,0,0,1,0,0,0,1,0,0,0,0,1,4,0,100.0
47,Jarrod Bowen,ENG,"FW,MF",West Ham,27,1996,5.7,0,0,0,6,6,0,30,2,4,0,0,0,26,1,8,11.1
48,Conor Bradley,NIR,DF,Liverpool,21,2003,0.9,0,0,0,1,0,0,1,2,0,0,0,0,8,1,0,100.0
49,Jarrad Branthwaite,ENG,DF,Everton,22,2002,1.0,0,0,0,0,1,0,0,3,2,0,0,0,5,3,3,50.0
50,Ben Brereton,CHI,FW,Southampton,25,1999,3.8,1,0,0,4,6,1,3,0,2,0,0,0,11,6,5,54.5
51,Emi Buendía,ARG,"MF,FW",Aston Villa,27,1996,0.2,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.0
52,Santiago Bueno,URU,DF,Wolves,25,1998,0.9,0,0,0,3,0,0,0,1,2,0,0,0,1,2,1,66.7
53,Facundo Buonanotte,ARG,"MF,FW",Leicester City,19,2004,3.2,2,0,0,6,7,1,6,2,3,0,0,0,12,2,6,25.0
54,Dan Burn,ENG,DF,Newcastle Utd,32,1992,6.0,3,0,0,6,3,0,0,5,2,0,0,1,21,19,12,61.3
55,Wes Burns,WAL,FW,Ipswich Town,29,1994,2.3,1,0,0,2,5,0,8,0,2,0,0,0,13,1,6,14.3
56,Moisés Caicedo,ECU,MF,Chelsea,22,2001,5.8,1,0,0,10,10,0,3,10,13,0,0,0,33,7,5,58.3
57,Tom Cairney,SCO,MF,Fulham,33,1991,0.8,2,0,0,2,3,0,2,0,1,0,0,0,7,0,3,0.0
58,Jens Cajuste,SWE,MF,Ipswich Town,25,1999,0.9,0,0,0,2,1,0,1,0,1,0,0,0,3,0,1,0.0
59,Riccardo Calafiori,ITA,DF,Arsenal,22,2002,2.3,1,0,0,7,1,0,1,1,4,0,0,0,5,7,3,70.0
60,Dominic Calvert-Lewin,ENG,FW,Everton,27,1997,5.6,1,0,0,8,7,12,1,3,2,0,0,0,9,31,26,54.4
61,Diego Carlos,BRA,DF,Aston Villa,31,1993,2.0,0,0,0,2,0,0,0,1,0,0,0,0,7,2,0,100.0
62,Fabio Carvalho,POR,"FW,MF",Brentford,22,2002,2.6,0,0,0,1,5,1,6,2,6,0,0,0,12,1,3,25.0
63,Casemiro,BRA,MF,Manchester Utd,32,1992,3.0,0,0,0,2,3,2,7,1,9,0,0,0,18,4,3,57.1
64,Matty Cash,POL,DF,Aston Villa,27,1997,1.1,0,0,0,3,1,0,2,1,1,0,1,0,2,1,1,50.0
65,Conor Chaplin,ENG,"MF,FW",Ipswich Town,27,1997,1.0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,3,0.0
66,Federico Chiesa,ITA,FW,Liverpool,26,1997,0.2,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0.0
67,Chiquinho,POR,MF,Wolves,24,2000,0.1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.0
68,Hamza Choudhury,ENG,MF,Leicester City,26,1997,0.2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.0
69,Ryan Christie,SCO,MF,Bournemouth,29,1995,3.2,3,0,0,5,3,0,3,2,1,0,0,0,31,2,5,28.6
70,Jack Clarke,ENG,FW,Ipswich Town,23,2000,1.8,0,0,0,2,1,1,5,0,2,0,0,0,10,0,0,0.0
71,Nathaniel Clyne,ENG,DF,Crystal Palace,33,1991,1.7,0,0,0,0,2,0,0,1,4,0,0,0,2,1,3,25.0
72,Conor Coady,ENG,DF,Leicester City,31,1993,0.1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0.0
73,Séamus Coleman,IRL,DF,Everton,35,1988,1.0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,1,50.0
74,Nathan Collins,IRL,DF,Brentford,23,2001,6.0,1,0,0,3,2,0,1,5,6,0,0,0,24,10,6,62.5
75,Toby Collyer,ENG,MF,Manchester Utd,20,2004,0.5,0,0,0,0,2,0,0,0,3,0,0,0,3,0,0,0.0
76,Levi Colwill,ENG,DF,Chelsea,21,2003,6.0,1,0,0,5,5,1,0,7,2,0,0,0,17,11,9,55.0
77,Lewis Cook,ENG,MF,Bournemouth,27,1997,4.9,3,0,0,14,1,1,23,8,6,0,0,0,30,6,1,85.7
78,Maxwel Cornet,CIV,FW,Southampton,28,1996,0.3,1,0,0,0,0,0,1,0,2,0,0,0,0,1,0,100.0
79,Vladimír Coufal,CZE,DF,West Ham,32,1992,2.2,0,0,0,6,3,0,5,2,0,0,0,0,5,2,3,40.0
80,Aaron Cresswell,ENG,DF,West Ham,34,1989,0.2,0,0,0,1,0,0,2,0,0,0,0,0,2,1,0,100.0
