Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive_sca,PassDead_sca,TO_sca,Sh_sca,Fld_sca,Def_sca,GCA,GCA90,PassLive_gca,PassDead_gca,TO_gca,Sh_gca,Fld_gca,Def_gca
164,Marcus Harness,ENG,MF,Ipswich Town,28,1996,0.5,2,4.0,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
165,Jack Harrison,ENG,FW,Everton,27,1996,4.1,12,2.93,10,0,0,1,1,0,2,0.49,1,0,0,0,1,0
166,Taylor Harwood-Bellis,ENG,DF,Southampton,22,2002,3.6,3,0.84,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
167,Kai Havertz,GER,"FW,MF",Arsenal,25,1999,6.0,16,2.67,12,0,1,3,0,0,1,0.17,1,0,0,0,0,0
168,Jan Paul van Hecke,NED,DF,Brighton,24,2000,5.0,8,1.6,7,0,0,1,0,0,0,0.0,0,0,0,0,0,0
169,Hwang Hee-chan,KOR,"FW,MF",Wolves,28,1996,2.5,4,1.61,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
170,Dean Henderson,ENG,GK,Crystal Palace,27,1997,6.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
171,Mads Hermansen,DEN,GK,Leicester City,24,2000,6.0,1,0.17,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
172,Son Heung-min,KOR,FW,Tottenham,32,1992,5.0,30,6.01,24,0,4,0,2,0,3,0.6,3,0,0,0,0,0
173,Jack Hinshelwood,ENG,"DF,MF",Brighton,19,2005,5.7,13,2.27,9,3,0,0,1,0,2,0.35,2,0,0,0,0,0
174,George Hirst,ENG,FW,Ipswich Town,25,1999,0.6,2,3.53,1,0,0,1,0,0,1,1.76,0,0,0,1,0,0
175,Mason Holgate,ENG,"FW,DF",Everton,27,1996,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
176,Callum Hudson-Odoi,ENG,FW,Nott'ham Forest,23,2000,4.4,22,4.95,15,2,2,0,3,0,2,0.45,0,0,0,0,2,0
