Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
49,Jarrad Branthwaite,ENG,DF,Everton,22,2002,1.0,32,32,0,0,0,0,0,0,0,0,0,0,27,0,1
50,Ben Brereton,CHI,FW,Southampton,25,1999,3.8,128,126,2,1,1,0,3,1,0,0,0,0,105,0,3
51,Emi Buendía,ARG,"MF,FW",Aston Villa,27,1996,0.2,13,13,0,0,1,0,0,0,0,0,0,0,12,0,0
52,Santiago Bueno,URU,DF,Wolves,25,1998,0.9,55,53,2,0,0,0,0,0,0,0,0,0,50,0,0
53,Facundo Buonanotte,ARG,"MF,FW",Leicester City,19,2004,3.2,97,87,9,4,2,1,6,3,2,2,0,0,72,1,1
54,Dan Burn,ENG,DF,Newcastle Utd,32,1992,6.0,289,282,7,5,0,1,0,1,0,0,0,0,264,0,1
55,Wes Burns,WAL,FW,Ipswich Town,29,1994,2.3,55,52,3,1,0,0,8,2,0,0,0,0,38,0,2
56,Moisés Caicedo,ECU,MF,Chelsea,22,2001,5.8,319,311,7,6,3,1,3,1,0,0,0,0,279,1,2
57,Tom Cairney,SCO,MF,Fulham,33,1991,0.8,45,45,0,0,0,0,2,0,0,0,0,0,41,0,2
58,Jens Cajuste,SWE,MF,Ipswich Town,25,1999,0.9,35,33,2,1,0,0,1,1,0,0,0,0,31,0,0
59,Riccardo Calafiori,ITA,DF,Arsenal,22,2002,2.3,108,99,9,0,0,0,1,9,0,0,0,0,94,0,1
60,Dominic Calvert-Lewin,ENG,FW,Everton,27,1997,5.6,83,83,0,0,0,1,1,0,0,0,0,0,51,0,4
61,Diego Carlos,BRA,DF,Aston Villa,31,1993,2.0,136,129,6,5,0,1,0,0,0,0,0,0,120,1,0
62,Fabio Carvalho,POR,"FW,MF",Brentford,22,2002,2.6,83,73,9,2,0,0,6,0,5,2,0,0,56,1,4
63,Casemiro,BRA,MF,Manchester Utd,32,1992,3.0,205,198,5,5,4,1,7,0,0,0,0,0,161,2,4
64,Matty Cash,POL,DF,Aston Villa,27,1997,1.1,49,37,12,4,0,0,2,8,0,0,0,0,38,0,1
65,Conor Chaplin,ENG,"MF,FW",Ipswich Town,27,1997,1.0,36,32,4,1,1,0,0,0,0,0,0,0,25,0,1
66,Federico Chiesa,ITA,FW,Liverpool,26,1997,0.2,8,8,0,0,0,0,0,0,0,0,0,0,7,0,0
67,Chiquinho,POR,MF,Wolves,24,2000,0.1,3,3,0,0,0,0,1,0,0,0,0,0,3,0,0
68,Hamza Choudhury,ENG,MF,Leicester City,26,1997,0.2,3,3,0,0,0,0,1,0,0,0,0,0,0,0,1
69,Ryan Christie,SCO,MF,Bournemouth,29,1995,3.2,135,131,3,2,0,0,3,1,0,0,0,0,112,1,1
70,Jack Clarke,ENG,FW,Ipswich Town,23,2000,1.8,51,46,4,0,0,1,5,1,3,3,0,0,37,1,1
71,Nathaniel Clyne,ENG,DF,Crystal Palace,33,1991,1.7,74,74,0,0,0,1,0,0,0,0,0,0,57,0,4
72,Conor Coady,ENG,DF,Leicester City,31,1993,0.1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
73,Séamus Coleman,IRL,DF,Everton,35,1988,1.0,43,32,11,0,0,0,1,11,0,0,0,0,32,0,0
74,Nathan Collins,IRL,DF,Brentford,23,2001,6.0,323,308,15,10,0,2,1,5,0,0,0,0,282,0,1
75,Toby Collyer,ENG,MF,Manchester Utd,20,2004,0.5,19,19,0,0,0,0,0,0,0,0,0,0,15,0,2
76,Levi Colwill,ENG,DF,Chelsea,21,2003,6.0,411,380,29,12,3,0,0,0,0,0,0,0,371,2,4
77,Lewis Cook,ENG,MF,Bournemouth,27,1997,4.9,224,189,35,15,1,1,23,1,19,16,1,0,165,0,5
78,Maxwel Cornet,CIV,FW,Southampton,28,1996,0.3,10,10,0,0,0,0,1,0,0,0,0,0,8,0,0
79,Vladimír Coufal,CZE,DF,West Ham,32,1992,2.2,97,70,27,2,0,0,5,25,0,0,0,0,72,0,3
80,Aaron Cresswell,ENG,DF,West Ham,34,1989,0.2,22,21,1,1,0,0,2,0,0,0,0,0,16,0,1
81,Marc Cucurella,ESP,DF,Chelsea,26,1998,5.6,317,273,44,6,1,0,7,38,0,0,0,0,278,0,1
82,Matheus Cunha,BRA,"MF,FW",Wolves,25,1999,5.1,168,134,33,8,3,2,29,4,14,7,5,0,122,1,6
83,Diogo Dalot,POR,DF,Manchester Utd,25,1999,6.0,386,337,48,8,2,1,6,40,0,0,0,0,331,1,8
84,Mikkel Damsgaard,DEN,MF,Brentford,24,2000,4.2,184,173,10,2,3,1,11,2,1,1,0,0,137,1,2
85,Danilo,BRA,MF,Nott'ham Forest,23,2001,0.2,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
86,Leif Davis,ENG,DF,Ipswich Town,24,2000,6.0,244,175,67,14,3,0,35,29,24,14,5,0,171,2,6
87,Craig Dawson,ENG,DF,Wolves,34,1990,3.3,178,160,18,9,1,5,0,0,0,0,0,0,150,0,0
88,Kevin De Bruyne,BEL,MF,Manchester City,33,1991,4.0,321,276,44,4,3,4,29,11,24,6,4,1,259,1,10
89,Liam Delap,ENG,FW,Ipswich Town,21,2003,5.0,48,47,0,0,2,1,0,0,0,0,0,0,26,1,2
90,Sepp van den Berg,NED,DF,Brentford,22,2001,3.2,175,160,15,1,0,0,1,14,0,0,0,0,149,0,2
91,Kiernan Dewsbury-Hall,ENG,MF,Chelsea,26,1998,0.5,37,37,0,0,0,0,0,0,0,0,0,0,29,0,0
92,Amad Diallo,CIV,FW,Manchester Utd,22,2002,3.8,204,183,18,1,1,0,10,7,10,6,0,1,168,3,6
93,Rúben Dias,POR,DF,Manchester City,27,1997,5.1,483,464,19,9,0,1,2,1,0,0,0,0,448,0,5
94,Luis Díaz,COL,FW,Liverpool,27,1997,4.8,168,162,5,1,0,0,2,4,0,0,0,0,149,1,2
95,Tyler Dibling,ENG,"FW,MF",Southampton,18,2006,2.3,94,87,6,2,2,1,5,1,3,2,0,0,78,1,1
96,Lucas Digne,FRA,DF,Aston Villa,31,1993,4.8,256,203,53,11,1,1,24,34,8,7,0,0,203,0,9
97,Issa Diop,FRA,DF,Fulham,27,1997,3.1,145,134,11,11,0,1,0,0,0,0,0,0,120,0,1
98,Axel Disasi,FRA,DF,Chelsea,26,1998,1.0,74,60,14,6,0,0,0,8,0,0,0,0,64,0,1
99,Roman Dixon,ENG,DF,Everton,19,2004,1.0,19,16,3,0,0,0,0,3,0,0,0,0,11,0,0
100,Matt Doherty,IRL,DF,Wolves,32,1992,2.3,105,80,25,4,0,1,2,21,0,0,0,0,74,0,2
101,Jeremy Doku,BEL,FW,Manchester City,22,2002,3.4,148,145,2,0,2,0,14,0,2,0,0,0,125,1,4
102,Nicolás Domínguez,ARG,"FW,MF",Nott'ham Forest,26,1998,1.8,79,77,0,0,0,0,0,0,0,0,0,0,56,2,0
103,Abdoulaye Doucouré,MLI,MF,Everton,31,1993,3.4,112,104,7,0,0,0,5,0,0,0,0,0,86,1,3
104,Cheick Doucouré,MLI,MF,Crystal Palace,24,2000,1.0,49,49,0,0,0,0,0,0,0,0,0,0,45,0,1
105,Flynn Downes,ENG,MF,Southampton,25,1999,5.0,318,304,14,14,3,0,1,0,0,0,0,0,294,0,2
106,Tommy Doyle,ENG,MF,Wolves,22,2001,0.8,70,61,7,5,0,1,3,0,2,1,1,0,52,2,2
107,Radu Drăgușin,ROU,DF,Tottenham,22,2002,1.1,57,51,6,5,0,0,0,1,0,0,0,0,48,0,1
108,Lewis Dunk,ENG,DF,Brighton,32,1991,5.8,565,515,50,21,1,2,2,6,0,0,0,0,516,0,2
109,Jhon Durán,COL,FW,Aston Villa,20,2003,1.8,41,38,2,0,2,0,0,0,0,0,0,0,28,1,0
110,Ederson,BRA,GK,Manchester City,31,1993,6.0,221,199,22,9,0,0,0,0,0,0,0,0,184,0,1
111,George Edmundson,ENG,DF,Ipswich Town,27,1997,0.0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1
112,Odsonne Édouard,FRA,"MF,FW",Crystal Palace,26,1998,1.3,28,28,0,0,0,0,1,0,0,0,0,0,17,0,2
113,Odsonne Édouard,FRA,"FW,MF",Leicester City,26,1998,0.1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,1
114,Samuel Edozie,ENG,"DF,FW",Southampton,21,2003,0.7,33,33,0,0,0,0,4,0,0,0,0,0,25,0,2
115,Anthony Elanga,SWE,FW,Nott'ham Forest,22,2002,3.9,103,89,14,2,0,0,19,0,12,6,6,0,78,0,2
