Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
31,Brandon Austin,ENG,GK,Tottenham,25,1999,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Taiwo Awoniyi,NGA,FW,Nott'ham Forest,27,1997,4,80.0,20.0,14.8,0.9,1,45.0,0,3,12.0,2,1.25,0.0,1.0,-1.0,-1.13,1.0,0.9,0.1,0.06
33,Yasin Ayari,SWE,MF,Brighton,20,2003,5,201.0,40.0,37.2,2.2,1,90.0,1,4,28.0,0,1.6,2.0,1.0,1.0,0.45,4.2,2.7,1.5,0.66
34,Jordan Ayew,GHA,"FW,MF",Crystal Palace,33,1991,1,21.0,21.0,3.9,0.2,0,0.0,0,1,21.0,0,0.0,0.0,1.0,-1.0,-4.29,0.7,1.0,-0.2,-0.99
35,Jordan Ayew,GHA,FW,Leicester City,33,1991,5,273.0,55.0,50.6,3.0,3,80.0,1,2,17.0,0,0.4,3.0,7.0,-4.0,-1.32,2.3,5.3,-3.0,-0.99
36,Benoît Badiashile,FRA,DF,Chelsea,23,2001,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Leon Bailey,JAM,"FW,MF",Aston Villa,27,1997,5,286.0,57.0,53.0,3.2,4,60.0,1,1,45.0,0,2.0,6.0,4.0,2.0,0.63,5.3,2.8,2.5,0.78
38,Carlos Baleba,CMR,MF,Brighton,20,2004,5,349.0,70.0,64.6,3.9,4,83.0,3,1,18.0,1,1.2,6.0,6.0,0.0,0.0,6.1,7.6,-1.5,-0.38
39,Valentín Barco,ARG,DF,Brighton,20,2004,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Ross Barkley,ENG,MF,Aston Villa,30,1993,5,126.0,25.0,23.3,1.4,0,0.0,0,5,25.0,1,2.0,6.0,2.0,4.0,2.86,3.3,1.0,2.3,1.68
41,Harvey Barnes,ENG,FW,Newcastle Utd,26,1997,6,324.0,54.0,60.0,3.6,3,75.0,1,3,33.0,0,1.83,6.0,5.0,1.0,0.28,6.3,5.9,0.4,0.11
42,Calvin Bassey,NGA,DF,Fulham,24,1999,6,540.0,90.0,100.0,6.0,6,90.0,6,0,0.0,0,1.83,8.0,5.0,3.0,0.5,8.2,6.5,1.7,0.28
43,Altay Bayındır,TUR,GK,Manchester Utd,26,1998,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Jan Bednarek,POL,DF,Southampton,28,1996,5,440.0,88.0,97.8,4.9,5,88.0,4,0,0.0,0,0.2,2.0,9.0,-7.0,-1.43,6.6,9.5,-2.9,-0.6
45,Asmir Begović,BIH,GK,Everton,37,1987,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Jean-Ricner Bellegarde,FRA,"MF,FW",Wolves,26,1998,6,388.0,65.0,71.9,4.3,6,65.0,0,0,0.0,0,0.17,5.0,8.0,-3.0,-0.7,4.4,5.6,-1.1,-0.27
47,Steven Benda,GER,GK,Fulham,25,1998,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Rodrigo Bentancur,URU,MF,Tottenham,27,1997,5,305.0,61.0,56.5,3.4,4,74.0,1,1,9.0,0,1.4,6.0,3.0,3.0,0.89,8.9,3.3,5.5,1.63
