Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
34,Harvey Barnes,ENG,FW,Newcastle Utd,26,1997,3.6,3,14,5,35.7,3.89,1.39,0.21,0.6,14.3,0,0,0,1.8,1.8,0.13,1.2,1.2
35,Calvin Bassey,NGA,DF,Fulham,24,1999,6.0,0,4,0,0.0,0.67,0.0,0.0,0.0,19.5,0,0,0,0.2,0.2,0.05,-0.2,-0.2
36,Jan Bednarek,POL,DF,Southampton,28,1996,4.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
37,Jean-Ricner Bellegarde,FRA,"MF,FW",Wolves,26,1998,4.3,1,5,2,40.0,1.16,0.46,0.2,0.5,21.8,1,0,0,0.3,0.3,0.06,0.7,0.7
38,Rodrigo Bentancur,URU,MF,Tottenham,27,1997,3.4,0,4,1,25.0,1.18,0.3,0.0,0.0,17.9,0,0,0,0.3,0.3,0.08,-0.3,-0.3
39,Sander Berge,NOR,MF,Fulham,26,1998,1.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
40,Lucas Bergvall,SWE,"MF,FW",Tottenham,18,2006,0.6,0,2,0,0.0,3.53,0.0,0.0,0.0,24.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1
41,Victor Bernth Kristiansen,DEN,DF,Leicester City,21,2002,5.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
42,Beto,GNB,FW,Everton,26,1998,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
43,Philip Billing,DEN,MF,Bournemouth,28,1996,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
44,Yves Bissouma,MLI,MF,Tottenham,28,1996,2.0,1,1,1,100.0,0.5,0.5,1.0,1.0,20.9,0,0,0,0.1,0.1,0.1,0.9,0.9
45,Lamare Bogarde,NED,DF,Aston Villa,20,2004,1.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
46,Willy Boly,CIV,DF,Nott'ham Forest,33,1991,1.0,0,1,1,100.0,0.99,0.99,0.0,0.0,10.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1
