Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
363,Jack Stephens,eng ENG,DF,Southampton,30-247,1994,3.9,0,1,0,0.0,0.26,0.00,0.00,,3.6,0,0,0,0.2,0.2,0.23,-0.2,-0.2,Matches
364,Raheem Sterling,eng ENG,"MF,FW",Arsenal,29-297,1994,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
365,Ross Stewart,sct SCO,FW,Southampton,28-081,1996,0.7,0,1,0,0.0,1.48,0.00,0.00,,13.3,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
366,John Stones,eng ENG,"DF,MF",Manchester City,30-125,1994,1.5,1,1,1,100.0,0.66,0.66,1.00,1.00,6.2,0,0,0,0.2,0.2,0.18,+0.8,+0.8,Matches
367,Jørgen Strand Larsen,no NOR,FW,Wolves,24-237,2000,5.3,1,8,4,50.0,1.52,0.76,0.13,0.25,13.1,0,0,0,1.0,1.0,0.12,0.0,0.0,Matches
368,Yukinari Sugawara,jp JPN,DF,Southampton,24-094,2000,4.3,1,5,2,40.0,1.17,0.47,0.20,0.50,20.4,1,0,0,0.3,0.3,0.05,+0.7,+0.7,Matches
369,Crysencio Summerville,nl NED,"FW,MF",West Ham,22-336,2001,1.5,0,2,1,50.0,1.32,0.66,0.00,0.00,12.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
370,Sammie Szmodics,ie IRL,"FW,MF",Ipswich Town,29-006,1995,3.2,1,4,2,50.0,1.25,0.62,0.25,0.50,11.5,0,0,0,1.0,1.0,0.25,0.0,0.0,Matches
371,Dominik Szoboszlai,hu HUN,MF,Liverpool,23-341,2000,5.5,0,9,1,11.1,1.65,0.18,0.00,0.00,16.4,0,0,0,1.2,1.2,0.13,-1.2,-1.2,Matches
372,James Tarkowski,eng ENG,DF,Everton,31-316,1992,6.0,0,6,0,0.0,1.00,0.00,0.00,,6.8,0,0,0,0.6,0.6,0.10,-0.6,-0.6,Matches
373,Marcus Tavernier,eng ENG,"FW,MF",Bournemouth,25-192,1999,4.8,1,15,6,40.0,3.10,1.24,0.07,0.17,19.9,2,0,0,2.1,2.1,0.15,-1.1,-1.1,Matches
374,Charlie Taylor,eng ENG,DF,Southampton,31-012,1993,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
375,Jack Taylor,ie IRL,MF,Ipswich Town,26-099,1998,1.1,0,2,1,50.0,1.86,0.93,0.00,0.00,25.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
376,Kenny Tete,nl NED,DF,Fulham,28-357,1995,6.0,0,10,1,10.0,1.67,0.17,0.00,0.00,15.0,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
377,Youri Tielemans,be BEL,MF,Aston Villa,27-146,1997,5.9,0,3,0,0.0,0.51,0.00,0.00,,24.8,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
378,Jurriën Timber,nl NED,DF,Arsenal,23-105,2001,5.0,0,4,0,0.0,0.80,0.00,0.00,,15.9,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
379,Jean-Clair Todibo,fr FRA,DF,West Ham,24-275,1999,1.1,0,2,0,0.0,1.84,0.00,0.00,,12.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
380,Harry Toffolo,eng ENG,DF,Nott'ham Forest,29-042,1995,0.4,0,1,0,0.0,2.43,0.00,0.00,,28.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
381,Sandro Tonali,it ITA,MF,Newcastle Utd,24-145,2000,1.8,0,3,3,100.0,1.68,1.68,0.00,0.00,17.5,1,0,0,0.5,0.5,0.15,-0.5,-0.5,Matches
