Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
29,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,33-019,1991,0.2,12,0,0,7,5,1,12,0,0,,0,,6,25,12,0,0,0,0,1,9,1,Matches
30,Jordan Ayew,gh GHA,FW,Leicester City,33-019,1991,3.0,118,3,13,61,47,9,118,10,7,70.0,2,20.0,81,585,217,4,4,1,11,6,81,8,Matches
31,Leon Bailey,jm JAM,"FW,MF",Aston Villa,27-052,1997,3.2,137,4,15,37,88,13,137,11,4,36.4,3,27.3,90,591,337,16,4,8,10,6,99,24,Matches
32,Carlos Baleba,cm CMR,MF,Brighton,20-271,2004,3.9,230,7,28,138,69,4,230,13,8,61.5,5,38.5,116,731,370,6,10,0,4,3,134,2,Matches
33,Ross Barkley,eng ENG,MF,Aston Villa,30-300,1993,1.4,114,3,12,66,37,1,114,1,0,0.0,1,100.0,70,347,157,4,1,0,0,2,86,1,Matches
34,Harvey Barnes,eng ENG,FW,Newcastle Utd,26-296,1997,3.6,128,4,20,44,64,19,128,7,3,42.9,2,28.6,96,554,314,14,7,6,6,2,103,29,Matches
35,Calvin Bassey,ng NGA,DF,Fulham,24-274,1999,6.0,402,59,218,177,9,4,402,6,2,33.3,2,33.3,268,1217,734,4,1,0,7,2,279,0,Matches
36,Jan Bednarek,pl POL,DF,Southampton,28-171,1996,4.9,510,77,235,265,12,2,510,0,0,,0,,286,1114,560,1,4,1,1,0,385,1,Matches
37,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,26-095,1998,4.3,155,1,21,67,69,8,155,18,1,5.6,13,72.2,105,726,352,11,8,4,4,6,110,19,Matches
38,Rodrigo Bentancur,uy URU,MF,Tottenham,27-097,1997,3.4,257,9,48,153,56,5,257,3,1,33.3,2,66.7,159,680,254,4,6,2,1,3,186,2,Matches
39,Sander Berge,no NOR,MF,Fulham,26-229,1998,1.2,62,3,16,34,12,2,62,1,0,0.0,1,100.0,29,163,69,0,1,1,1,0,28,0,Matches
40,Lucas Bergvall,se SWE,"MF,FW",Tottenham,18-241,2006,0.6,72,1,6,35,32,2,72,5,3,60.0,2,40.0,36,139,40,1,1,0,3,3,49,3,Matches
41,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,21-289,2002,5.9,384,33,150,183,55,0,384,5,2,40.0,3,60.0,194,951,483,9,1,0,3,4,207,18,Matches
42,Beto,gw GNB,FW,Everton,26-243,1998,0.5,19,1,1,12,6,0,19,1,0,0.0,1,100.0,8,36,19,1,0,0,3,1,13,1,Matches
43,Philip Billing,dk DEN,MF,Bournemouth,28-111,1996,0.3,16,0,1,6,9,2,16,0,0,,0,,10,43,27,0,0,0,0,2,11,2,Matches
44,Yves Bissouma,ml MLI,MF,Tottenham,28-031,1996,2.0,175,4,29,101,48,1,175,6,4,66.7,2,33.3,117,733,347,5,5,0,3,0,143,0,Matches
45,Lamare Bogarde,nl NED,DF,Aston Villa,20-269,2004,1.9,117,6,31,71,16,0,117,2,1,50.0,0,0.0,72,326,157,3,3,0,2,5,79,5,Matches
46,Willy Boly,ci CIV,DF,Nott'ham Forest,33-240,1991,1.0,71,16,44,25,2,1,71,0,0,,0,,32,111,33,0,0,0,1,0,39,0,Matches
47,Jarrod Bowen,eng ENG,"FW,MF",West Ham,27-285,1996,5.7,199,9,35,58,113,28,199,23,10,43.5,12,52.2,106,957,440,20,8,9,7,17,114,32,Matches
48,Conor Bradley,nir NIR,DF,Liverpool,21-083,2003,0.9,97,5,30,40,29,9,97,1,1,100.0,0,0.0,56,324,180,6,1,2,1,0,55,5,Matches
49,Jarrad Branthwaite,eng ENG,DF,Everton,22-095,2002,1.0,43,8,25,15,3,0,43,1,1,100.0,0,0.0,24,73,38,0,0,0,0,0,21,0,Matches
50,Ben Brereton,cl CHI,FW,Southampton,25-165,1999,3.8,157,3,12,58,88,14,157,4,1,25.0,2,50.0,107,642,322,9,12,2,5,3,132,29,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
51,Emi Buendía,ar ARG,"MF,FW",Aston Villa,27-280,1996,0.2,16,0,1,9,7,0,16,0,0,,0,,12,37,33,2,2,0,1,1,13,4,Matches
52,Santiago Bueno,uy URU,DF,Wolves,25-326,1998,0.9,69,11,35,33,1,0,69,1,0,0.0,1,100.0,32,127,81,0,0,0,0,0,47,0,Matches
53,Facundo Buonanotte,ar ARG,"MF,FW",Leicester City,19-282,2004,3.2,147,6,27,72,51,6,147,13,2,15.4,9,69.2,84,566,261,6,4,1,11,4,91,9,Matches
54,Dan Burn,eng ENG,DF,Newcastle Utd,32-144,1992,6.0,359,80,216,119,25,13,359,0,0,,0,,204,967,326,0,0,0,5,0,233,2,Matches
55,Wes Burns,wls WAL,FW,Ipswich Town,29-312,1994,2.3,77,3,13,27,38,5,77,7,2,28.6,5,71.4,52,200,81,5,2,2,4,3,55,17,Matches
56,Moisés Caicedo,ec ECU,MF,Chelsea,22-333,2001,5.8,387,15,110,209,72,2,387,9,4,44.4,2,22.2,201,722,359,5,2,0,4,3,266,7,Matches
57,Tom Cairney,sct SCO,MF,Fulham,33-254,1991,0.8,49,2,9,25,16,2,49,4,2,50.0,1,25.0,31,226,132,3,2,1,0,0,37,2,Matches
58,Jens Cajuste,se SWE,MF,Ipswich Town,25-051,1999,0.9,46,4,8,27,12,0,46,1,1,100.0,0,0.0,19,97,53,2,0,0,0,0,25,1,Matches
59,Riccardo Calafiori,it ITA,DF,Arsenal,22-134,2002,2.3,135,10,38,43,54,7,135,3,3,100.0,0,0.0,58,322,173,2,2,2,3,0,79,6,Matches
60,Dominic Calvert-Lewin,eng ENG,FW,Everton,27-198,1997,5.6,157,7,12,65,81,29,157,10,1,10.0,8,80.0,86,415,124,4,3,4,20,10,125,33,Matches
61,Diego Carlos,br BRA,DF,Aston Villa,31-199,1993,2.0,146,13,60,85,3,0,146,0,0,,0,,118,539,278,1,2,0,0,0,113,0,Matches
62,Fabio Carvalho,pt POR,"FW,MF",Brentford,22-031,2002,2.6,120,3,25,43,52,11,120,8,1,12.5,6,75.0,58,306,120,5,1,0,5,1,64,6,Matches
63,Casemiro,br BRA,MF,Manchester Utd,32-220,1992,3.0,253,14,75,124,55,11,253,3,1,33.3,2,66.7,150,562,291,1,3,0,2,2,182,4,Matches
64,Matty Cash,pl POL,DF,Aston Villa,27-054,1997,1.1,62,6,22,25,15,2,62,0,0,,0,,26,104,50,1,3,0,0,0,32,1,Matches
65,Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,27-227,1997,1.0,45,1,14,25,7,1,45,0,0,,0,,23,54,24,1,0,0,2,0,30,2,Matches
66,Federico Chiesa,it ITA,FW,Liverpool,26-341,1997,0.2,12,0,2,5,5,3,12,1,0,0.0,1,100.0,11,35,13,1,0,1,1,2,9,2,Matches
67,Chiquinho,pt POR,MF,Wolves,24-238,2000,0.1,3,0,0,1,2,1,3,0,0,,0,,1,13,5,0,0,0,0,0,2,0,Matches
68,Hamza Choudhury,eng ENG,MF,Leicester City,26-365,1997,0.2,5,1,1,2,2,0,5,0,0,,0,,0,0,0,0,0,0,0,0,1,0,Matches
69,Ryan Christie,sct SCO,MF,Bournemouth,29-221,1995,3.2,171,5,34,94,45,7,171,9,3,33.3,5,55.6,87,436,182,4,6,2,8,1,99,10,Matches
70,Jack Clarke,eng ENG,FW,Ipswich Town,23-312,2000,1.8,71,1,13,32,32,8,71,10,5,50.0,4,40.0,41,312,159,3,3,1,3,1,47,11,Matches
71,Nathaniel Clyne,eng ENG,DF,Crystal Palace,33-178,1991,1.7,92,7,39,46,7,1,92,0,0,,0,,61,225,121,1,0,1,1,0,66,1,Matches
