stat_id,player_id,ninety_s,gls,sh,sot,sot_percent,sh_per_90,sot_per_90,g_per_sh,g_per_sot,dist,fk,pk,pkatt,xg,npxg,npxg_per_sh,g_minus_xg,npg_minus_xg
,,4.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,3.2,3,9,4,44.4,2.8,1.25,0.33,0.75,11.4,0,0,0,2.4,2.4,0.27,0.6,0.6
,,3.5,2,10,7,70.0,2.85,1.99,0.2,0.29,11.7,0,0,0,1.5,1.5,0.15,0.5,0.5
,,3.0,0,1,0,0.0,0.33,0.0,0.0,0.0,12.9,0,0,0,0.0,0.0,0.03,0.0,0.0
,,0.1,0,1,0,0.0,12.86,0.0,0.0,0.0,21.3,0,0,0,0.0,0.0,0.04,0.0,0.0
,,2.5,0,4,2,50.0,1.61,0.8,0.0,0.0,22.3,0,0,0,0.3,0.3,0.07,-0.3,-0.3
,,1.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,4.0,0,1,0,0.0,0.25,0.0,0.0,0.0,6.1,0,0,0,0.2,0.2,0.19,-0.2,-0.2
,,0.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,2.8,1,7,5,71.4,2.52,1.8,0.14,0.2,11.8,0,0,0,2.1,2.1,0.3,-1.1,-1.1
,,2.8,0,3,2,66.7,1.07,0.71,0.0,0.0,16.0,0,0,0,0.4,0.4,0.15,-0.4,-0.4
