stat_id,player_id,ninety_s,att,live,dead,fk,tb,sw,crs,ti,ck,inn,outt,str,cmp,off,blocks
,,2.9,155,138,14,1,1,0,8,5,8,5,0,1,128,3,3
,,3.1,271,261,10,5,0,1,1,0,0,0,0,0,261,0,2
,,3.2,107,103,3,0,0,0,1,3,0,0,0,0,94,1,1
,,1.4,66,59,6,2,0,1,5,1,3,2,0,0,55,1,1
,,3.4,184,143,41,8,1,1,20,27,6,6,0,0,142,0,6
,,3.0,143,133,10,10,0,0,0,0,0,0,0,0,118,0,1
,,0.7,57,48,9,4,0,0,0,5,0,0,0,0,50,0,0
,,1.0,19,16,3,0,0,0,0,3,0,0,0,0,11,0,0
,,2.3,105,80,25,4,0,1,2,21,0,0,0,0,74,0,2
,,2.5,110,108,1,0,2,0,9,0,1,0,0,0,93,1,2
,,1.2,53,52,0,0,0,0,0,0,0,0,0,0,38,1,0
,,1.4,37,30,7,0,0,0,2,0,0,0,0,0,26,0,0
,,1.0,49,49,0,0,0,0,0,0,0,0,0,0,45,0,1
,,4.0,264,254,10,10,2,0,1,0,0,0,0,0,244,0,2
,,0.5,52,46,6,4,0,0,2,0,2,1,1,0,41,0,1
,,1.0,48,43,5,4,0,0,0,1,0,0,0,0,41,0,1
,,3.8,346,310,36,14,1,2,0,3,0,0,0,0,319,0,0
,,1.2,33,31,1,0,2,0,0,0,0,0,0,0,20,1,0
,,4.0,145,129,16,6,0,0,0,0,0,0,0,0,123,0,1
,,0.0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1
,,1.3,28,28,0,0,0,0,1,0,0,0,0,0,17,0,2
,,0.7,33,33,0,0,0,0,4,0,0,0,0,0,25,0,2
,,2.9,87,73,14,2,0,0,18,0,12,6,6,0,65,0,1
,,0.1,14,12,1,0,0,0,0,1,0,0,0,0,12,1,0
,,0.5,37,30,7,2,0,0,10,0,5,2,1,0,24,0,1
,,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
,,0.9,51,45,6,1,1,0,4,0,5,1,0,3,45,0,1
,,0.2,23,20,3,1,0,0,4,0,2,0,2,0,20,0,2
,,2.3,27,26,1,0,0,0,0,0,0,0,0,0,17,0,3
,,0.3,24,20,4,1,0,0,0,2,0,0,0,0,22,0,0
,,4.0,187,157,26,9,2,2,9,1,8,5,0,0,154,4,5
,,0.5,8,6,2,0,0,0,0,0,0,0,0,0,5,0,0
,,4.0,197,187,10,5,1,0,0,0,0,0,0,0,173,0,4
,,3.0,71,68,3,0,2,1,6,3,0,0,0,0,46,0,4
,,0.9,47,46,1,0,0,0,0,1,0,0,0,0,38,0,1
,,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
,,3.9,196,175,20,3,0,0,21,1,10,4,2,1,149,1,7
,,1.6,73,69,4,2,1,0,2,0,1,0,0,0,57,0,2
,,3.0,194,182,12,5,2,3,6,0,6,5,0,0,155,0,5
,,4.0,213,180,33,17,0,2,0,0,0,0,0,0,170,0,0
,,0.5,28,28,0,0,0,0,0,0,0,0,0,0,24,0,0
,,4.0,268,255,13,9,0,0,1,3,0,0,0,0,244,0,1
,,0.1,10,10,0,0,0,0,1,0,0,0,0,0,4,0,2
,,0.3,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0
,,0.7,14,13,1,0,0,0,0,0,0,0,0,0,13,0,0
,,1.0,33,33,0,0,0,0,4,0,0,0,0,0,24,0,0
,,3.7,115,111,4,1,1,0,0,0,0,0,0,0,99,0,1
,,1.6,57,54,2,0,0,1,3,2,0,0,0,0,47,1,2
,,0.7,25,22,3,0,0,0,1,3,0,0,0,0,19,0,1
,,3.9,158,156,0,0,1,2,3,0,0,0,0,0,121,2,6
,,1.1,67,65,2,1,1,2,1,0,1,1,0,0,58,0,0
,,3.6,153,149,4,3,1,2,3,1,0,0,0,0,134,0,3
,,1.1,25,22,3,0,1,0,5,2,1,0,1,0,13,0,0
