stat_id,player_id,mp,min,ninety_s,starts,mn_per_start,compl,subs,mn_per_subs,unsub,ppm,on_g,on_ga,plus_minus,plus_minus_per_90,onxg,onxga,xg_plus_minus,xg_plus_minus_per_90
,,4,360,4.0,4,90.0,4,0,0.0,0,0.0,4,13,-9,-2.25,4.1,8.3,-4.2,-1.05
,,0,0,0.0,0,0.0,0,0,0.0,4,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,4,160,1.8,2,68.0,0,2,13.0,0,2.5,1,2,-1,-0.56,2.0,3.5,-1.5,-0.83
,,4,335,3.7,4,84.0,3,0,0.0,0,1.25,2,5,-3,-0.81,5.6,5.2,0.4,0.11
,,1,23,0.3,0,0.0,0,1,23.0,1,0.0,1,0,1,3.91,0.3,0.1,0.2,0.73
,,4,360,4.0,4,90.0,4,0,0.0,0,1.0,5,6,-1,-0.25,5.1,7.8,-2.7,-0.67
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0,0,0.0,0,0.0,0,0,0.0,3,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,4,263,2.9,3,78.0,1,1,28.0,0,1.25,5,2,3,1.03,6.4,3.4,3.1,1.05
,,4,299,3.3,3,85.0,2,1,45.0,0,2.25,7,1,6,1.81,7.6,2.3,5.3,1.6
,,4,360,4.0,4,90.0,4,0,0.0,0,2.25,7,6,1,0.25,6.7,4.5,2.2,0.55
,,4,274,3.0,4,69.0,2,0,0.0,0,3.0,10,3,7,2.3,7.2,2.9,4.4,1.43
,,3,241,2.7,2,90.0,2,1,61.0,1,2.33,4,2,2,0.75,3.7,5.0,-1.4,-0.51
,,4,358,4.0,4,90.0,3,0,0.0,0,1.0,5,6,-1,-0.25,4.9,7.8,-2.9,-0.72
,,4,258,2.9,3,82.0,2,1,12.0,0,1.0,3,3,0,0.0,3.9,3.6,0.3,0.11
,,1,90,1.0,1,90.0,1,0,0.0,0,1.0,2,2,0,0.0,2.5,1.2,1.3,1.31
,,2,37,0.4,0,0.0,0,2,19.0,0,0.0,1,1,0,0.0,0.4,1.0,-0.7,-1.59
,,0,0,0.0,0,0.0,0,0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,1,66,0.7,1,66.0,0,0,0.0,0,0.0,0,1,-1,-1.36,0.9,0.7,0.2,0.28
,,4,359,4.0,4,90.0,3,0,0.0,0,0.25,4,11,-7,-1.75,4.4,5.4,-1.0,-0.26
,,4,360,4.0,4,90.0,4,0,0.0,0,1.25,4,4,0,0.0,4.6,4.2,0.4,0.1
,,2,79,0.9,1,62.0,0,1,17.0,1,0.0,0,1,-1,-1.14,1.5,1.8,-0.3,-0.34
,,4,315,3.5,4,79.0,3,0,0.0,0,3.0,11,3,8,2.29,7.8,2.9,4.9,1.4
,,4,188,2.1,2,78.0,1,2,17.0,0,1.5,2,4,-2,-0.96,2.7,5.1,-2.5,-1.19
,,0,0,0.0,0,0.0,0,0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,4,176,2.0,2,77.0,0,2,11.0,0,1.5,3,4,-1,-0.51,3.2,3.1,0.1,0.03
