stat_id,player_id,ninety_s,crd_y,crd_r,two_crd_y,fls,fld,off,crs,interceptions,tklw,pkwon,pkcon,og,recov,won,lost,won_percent
,,4.0,0,0,0,8,4,0,6,9,7,0,1,0,32,4,4,50.0
,,2.3,0,0,0,1,1,0,4,4,3,0,0,0,15,1,0,100.0
,,0.2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0
,,4.0,0,0,0,5,5,2,14,1,8,0,1,0,22,3,2,60.0
,,2.3,0,0,0,1,1,1,0,2,1,0,0,0,8,3,1,75.0
,,4.0,1,0,0,4,3,2,29,2,1,0,0,0,15,1,4,20.0
,,3.3,0,0,0,12,5,3,0,1,1,0,0,0,8,2,5,28.6
,,1.2,0,0,0,0,0,0,1,0,3,0,0,0,3,2,0,100.0
,,0.4,0,0,0,1,1,0,0,1,0,0,0,0,2,0,0,0.0
,,2.9,1,0,0,5,0,1,8,2,5,0,0,0,15,1,1,50.0
,,3.1,1,0,0,1,2,0,1,6,0,0,0,1,9,4,1,80.0
,,3.2,0,0,0,5,3,0,1,1,5,0,0,0,14,2,4,33.3
,,1.4,0,0,0,2,8,0,5,1,2,1,0,0,6,0,0,0.0
,,3.4,0,0,0,5,3,0,20,5,8,0,0,0,9,4,5,44.4
,,3.0,0,0,0,1,0,0,0,0,4,0,0,0,6,3,1,75.0
,,0.7,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0.0
,,1.0,0,0,0,0,0,0,0,1,5,0,0,0,6,0,3,0.0
,,2.3,0,0,0,0,1,0,2,2,6,0,0,0,9,5,2,71.4
,,2.5,0,0,0,1,6,2,9,0,2,0,0,0,11,0,0,0.0
,,1.2,1,0,0,3,0,0,0,1,3,0,0,0,6,3,1,75.0
,,1.4,0,0,0,0,0,4,2,0,0,0,0,0,5,3,2,60.0
,,1.0,0,0,0,1,2,0,0,2,3,0,0,0,4,1,1,50.0
,,4.0,1,0,0,9,5,0,1,8,6,0,0,0,14,3,3,50.0
,,0.5,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0.0
,,1.0,0,0,0,1,2,0,0,1,0,0,0,0,2,4,1,80.0
,,3.8,0,0,0,0,2,0,0,3,0,0,0,0,21,10,10,50.0
,,1.2,1,0,0,2,2,1,0,0,1,0,0,0,2,7,4,63.6
,,4.0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0.0
,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
,,1.3,0,0,0,4,0,2,1,0,0,0,0,0,5,1,4,20.0
,,0.7,1,0,0,2,1,0,4,0,1,0,0,0,1,0,0,0.0
,,2.9,1,0,0,1,5,1,18,2,1,0,0,0,14,3,4,42.9
,,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
,,0.5,0,0,0,0,0,0,10,0,0,0,0,0,1,1,0,100.0
,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
,,0.9,1,0,0,1,1,0,4,0,0,0,0,0,4,0,0,0.0
,,0.2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0.0
,,2.3,0,0,0,4,6,2,0,0,1,1,0,0,4,3,4,42.9
,,0.3,0,0,0,1,0,0,0,1,0,0,0,0,1,1,2,33.3
,,4.0,0,0,0,2,8,0,9,0,5,0,0,0,18,1,5,16.7
,,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
,,4.0,1,0,0,5,0,0,0,5,1,0,0,0,12,8,5,61.5
,,3.0,0,0,0,3,10,1,6,3,12,0,0,0,17,6,5,54.5
,,0.9,1,0,0,1,3,0,0,0,0,0,0,0,4,1,1,50.0
,,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0
,,3.9,1,0,0,1,2,1,21,0,7,0,0,0,15,1,4,20.0
,,1.6,0,0,0,2,3,0,2,2,3,0,0,0,7,0,2,0.0
,,3.0,0,0,0,1,4,0,6,0,5,0,0,0,12,1,0,100.0
,,4.0,0,0,0,0,0,0,0,0,1,0,0,0,7,1,0,100.0
,,0.5,0,0,0,0,1,0,0,2,0,0,0,0,1,1,0,100.0
,,4.0,2,0,0,8,5,0,1,5,3,0,0,0,17,3,2,60.0
,,0.1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0.0
,,0.3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0
,,0.7,0,0,0,3,0,1,0,0,0,0,0,0,2,8,3,72.7
,,1.0,1,0,0,1,0,0,4,0,2,0,0,0,0,0,1,0.0
,,3.7,0,0,0,7,3,0,0,6,8,0,0,0,16,4,1,80.0
,,1.6,0,0,0,1,3,0,3,1,2,0,0,0,13,1,3,25.0
,,0.7,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0.0
,,3.9,1,0,0,9,6,2,3,2,1,0,0,0,21,8,7,53.3
,,1.1,0,0,0,2,3,0,1,0,3,0,0,0,5,0,0,0.0
,,3.6,2,0,0,10,1,0,3,1,10,0,0,0,19,0,6,0.0
,,1.1,0,0,0,0,2,0,5,0,0,0,0,0,2,2,1,66.7
,,3.0,2,0,0,4,1,2,0,1,3,0,0,0,6,6,1,85.7
,,3.7,0,0,0,3,15,0,21,2,2,0,0,0,12,0,2,0.0
,,4.0,2,0,0,9,6,0,1,9,7,0,0,0,25,2,1,66.7
,,0.3,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0.0
,,1.9,1,0,0,1,2,0,4,0,1,0,0,0,8,0,3,0.0
,,4.0,0,0,0,2,4,0,0,5,3,0,0,0,4,11,9,55.0
,,0.2,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0.0
,,4.0,1,0,0,1,3,0,0,2,2,0,0,0,13,15,6,71.4
,,4.0,1,0,0,5,19,0,3,4,5,0,0,0,20,0,0,0.0
,,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
,,1.5,0,0,0,2,2,0,0,0,1,0,0,0,3,2,2,50.0
,,2.8,1,0,0,4,1,0,6,2,6,0,0,0,12,0,1,0.0
,,3.5,0,0,0,1,3,0,2,8,5,0,0,0,14,3,0,100.0
,,4.0,1,0,0,2,2,1,0,0,2,0,0,0,2,4,4,50.0
,,2.3,1,0,0,2,0,0,10,1,2,0,0,0,7,2,2,50.0
,,0.4,2,0,0,3,0,1,0,0,0,0,0,0,0,2,1,66.7
,,0.5,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0.0
,,3.3,0,0,0,1,6,1,9,3,3,0,0,0,14,1,3,25.0
,,2.6,2,0,0,5,0,0,1,1,1,0,0,0,8,1,4,20.0
,,4.0,0,0,0,8,6,3,1,3,3,0,0,0,12,15,24,38.5
,,4.0,1,0,0,3,1,0,0,4,5,0,0,0,27,7,10,41.2
,,2.2,0,0,0,1,6,0,4,1,0,0,0,0,9,2,3,40.0
,,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
,,4.0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0.0
,,4.0,0,0,0,0,5,1,6,2,2,0,0,0,17,1,3,25.0
,,3.7,1,0,0,3,1,0,17,2,3,0,0,0,12,2,3,40.0
,,0.4,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2,33.3
,,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
,,3.1,0,0,0,1,4,1,8,1,3,0,0,0,3,0,1,0.0
,,2.0,1,0,0,5,1,0,2,2,3,0,0,0,5,1,0,100.0
,,1.2,0,0,0,1,0,1,0,3,0,0,0,0,7,10,4,71.4
,,3.9,2,0,0,6,7,1,3,0,2,0,0,0,16,3,6,33.3
,,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
,,3.9,2,0,0,10,6,0,0,8,8,0,0,0,32,3,1,75.0
,,3.5,0,0,0,2,2,2,1,1,2,0,0,0,7,2,8,20.0
,,3.7,0,0,0,2,2,0,11,1,5,0,0,0,16,0,5,0.0
,,3.3,2,0,0,5,3,4,0,0,0,0,0,0,5,1,6,14.3
,,3.2,0,0,0,1,4,0,3,3,4,0,0,0,15,2,0,100.0
,,0.3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0.0
,,2.6,1,0,0,5,4,0,11,2,1,0,0,0,11,2,0,100.0
,,0.2,1,0,0,2,0,0,0,1,1,0,0,0,3,0,2,0.0
,,1.2,0,0,0,3,2,2,1,1,1,0,0,0,2,4,7,36.4
,,2.9,1,0,0,1,6,0,4,1,3,0,0,0,9,5,3,62.5
,,3.5,3,0,0,12,6,1,1,2,6,0,0,0,21,5,5,50.0
,,1.4,0,0,0,2,1,0,3,3,4,0,0,0,3,1,1,50.0
,,3.1,0,0,0,5,2,0,9,0,7,0,0,0,8,4,2,66.7
,,2.0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0
,,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
,,1.0,1,0,0,2,1,0,0,0,0,0,0,0,5,1,0,100.0
,,3.1,0,0,0,3,2,0,2,2,1,0,0,0,8,7,8,46.7
,,4.0,0,0,0,2,8,0,5,7,5,0,0,0,13,1,3,25.0
,,0.3,0,0,0,1,0,0,0,2,0,0,0,0,1,1,0,100.0
,,2.3,1,0,0,8,4,1,9,1,2,0,0,0,5,0,2,0.0
,,4.0,1,0,0,2,0,0,0,6,3,0,0,0,14,14,6,70.0
,,1.8,1,0,0,1,2,0,1,1,2,0,0,0,8,1,1,50.0
,,3.7,1,0,0,4,0,0,10,4,4,0,0,0,18,2,5,28.6
,,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
,,4.0,1,0,0,3,2,0,0,6,2,0,0,0,14,9,8,52.9
,,2.9,2,0,0,12,2,1,9,4,2,0,0,0,11,3,1,75.0
,,3.3,0,0,0,3,0,0,0,1,3,0,0,0,16,14,2,87.5
,,4.0,0,0,0,1,7,0,1,2,3,0,0,0,7,6,2,75.0
,,3.0,1,0,0,1,4,0,0,2,7,0,0,0,16,1,0,100.0
,,2.7,0,0,0,2,1,0,0,2,1,0,0,0,11,4,3,57.1
,,4.0,0,0,0,6,9,1,18,1,4,0,0,0,15,2,4,33.3
,,2.9,1,0,0,8,4,1,15,3,1,0,0,0,16,2,3,40.0
,,1.0,0,0,0,1,1,0,1,1,2,0,0,0,1,4,2,66.7
,,0.4,0,0,0,1,0,0,0,0,2,0,0,0,3,0,1,0.0
,,0.7,0,0,0,1,0,0,0,3,1,0,0,0,6,1,0,100.0
,,4.0,1,0,0,4,3,0,3,10,6,0,0,0,21,4,1,80.0
,,4.0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,100.0
,,0.9,1,0,0,2,2,0,0,3,0,0,0,0,7,1,2,33.3
,,3.5,0,0,0,0,8,0,1,3,4,0,0,0,22,1,3,25.0
,,2.1,0,0,0,0,1,1,2,1,2,0,0,0,5,2,0,100.0
,,2.0,1,0,0,1,2,0,0,3,2,0,0,0,5,4,2,66.7
,,0.5,0,0,0,0,0,0,4,0,1,0,0,0,4,0,0,0.0
,,3.3,0,0,0,2,8,0,1,2,5,0,0,0,18,4,5,44.4
,,3.0,1,0,0,4,2,0,1,3,8,0,0,0,13,2,1,66.7
,,3.7,2,0,0,9,5,0,0,5,6,0,0,0,21,6,2,75.0
,,1.6,0,0,0,1,1,0,0,1,3,0,0,0,9,1,0,100.0
,,0.7,0,0,0,1,1,2,2,0,3,0,0,0,7,0,0,0.0
,,3.7,0,0,0,7,7,0,1,2,7,0,0,0,22,4,2,66.7
,,3.5,1,0,0,4,7,1,33,3,3,0,0,0,10,4,1,80.0
,,2.6,0,0,0,1,5,0,4,1,2,0,0,0,10,0,1,0.0
,,4.0,1,0,0,4,1,0,0,4,1,0,0,0,9,4,3,57.1
,,2.2,2,0,0,4,0,0,1,5,1,0,0,0,9,6,3,66.7
,,3.9,3,0,0,9,9,1,1,13,9,0,0,0,22,4,7,36.4
,,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
,,2.8,0,0,0,3,4,1,7,0,4,0,0,0,12,5,2,71.4
,,4.0,1,0,0,0,2,0,0,0,0,0,0,0,2,1,0,100.0
,,3.8,1,0,0,3,1,0,0,9,6,0,0,0,15,0,2,0.0
,,1.9,1,0,0,2,3,0,2,1,6,0,0,0,7,2,1,66.7
,,3.3,0,0,0,4,4,2,2,0,0,0,0,0,5,3,10,23.1
,,1.4,0,0,0,4,1,0,2,0,3,0,0,0,6,0,1,0.0
,,4.0,0,0,0,2,2,1,1,5,5,0,0,0,12,9,2,81.8
,,3.7,0,0,0,4,4,0,3,4,5,0,0,0,18,7,3,70.0
,,4.0,2,0,0,3,5,3,15,1,2,0,0,0,19,3,7,30.0
