stat_id,player_id,ninety_s,cmp_total,att_total,cmp_percent_total,tot_dist_total,prg_dist_total,cmp_short,att_short,cmp_percent_short,cmp_medium,att_medium,cmp_percent_medium,cmp_long,att_long,cmp_percent_long,ast,xa,xag,a_xag,kp,one_third_ppa,crspa,prgp
,,3.7,129,157,82.2,1977.0,500.0,73,83,88.0,42,47,89.4,9,15,60.0,0,0.0,0.0,0.0,0,6,0,6
,,2.8,96,123,78.0,1751.0,577.0,44,53,83.0,38,45,84.4,13,20,65.0,0,0.2,0.2,-0.2,1,8,0,10
,,4.0,72,98,73.5,990.0,369.0,44,51,86.3,17,24,70.8,5,8,62.5,0,0.4,1.0,-1.0,6,7,0,9
,,4.0,297,322,92.2,5306.0,1960.0,117,122,95.9,161,171,94.2,15,22,68.2,0,0.4,0.2,-0.2,2,34,0,21
,,1.0,18,29,62.1,212.0,60.0,13,17,76.5,4,6,66.7,0,0,0.0,0,0.1,0.1,-0.1,2,1,0,8
,,2.0,42,70,60.0,1332.0,1066.0,7,7,100.0,19,20,95.0,15,42,35.7,0,0.0,0.1,-0.1,1,5,0,0
,,3.8,83,113,73.5,1187.0,371.0,56,64,87.5,21,31,67.7,4,10,40.0,4,1.0,1.4,2.6,10,2,2,10
,,3.9,112,147,76.2,1775.0,482.0,65,77,84.4,38,48,79.2,9,15,60.0,3,1.2,1.5,1.5,6,10,2,18
,,4.0,225,238,94.5,3937.0,972.0,80,83,96.4,135,141,95.7,8,10,80.0,0,0.0,0.0,0.0,0,6,0,11
,,4.0,136,166,81.9,2944.0,1785.0,38,38,100.0,77,80,96.3,21,48,43.8,0,0.0,0.0,0.0,0,3,0,0
,,0.5,25,30,83.3,363.0,100.0,16,19,84.2,7,8,87.5,1,2,50.0,1,0.1,0.4,0.6,2,0,0,6
,,2.4,86,113,76.1,1305.0,411.0,48,56,85.7,32,41,78.0,5,9,55.6,0,0.1,0.0,0.0,1,5,0,8
