stat_id,player_id,ninety_s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_percent,tkld,tkld_percent,carries,tot_dist,prg_dist,prgc,one_third,cpa,mis,dis,rec,prgr
,,3.3,234,6,50,143,44,5,233,3,3,100.0,0,0.0,127,466.0,185.0,2,6,1,5,10,166,10
,,4.0,182,15,58,96,29,0,182,2,1,50.0,0,0.0,100,432.0,235.0,1,2,0,2,3,119,1
,,3.8,240,1,26,95,121,3,240,8,3,37.5,2,25.0,120,547.0,239.0,2,7,0,6,3,151,14
,,1.8,90,4,23,58,10,0,90,0,0,0.0,0,0.0,39,183.0,52.0,0,0,0,2,4,46,0
,,0.2,16,2,4,3,9,1,16,1,0,0.0,0,0.0,6,18.0,7.0,0,0,0,1,0,6,2
,,4.0,172,107,163,9,0,0,172,0,0,0.0,0,0.0,92,558.0,328.0,0,0,0,1,0,79,0
,,4.0,234,51,145,80,10,4,234,3,0,0.0,3,100.0,125,521.0,212.0,1,0,0,0,1,143,2
,,0.5,20,0,2,11,7,0,20,2,2,100.0,0,0.0,13,77.0,43.0,1,1,0,0,0,17,3
,,4.0,145,111,144,1,0,0,145,0,0,0.0,0,0.0,67,358.0,232.0,0,0,0,0,0,52,0
,,4.0,322,14,71,105,149,7,322,7,1,14.3,4,57.1,173,813.0,461.0,10,8,1,4,3,203,13
,,0.5,35,11,27,7,1,0,35,0,0,0.0,0,0.0,16,47.0,12.0,0,0,0,0,0,22,0
,,2.0,86,66,86,0,0,0,86,0,0,0.0,0,0.0,63,308.0,217.0,0,0,0,0,0,53,0
,,2.1,114,2,13,44,59,12,114,9,6,66.7,3,33.3,77,628.0,227.0,10,5,5,4,6,88,13
,,3.5,126,1,14,52,62,12,126,18,3,16.7,12,66.7,91,543.0,248.0,9,3,5,3,1,103,25
,,4.0,153,108,147,6,0,0,153,0,0,0.0,0,0.0,86,518.0,328.0,0,0,0,0,0,71,0
,,0.2,17,0,0,5,12,1,17,1,0,0.0,0,0.0,7,23.0,5.0,0,0,0,1,1,8,5
,,1.7,58,6,18,27,13,1,58,1,0,0.0,1,100.0,32,158.0,59.0,2,0,1,1,4,37,6
,,1.0,90,5,41,49,1,0,90,0,0,0.0,0,0.0,58,318.0,232.0,2,0,0,1,0,69,0
,,2.5,99,5,13,44,42,7,99,4,2,50.0,2,50.0,53,265.0,119.0,4,1,0,1,3,62,9
,,2.8,145,10,65,73,9,2,145,1,0,0.0,1,100.0,73,341.0,182.0,2,0,0,0,0,101,1
