Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
391,Antonio Sanabria,py PAR,"FW,MF",Torino,28-210,1996,2.4,4,1.67,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
392,Amin Sarr,se SWE,FW,Hellas Verona,23-203,2001,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
393,Nicolò Savona,it ITA,DF,Juventus,21-195,2003,3.5,3,0.85,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
394,Saba Sazonov,ge GEO,DF,Torino,22-242,2002,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
395,Joël Schingtienne,be BEL,DF,Venezia,22-049,2002,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
396,Simone Scuffet,it ITA,GK,Cagliari,28-122,1996,5.0,1,0.20,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
397,Suat Serdar,de GER,MF,Hellas Verona,27-172,1997,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
398,Stephan El Shaarawy,it ITA,DF,Roma,31-339,1992,2.6,8,3.08,7,0,0,1,0,0,2,0.77,2,0,0,0,0,0,Matches
399,Eldor Shomurodov,uz UZB,"FW,DF",Roma,29-093,1995,0.4,3,8.18,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
400,Giovanni Simeone,ar ARG,FW,Napoli,29-087,1995,1.5,3,2.01,2,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
401,Łukasz Skorupski,pl POL,GK,Bologna,33-148,1991,5.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
402,Simon Sohm,ch SUI,MF,Parma,23-172,2001,3.6,7,1.92,6,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
403,Ola Solbakken,no NOR,"MF,FW",Empoli,26-023,1998,2.2,4,1.84,3,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
404,Yann Sommer,ch SUI,GK,Inter,35-288,1988,6.0,1,0.17,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
405,Borna Sosa,hr CRO,DF,Torino,26-253,1998,2.8,2,0.71,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
406,Riccardo Sottil,it ITA,"MF,FW",Fiorentina,25-119,1999,0.7,1,1.43,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
407,Matìas Soulé,ar ARG,"FW,MF",Roma,21-168,2003,3.5,16,4.54,10,4,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
408,Leonardo Spinazzola,it ITA,DF,Napoli,31-189,1993,1.9,4,2.08,2,1,1,0,0,0,1,0.52,1,0,0,0,0,0,Matches
