Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 29_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
288,Hassane Kamara,ci CIV,DF,Udinese,30-209,1994,4,301,75,55.7,3.3,4,75,1,0,,0,1.75,6,5,+1,+0.30,+1.05,4.6,5.7,-1.1,-0.33,+0.88,Matches
289,Yann Karamoh,fr FRA,FW,Torino,26-084,1998,3,37,12,6.9,0.4,0,,0,3,12,3,1.67,0,2,-2,-4.86,-5.58,0.2,0.9,-0.7,-1.71,-1.42,Matches
290,Jesper Karlsson,se SWE,FW,Bologna,26-067,1998,2,81,41,15.0,0.9,1,53,0,1,28,4,0.50,1,3,-2,-2.22,-2.22,1.1,1.8,-0.7,-0.78,-0.75,Matches
291,Jesper Karlström,se SWE,MF,Udinese,29-101,1995,6,466,78,86.3,5.2,5,87,4,1,33,0,1.67,8,9,-1,-0.19,-0.19,6.3,7.7,-1.4,-0.26,+3.30,Matches
292,Lior Kasa,il ISR,MF,Genoa,19-003,2005,1,22,22,4.1,0.2,0,,0,1,22,2,0.00,0,1,-1,-4.09,-3.22,0.3,0.8,-0.5,-2.23,-1.65,Matches
293,Grigoris Kastanos,cy CYP,"MF,FW",Hellas Verona,26-244,1998,5,251,50,46.5,2.8,4,55,0,1,30,1,1.20,4,5,-1,-0.36,-0.36,2.3,4.5,-2.3,-0.81,-0.56,Matches
294,Michael Kayode,it ITA,DF,Fiorentina,20-082,2004,1,18,18,3.3,0.2,0,,0,1,18,5,1.00,1,0,+1,+5.00,+5.17,0.1,0.2,-0.1,-0.34,-0.89,Matches
295,Moise Kean,it ITA,FW,Fiorentina,24-215,2000,6,528,88,97.8,5.9,6,88,5,0,,0,1.17,7,7,0,0.00,0.00,8.7,5.6,+3.1,+0.53,+0.39,Matches
296,Mandela Keita,be BEL,MF,Parma,22-143,2002,1,18,18,4.0,0.2,0,,0,1,18,0,0.00,0,1,-1,-5.00,-5.00,0.1,1.0,-1.0,-4.97,-5.00,Matches
297,Marc-Oliver Kempf,de GER,DF,Como,29-246,1995,4,360,90,66.7,4.0,4,90,4,0,,0,1.75,8,7,+1,+0.25,+1.75,6.0,4.9,+1.2,+0.29,+0.48,Matches
298,Magnus Kofod Andersen,dk DEN,MF,Venezia,25-143,1999,5,268,54,49.6,3.0,3,81,1,2,13,1,0.80,3,4,-1,-0.34,+1.32,2.5,3.5,-0.9,-0.32,+0.37,Matches
299,Sead Kolašinac,ba BIH,DF,Atalanta,31-102,1993,3,258,86,47.8,2.9,3,86,2,0,,0,1.33,5,6,-1,-0.35,-0.35,4.6,2.9,+1.7,+0.59,+0.10,Matches
300,Ismael Konate,ci CIV,FW,Empoli,18-185,2006,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
301,Manu Koné,fr FRA,MF,Roma,23-136,2001,4,174,44,32.2,1.9,2,74,1,2,14,0,2.00,1,2,-1,-0.52,-1.50,3.0,2.6,+0.4,+0.19,-0.06,Matches
302,Teun Koopmeiners,nl NED,MF,Juventus,26-215,1998,4,315,79,58.3,3.5,3,90,3,1,45,0,1.50,3,0,+3,+0.86,-1.54,4.1,1.3,+2.7,+0.78,+0.08,Matches
303,Odilon Kossounou,ci CIV,DF,Atalanta,23-270,2001,2,152,76,28.1,1.7,2,76,1,0,,1,0.50,2,4,-2,-1.18,-1.42,2.9,1.2,+1.7,+1.00,+0.65,Matches
304,Eddy Kouadio,ci CIV,DF,Fiorentina,18-123,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
305,Christian Kouamé,ci CIV,"MF,FW",Fiorentina,26-299,1997,5,284,57,52.6,3.2,3,75,0,2,30,0,1.40,3,1,+2,+0.63,+1.34,4.4,2.2,+2.2,+0.69,+0.35,Matches
306,Mateusz Kowalski,pl POL,MF,Parma,19-071,2005,1,56,56,12.4,0.6,1,56,0,0,,2,0.00,1,0,+1,+1.61,+2.06,1.5,0.9,+0.7,+1.06,+1.41,Matches
307,Thomas Kristensen,dk DEN,DF,Udinese,22-257,2002,3,188,63,34.8,2.1,2,90,2,1,8,0,2.00,3,5,-2,-0.96,-1.21,3.7,3.8,-0.1,-0.03,+1.06,Matches
308,Nikola Krstović,me MNE,FW,Lecce,24-178,2000,6,512,85,94.8,5.7,6,85,3,0,,0,0.83,3,11,-8,-1.41,-1.41,6.3,9.7,-3.4,-0.60,-2.54,Matches
309,Khvicha Kvaratskhelia,ge GEO,"MF,FW",Napoli,23-231,2001,6,443,74,82.0,4.9,6,74,2,0,,0,2.17,10,1,+9,+1.83,+3.68,8.2,3.8,+4.3,+0.88,+1.95,Matches
310,Giorgos Kyriakopoulos,gr GRE,DF,Monza,28-238,1996,6,540,90,100.0,6.0,6,90,6,0,,0,0.50,4,8,-4,-0.67,,2.2,6.7,-4.5,-0.75,,Matches
311,Mathis Lambourde,fr FRA,"DF,MF",Hellas Verona,18-265,2006,2,7,4,1.3,0.1,0,,0,2,4,1,0.00,2,1,+1,+12.86,+13.19,0.4,0.4,0.0,-0.46,+0.05,Matches
312,Gianluca Lapadula,pe PER,"FW,MF",Cagliari,34-236,1990,4,90,23,20.0,1.0,0,,0,4,23,1,0.50,0,0,0,0.00,+1.75,2.3,1.3,+1.1,+1.09,+1.36,Matches
313,Valentino Lazaro,at AUT,DF,Torino,28-190,1996,6,508,85,94.1,5.6,6,85,3,0,,0,1.83,8,5,+3,+0.53,+3.34,7.4,8.4,-1.0,-0.18,+3.53,Matches
314,Darko Lazović,rs SRB,"MF,DF",Hellas Verona,34-015,1990,6,425,71,78.7,4.7,6,71,1,0,,0,1.00,8,9,-1,-0.21,-0.21,5.2,7.8,-2.6,-0.55,-0.16,Matches
315,Manuel Lazzari,it ITA,DF,Lazio,30-306,1993,6,460,77,85.2,5.1,6,77,2,0,,0,1.67,9,7,+2,+0.39,+0.39,7.4,5.0,+2.3,+0.46,-0.36,Matches
316,Enzo Le Fée,fr FRA,MF,Roma,24-240,2000,2,89,45,16.5,1.0,1,60,0,1,29,0,0.50,1,0,+1,+1.01,+0.61,2.1,0.8,+1.3,+1.34,+1.32,Matches
317,Nicola Leali,it ITA,GK,Genoa,31-226,1993,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
318,Rafael Leão,pt POR,FW,Milan,25-112,1999,6,440,73,81.5,4.9,5,84,3,1,21,0,1.83,12,5,+7,+1.43,+1.43,9.2,4.4,+4.8,+0.99,+1.27,Matches
319,Nunzio Lella,it ITA,MF,Venezia,24-064,2000,1,5,5,0.9,0.1,0,,0,1,5,1,0.00,0,0,0,0.00,+1.01,0.1,0.7,-0.6,-8.97,-8.56,Matches
320,Giovanni Leoni,it ITA,DF,Parma,17-284,2006,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
321,Karol Linetty,pl POL,MF,Torino,29-241,1995,5,355,71,65.7,3.9,4,83,3,1,24,1,2.20,6,4,+2,+0.51,+0.51,4.9,7.4,-2.5,-0.62,-0.67,Matches
322,Dailon Livramento,cv CPV,"FW,MF",Hellas Verona,23-149,2001,4,166,42,30.7,1.8,2,64,0,2,19,2,0.75,3,5,-2,-1.08,-1.32,1.2,2.7,-1.5,-0.82,-0.44,Matches
323,Stanislav Lobotka,sk SVK,MF,Napoli,29-310,1994,6,518,86,95.9,5.8,6,86,3,0,,0,2.17,10,4,+6,+1.04,-3.05,8.6,5.7,+2.9,+0.51,-0.66,Matches
324,Manuel Locatelli,it ITA,MF,Juventus,26-266,1998,5,389,78,72.0,4.3,5,78,2,0,,1,1.80,5,0,+5,+1.16,-1.23,3.7,1.3,+2.3,+0.54,-0.75,Matches
325,Ruben Loftus-Cheek,eng ENG,MF,Milan,28-251,1996,6,409,68,75.7,4.5,4,90,4,2,25,0,1.83,10,6,+4,+0.88,-1.18,8.7,5.4,+3.3,+0.72,-0.13,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
326,Ademola Lookman,ng NGA,"MF,FW",Atalanta,26-346,1997,3,216,72,40.0,2.4,2,90,2,1,36,1,1.33,5,4,+1,+0.42,+0.97,5.1,2.4,+2.7,+1.11,+0.95,Matches
327,Sandi Lovrić,si SVN,MF,Udinese,26-186,1998,6,311,52,57.6,3.5,4,65,0,2,27,0,1.67,3,8,-5,-1.45,-3.02,2.0,7.0,-5.0,-1.46,-1.74,Matches
328,Lorenzo Lucca,it ITA,FW,Udinese,24-020,2000,6,383,64,70.9,4.3,5,70,1,1,32,0,1.67,6,4,+2,+0.47,+2.19,3.6,6.2,-2.7,-0.63,+0.31,Matches
329,Lorenzo Lucchesi,it ITA,DF,Venezia,21-144,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
330,Jhon Lucumí,co COL,DF,Bologna,26-096,1998,5,304,61,56.3,3.4,3,74,1,2,42,0,1.20,5,5,0,0.00,+0.76,2.9,5.1,-2.2,-0.66,-1.18,Matches
331,José Luis Palomino,ar ARG,DF,Cagliari,34-269,1990,2,69,35,15.3,0.8,0,,0,2,35,3,0.50,0,0,0,0.00,+1.65,1.4,1.1,+0.3,+0.36,+0.43,Matches
332,Douglas Luiz,br BRA,MF,Juventus,26-144,1998,5,153,31,28.3,1.7,1,66,0,4,22,1,2.20,2,0,+2,+1.18,-0.45,2.6,0.8,+1.7,+1.01,+0.36,Matches
333,Romelu Lukaku,be BEL,FW,Napoli,31-140,1993,4,259,65,48.0,2.9,3,77,0,1,29,0,2.50,7,0,+7,+2.43,+2.43,4.1,1.7,+2.4,+0.83,+0.57,Matches
334,Sebastiano Luperto,it ITA,DF,Cagliari,28-024,1996,5,450,90,100.0,5.0,5,90,5,0,,0,0.40,1,8,-7,-1.40,,6.9,6.9,0.0,0.00,,Matches
335,Zito Luvumbo,ao ANG,"FW,MF",Cagliari,22-205,2002,5,375,75,83.3,4.2,5,75,2,0,,0,0.40,1,8,-7,-1.68,-1.68,4.8,5.5,-0.7,-0.16,-0.96,Matches
336,Charalambos Lykogiannis,gr GRE,DF,Bologna,30-344,1993,4,325,81,60.2,3.6,4,81,2,0,,2,1.25,4,4,0,0.00,+0.84,4.4,5.1,-0.6,-0.18,-0.09,Matches
337,Giangiacomo Magnani,it ITA,DF,Hellas Verona,28-362,1995,5,207,41,38.3,2.3,2,73,1,3,21,1,1.20,5,8,-3,-1.30,-1.84,2.2,4.6,-2.3,-1.02,-0.82,Matches
338,Mike Maignan,fr FRA,GK,Milan,29-089,1995,6,540,90,100.0,6.0,6,90,6,0,,0,1.83,14,7,+7,+1.17,,10.8,6.2,+4.5,+0.76,,Matches
339,Antoine Makoumbou,cg CGO,MF,Cagliari,26-074,1998,2,59,30,13.1,0.7,1,45,0,1,14,2,0.00,0,2,-2,-3.05,-1.90,0.5,0.7,-0.2,-0.36,-0.42,Matches
340,Daniel Maldini,it ITA,MF,Monza,22-355,2001,6,421,70,78.0,4.7,6,70,1,0,,0,0.50,3,5,-2,-0.43,+1.09,1.5,4.0,-2.4,-0.52,+1.05,Matches
341,Youssef Maleh,ma MAR,MF,Empoli,26-039,1998,4,266,67,49.3,3.0,3,79,1,1,30,1,1.50,2,0,+2,+0.68,+0.35,3.4,2.0,+1.4,+0.49,+1.55,Matches
342,Ruslan Malinovskyi,ua UKR,"MF,FW",Genoa,31-149,1993,5,224,45,41.5,2.5,2,60,0,3,35,0,1.00,2,2,0,0.00,+1.71,2.6,3.1,-0.5,-0.21,+0.75,Matches
343,Dennis Man,ro ROU,FW,Parma,26-035,1998,5,386,77,85.8,4.3,5,77,2,0,,0,1.00,7,7,0,0.00,+1.41,7.0,8.0,-0.9,-0.22,-0.34,Matches
344,Gianluca Mancini,it ITA,DF,Roma,28-166,1996,6,507,85,93.9,5.6,6,85,5,0,,0,1.50,5,4,+1,+0.18,-5.28,8.1,7.4,+0.7,+0.13,-1.75,Matches
345,Christos Mandas,gr GRE,GK,Lazio,23-013,2001,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
346,Rolando Mandragora,it ITA,MF,Fiorentina,27-093,1997,5,267,53,49.4,3.0,4,64,0,1,13,1,1.20,4,7,-3,-1.01,-2.00,4.7,3.6,+1.0,+0.35,-0.34,Matches
347,Alberto Manzoni,it ITA,MF,Atalanta,19-097,2005,1,6,6,1.1,0.1,0,,0,1,6,2,0.00,0,0,0,0.00,+0.17,1.0,0.2,+0.8,+12.21,+11.80,Matches
348,Alessandro Marcandalli,it ITA,DF,Genoa,22-005,2002,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
349,Filip Marchwiński,pl POL,MF,Lecce,22-264,2002,1,15,15,2.8,0.2,0,,0,1,15,5,0.00,0,0,0,0.00,+1.37,0.4,0.0,+0.4,+2.69,+3.25,Matches
