Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
32,Mattia Bani,it ITA,DF,Genoa,30-295,1993,3.5,0,3,1,33.3,0.86,0.29,0.00,0.00,11.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
33,Antonín Barák,cz CZE,MF,Fiorentina,29-302,1994,0.6,0,2,2,100.0,3.33,3.33,0.00,0.00,25.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
34,Federico Barba,it ITA,DF,Como,31-029,1993,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
35,Nicolò Barella,it ITA,MF,Inter,27-236,1997,3.5,1,4,1,25.0,1.15,0.29,0.25,1.00,20.9,0,0,0,0.2,0.2,0.04,+0.8,+0.8,Matches
36,Davide Bartesaghi,it ITA,DF,Milan,18-276,2005,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
37,Federico Baschirotto,it ITA,DF,Lecce,28-010,1996,6.0,0,3,1,33.3,0.50,0.17,0.00,0.00,11.5,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
38,Daniele Baselli,it ITA,MF,Como,32-202,1992,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
39,Alessandro Bastoni,it ITA,DF,Inter,25-170,1999,4.4,0,2,1,50.0,0.46,0.23,0.00,0.00,15.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
40,Reda Belahyane,fr FRA,MF,Hellas Verona,20-121,2004,5.8,0,2,0,0.0,0.35,0.00,0.00,,25.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
41,Raoul Bellanova,it ITA,DF,Torino,24-136,2000,1.0,0,1,0,0.0,1.03,0.00,0.00,,8.4,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
42,Raoul Bellanova,it ITA,DF,Atalanta,24-136,2000,3.3,0,3,1,33.3,0.90,0.30,0.00,0.00,16.4,0,0,0,0.3,0.3,0.10,-0.3,-0.3,Matches
43,Andrea Belotti,it ITA,FW,Como,30-285,1993,2.2,1,7,1,14.3,3.15,0.45,0.14,1.00,14.1,0,0,0,1.0,1.0,0.15,0.0,0.0,Matches
44,Lucas Beltrán,ar ARG,"MF,FW",Fiorentina,23-185,2001,1.0,0,4,0,0.0,4.04,0.00,0.00,,15.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
45,Ismaël Bennacer,dz ALG,MF,Milan,26-304,1997,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
46,Medon Berisha,al ALB,"MF,FW",Lecce,20-345,2003,0.9,0,5,3,60.0,5.42,3.25,0.00,0.00,29.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
47,Adrian Bernabe,es ESP,MF,Parma,23-127,2001,4.9,0,7,0,0.0,1.44,0.00,0.00,,31.7,2,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
48,Sam Beukema,nl NED,DF,Bologna,25-318,1998,5.5,0,3,1,33.3,0.55,0.18,0.00,0.00,16.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
49,Alessandro Bianco,it ITA,MF,Monza,21-365,2002,2.1,0,2,0,0.0,0.94,0.00,0.00,,20.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
50,Alessandro Bianco,it ITA,MF,Fiorentina,21-365,2002,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
51,Jaka Bijol,si SVN,DF,Udinese,25-238,1999,6.0,0,2,1,50.0,0.33,0.17,0.00,0.00,10.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
52,Cristiano Biraghi,it ITA,DF,Fiorentina,32-029,1992,4.5,1,4,2,50.0,0.89,0.44,0.25,0.50,24.5,2,0,0,0.1,0.1,0.03,+0.9,+0.9,Matches
53,Samuele Birindelli,it ITA,DF,Monza,25-073,1999,1.9,0,1,1,100.0,0.52,0.52,0.00,0.00,17.3,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
54,Emil Bohinen,no NOR,MF,Genoa,25-202,1999,0.8,0,2,0,0.0,2.37,0.00,0.00,,28.6,1,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
55,Warren Bondo,fr FRA,MF,Monza,21-015,2003,5.1,0,2,0,0.0,0.39,0.00,0.00,,25.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
56,Ange-Yoan Bonny,fr FRA,FW,Parma,20-341,2003,4.3,2,10,4,40.0,2.31,0.92,0.10,0.25,15.3,0,1,1,1.9,1.1,0.11,+0.1,-0.1,Matches
57,Edoardo Bove,it ITA,MF,Fiorentina,22-137,2002,3.2,0,4,1,25.0,1.26,0.31,0.00,0.00,13.2,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
58,Domagoj Bradarić,hr CRO,MF,Hellas Verona,24-295,1999,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
59,Matthias Braunöder,at AUT,MF,Como,22-187,2002,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
60,Iker Bravo,es ESP,MF,Udinese,19-261,2005,0.5,0,1,0,0.0,2.14,0.00,0.00,,8.0,0,0,0,0.4,0.4,0.41,-0.4,-0.4,Matches
61,Gleison Bremer,br BRA,DF,Juventus,27-196,1997,6.0,0,3,0,0.0,0.50,0.00,0.00,,18.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
62,Brenner,br BRA,"MF,FW",Udinese,24-258,2000,3.6,1,7,4,57.1,1.92,1.10,0.14,0.25,19.8,0,0,0,0.6,0.6,0.09,+0.4,+0.4,Matches
63,Marco Brescianini,it ITA,MF,Atalanta,24-254,2000,4.1,2,5,3,60.0,1.23,0.74,0.40,0.67,13.4,0,0,0,0.5,0.5,0.10,+1.5,+1.5,Matches
64,Alessandro Buongiorno,it ITA,DF,Napoli,25-116,1999,5.0,1,3,1,33.3,0.60,0.20,0.33,1.00,9.7,0,0,0,0.6,0.6,0.21,+0.4,+0.4,Matches
65,Gianluca Busio,us USA,MF,Venezia,22-125,2002,2.8,1,5,1,20.0,1.76,0.35,0.20,1.00,17.1,0,0,0,0.3,0.3,0.06,+0.7,+0.7,Matches
66,Liberato Cacace,nz NZL,"DF,MF",Empoli,24-003,2000,0.7,0,1,0,0.0,1.36,0.00,0.00,,13.3,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
67,Davide Calabria,it ITA,DF,Milan,27-299,1996,1.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
68,Luca Caldirola,it ITA,DF,Monza,33-242,1991,2.1,0,1,0,0.0,0.47,0.00,0.00,,10.5,0,0,0,0.2,0.2,0.17,-0.2,-0.2,Matches
69,Hakan Çalhanoğlu,tr TUR,MF,Inter,30-235,1994,4.1,1,4,2,50.0,0.98,0.49,0.00,0.00,32.7,0,1,1,0.9,0.1,0.02,+0.1,-0.1,Matches
70,Drissa Camara,ci CIV,FW,Parma,22-225,2002,0.3,0,2,0,0.0,6.21,0.00,0.00,,19.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
71,Nicolò Cambiaghi,it ITA,FW,Bologna,23-277,2000,0.2,0,1,0,0.0,6.00,0.00,0.00,,13.9,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
72,Andrea Cambiaso,it ITA,"DF,FW",Juventus,24-223,2000,5.1,1,4,1,25.0,0.78,0.20,0.25,1.00,25.3,0,0,0,0.2,0.2,0.04,+0.8,+0.8,Matches
73,Matteo Cancellieri,it ITA,"FW,MF",Parma,22-231,2002,1.7,1,3,1,33.3,1.73,0.58,0.33,1.00,11.9,0,0,0,0.8,0.8,0.27,+0.2,+0.2,Matches
