Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
22,Aymen Barkok,ma MAR,MF,Mainz 05,26-132,1998,4,0,73,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,5,6,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.00,0.17,Matches
23,Maximilian Bauer,de GER,DF,Augsburg,24-234,2000,4,3,250,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,7,4,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
24,Oliver Baumann,de GER,GK,Hoffenheim,34-120,1990,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
25,Christoph Baumgartner,at AUT,"MF,DF",RB Leipzig,25-060,1999,5,1,106,1.2,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,2,0,9,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.26,0.26,0.26,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
26,Adrian Beck,de GER,FW,Heidenheim,27-113,1997,4,3,208,2.3,1,1,2,1,0,0,0,0,0.5,0.5,0.2,0.7,2,5,5,0.43,0.43,0.87,0.43,0.87,0.21,0.09,0.30,0.21,0.30,Matches
27,Timo Becker,de GER,DF,Holstein Kiel,27-189,1997,5,5,450,5.0,0,0,0,0,0,0,0,0,0.8,0.8,0.0,0.9,4,7,10,0.00,0.00,0.00,0.00,0.00,0.16,0.01,0.17,0.16,0.17,Matches
28,Kevin Behrens,de GER,FW,Wolfsburg,33-240,1991,3,0,45,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,0,0,6,0.00,0.00,0.00,0.00,0.00,0.91,0.00,0.91,0.91,0.91,Matches
29,Maximilian Beier,de GER,"FW,MF",Dortmund,21-349,2002,4,1,138,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.3,1,2,9,0.00,0.00,0.00,0.00,0.00,0.09,0.10,0.19,0.09,0.19,Matches
30,Stefan Bell,de GER,DF,Mainz 05,33-037,1991,3,1,164,1.8,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,3,4,1,0.00,0.00,0.00,0.00,0.00,0.20,0.01,0.21,0.20,0.21,Matches
31,Jeanuël Belocian,fr FRA,DF,Leverkusen,19-226,2005,2,1,46,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
32,László Bénes,sk SVK,"MF,FW",Union Berlin,27-021,1997,5,1,138,1.5,1,0,1,1,0,0,1,0,0.3,0.3,0.2,0.5,1,4,7,0.65,0.00,0.65,0.65,0.65,0.19,0.11,0.30,0.19,0.30,Matches
33,Ramy Bensebaini,dz ALG,"DF,FW",Dortmund,29-167,1995,5,1,173,1.9,0,1,1,0,0,0,2,0,0.1,0.1,0.5,0.6,3,6,8,0.00,0.52,0.52,0.00,0.52,0.06,0.27,0.33,0.06,0.33,Matches
34,Mergim Berisha,de GER,FW,Hoffenheim,26-142,1998,5,3,220,2.4,1,1,2,1,0,0,0,0,0.8,0.8,0.5,1.3,2,5,7,0.41,0.41,0.82,0.41,0.82,0.32,0.20,0.52,0.32,0.52,Matches
35,Alexander Bernhardsson,se SWE,"DF,FW",Holstein Kiel,26-022,1998,2,2,152,1.7,1,0,1,1,0,0,1,0,0.2,0.2,0.2,0.4,2,3,5,0.59,0.00,0.59,0.59,0.59,0.12,0.10,0.22,0.12,0.22,Matches
36,Matúš Bero,sk SVK,MF,Bochum,29-024,1995,5,5,427,4.7,2,0,2,2,0,0,2,0,0.3,0.3,0.2,0.5,5,15,12,0.42,0.00,0.42,0.42,0.42,0.06,0.05,0.11,0.06,0.11,Matches
37,El Bilal Touré,ml MLI,"FW,MF",Stuttgart,22-363,2001,4,0,66,0.7,1,0,1,1,0,0,0,0,1.3,1.3,0.1,1.4,2,1,5,1.36,0.00,1.36,1.36,1.36,1.78,0.17,1.95,1.78,1.95,Matches
38,Tom Bischof,de GER,MF,Hoffenheim,19-094,2005,3,2,188,2.1,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,5,10,7,0.00,0.00,0.00,0.00,0.00,0.06,0.08,0.14,0.06,0.14,Matches
39,Leonardo Bittencourt,de GER,MF,Werder Bremen,30-286,1993,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
40,Myron Boadu,nl NED,"FW,MF",Bochum,23-260,2001,5,3,260,2.9,1,1,2,1,0,0,0,0,1.0,1.0,0.3,1.3,3,3,15,0.35,0.35,0.69,0.35,0.69,0.35,0.11,0.46,0.35,0.46,Matches
41,Sacha Boey,fr FRA,DF,Bayern Munich,24-017,2000,2,2,127,1.4,0,1,1,0,0,0,1,0,0.0,0.0,0.9,1.0,4,0,10,0.00,0.71,0.71,0.00,0.71,0.03,0.66,0.69,0.03,0.69,Matches
42,Victor Boniface,ng NGA,FW,Leverkusen,23-282,2000,5,4,342,3.8,3,1,4,3,0,0,1,0,2.5,2.5,0.7,3.2,9,6,19,0.79,0.26,1.05,0.79,1.05,0.66,0.19,0.85,0.66,0.85,Matches
43,Sebastiaan Bornauw,be BEL,DF,Wolfsburg,25-192,1999,5,5,450,5.0,2,0,2,2,0,0,1,0,0.6,0.6,0.0,0.6,0,7,0,0.40,0.00,0.40,0.40,0.40,0.11,0.00,0.11,0.11,0.11,Matches
44,Carlo Boukhalfa,ma MAR,MF,St. Pauli,25-150,1999,5,3,237,2.6,1,0,1,1,0,0,0,0,0.3,0.3,0.1,0.4,2,6,7,0.38,0.00,0.38,0.38,0.38,0.13,0.04,0.17,0.13,0.17,Matches
45,Julian Brandt,de GER,MF,Dortmund,28-151,1996,5,5,382,4.2,0,2,2,0,0,0,0,0,0.8,0.8,0.8,1.6,15,30,38,0.00,0.47,0.47,0.00,0.47,0.18,0.18,0.37,0.18,0.37,Matches
46,Tim Breithaupt,de GER,MF,Augsburg,22-236,2002,2,2,120,1.3,0,1,1,0,0,0,0,0,0.1,0.1,0.4,0.4,1,10,1,0.00,0.75,0.75,0.00,0.75,0.04,0.29,0.33,0.04,0.33,Matches
47,Maximilian Breunig,de GER,"FW,MF",Heidenheim,24-047,2000,5,2,217,2.4,2,0,2,1,1,1,0,0,2.5,1.7,0.2,1.8,2,5,7,0.83,0.00,0.83,0.41,0.41,1.02,0.07,1.09,0.69,0.76,Matches
48,Moritz Broschinski,de GER,FW,Bochum,24-007,2000,5,3,251,2.8,0,0,0,0,0,0,0,0,0.6,0.6,0.0,0.6,5,3,21,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.21,0.21,0.21,Matches
49,Jacob Bruun Larsen,dk DEN,"DF,FW",Hoffenheim,26-011,1998,5,0,92,1.0,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,7,4,18,0.00,0.00,0.00,0.00,0.00,0.32,0.01,0.34,0.32,0.34,Matches
50,Marius Bülter,de GER,FW,Hoffenheim,31-185,1993,5,5,357,4.0,3,1,4,3,0,0,0,0,1.4,1.4,0.9,2.3,12,5,28,0.76,0.25,1.01,0.76,1.01,0.35,0.22,0.58,0.35,0.58,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
51,Jonathan Burkardt,de GER,"FW,MF",Mainz 05,24-081,2000,5,5,447,5.0,3,0,3,3,0,0,0,0,2.3,2.3,0.1,2.5,5,8,22,0.60,0.00,0.60,0.60,0.60,0.47,0.03,0.50,0.47,0.50,Matches
