Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
31,Jeanuël Belocian,fr FRA,DF,Leverkusen,19-226,2005,0.5,36,2,9,16,11,0,36,1,1,100.0,0,0.0,13,64,32,0,2,0,1,0,27,1,Matches
32,László Bénes,sk SVK,"MF,FW",Union Berlin,27-021,1997,1.5,84,0,18,42,26,2,84,0,0,,0,,45,185,72,1,1,0,5,2,42,7,Matches
33,Ramy Bensebaini,dz ALG,"DF,FW",Dortmund,29-167,1995,1.9,106,6,34,50,23,7,106,1,0,0.0,0,0.0,30,150,69,3,3,0,2,2,55,8,Matches
34,Mergim Berisha,de GER,FW,Hoffenheim,26-142,1998,2.4,48,2,6,15,27,8,48,4,2,50.0,2,50.0,32,108,61,2,2,1,2,2,39,7,Matches
35,Alexander Bernhardsson,se SWE,"DF,FW",Holstein Kiel,26-022,1998,1.7,57,1,16,25,19,3,57,7,3,42.9,4,57.1,24,148,82,2,3,0,5,3,35,5,Matches
36,Matúš Bero,sk SVK,MF,Bochum,29-024,1995,4.7,211,13,32,112,69,7,211,6,1,16.7,5,83.3,97,436,198,5,5,1,9,5,109,12,Matches
37,El Bilal Touré,ml MLI,"FW,MF",Stuttgart,22-363,2001,0.7,34,0,0,8,26,8,34,1,1,100.0,0,0.0,18,62,19,2,1,2,5,0,27,5,Matches
38,Tom Bischof,de GER,MF,Hoffenheim,19-094,2005,2.1,114,10,28,50,37,2,114,2,1,50.0,1,50.0,39,184,96,5,2,1,1,0,44,7,Matches
39,Leonardo Bittencourt,de GER,MF,Werder Bremen,30-286,1993,0.0,3,0,0,2,1,0,3,0,0,,0,,1,14,8,1,0,0,0,0,2,0,Matches
40,Myron Boadu,nl NED,"FW,MF",Bochum,23-260,2001,2.9,49,4,5,17,27,6,49,1,1,100.0,0,0.0,38,226,98,3,2,1,6,3,37,15,Matches
