Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 29_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
294,João Palhinha,pt POR,MF,Bayern Munich,29-083,1995,3,128,43,28.4,1.4,1,90,1,2,19,2,3.00,7,1,+6,+4.22,+2.26,4.0,1.2,+2.9,+2.03,+0.53,Matches
295,Mats Pannewig,de GER,MF,Bochum,19-338,2004,3,36,12,8.0,0.4,0,,0,3,12,2,0.33,0,1,-1,-2.50,-1.41,0.3,0.5,-0.2,-0.50,+1.25,Matches
296,Felix Passlack,de GER,DF,Bochum,26-124,1998,5,450,90,100.0,5.0,5,90,5,0,,0,0.20,5,11,-6,-1.20,,4.5,12.8,-8.3,-1.65,,Matches
297,Aleksandar Pavlovic,de GER,MF,Bayern Munich,20-150,2004,4,322,81,71.6,3.6,4,81,2,0,,1,2.50,10,3,+7,+1.96,-2.26,7.5,2.1,+5.4,+1.50,-0.53,Matches
298,Mads Pedersen,dk DEN,DF,Augsburg,28-029,1996,3,165,55,36.7,1.8,2,68,1,1,30,0,1.33,4,5,-1,-0.55,+1.35,2.9,2.9,0.0,0.00,+0.37,Matches
299,Jordan Pefok,us USA,FW,Union Berlin,28-157,1996,5,336,67,74.7,3.7,4,75,1,1,35,0,1.60,4,1,+3,+0.80,+2.38,3.7,3.3,+0.4,+0.10,+0.48,Matches
300,Daniel Peretz,il ISR,GK,Bayern Munich,24-082,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
301,Pavao Pervan,at AUT,GK,Wolfsburg,36-322,1987,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
302,Luca Philipp,de GER,GK,Hoffenheim,23-307,2000,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
303,Benedikt Pichler,at AUT,FW,Holstein Kiel,27-072,1997,5,413,83,91.8,4.6,5,83,4,0,,0,0.20,5,16,-11,-2.40,-4.83,5.1,9.4,-4.3,-0.93,+0.14,Matches
304,Amos Pieper,de GER,DF,Werder Bremen,26-257,1998,2,111,56,24.7,1.2,1,78,0,1,33,1,1.50,0,5,-5,-4.05,-4.59,0.7,2.6,-2.0,-1.58,-1.98,Matches
305,Marvin Pieringer,de GER,FW,Heidenheim,24-362,1999,5,343,69,76.2,3.8,4,79,1,1,29,0,1.80,8,6,+2,+0.52,-0.32,5.6,4.2,+1.4,+0.37,+0.44,Matches
306,Alassane Pléa,fr FRA,FW,Gladbach,31-204,1993,5,274,55,60.9,3.0,4,64,0,1,20,0,1.20,4,4,0,0.00,+1.02,5.3,3.7,+1.7,+0.55,+1.52,Matches
307,Finn Porath,de GER,"DF,MF",Holstein Kiel,27-220,1997,5,338,68,75.1,3.8,4,73,1,1,45,0,0.20,6,13,-7,-1.86,+0.55,4.0,7.1,-3.1,-0.81,+0.50,Matches
308,Yussuf Poulsen,dk DEN,FW,RB Leipzig,30-107,1994,5,89,18,19.8,1.0,1,61,0,4,7,0,2.20,0,0,0,0.00,-1.50,1.0,2.0,-1.0,-0.98,-1.52,Matches
309,Alexander Prass,at AUT,DF,Hoffenheim,23-127,2001,5,354,71,78.7,3.9,5,71,0,0,,0,0.60,9,12,-3,-0.76,+2.05,6.3,8.8,-2.4,-0.62,+1.71,Matches
310,Grischa Prömel,de GER,MF,Hoffenheim,29-265,1995,2,174,87,38.7,1.9,2,87,1,0,,0,1.50,4,5,-1,-0.52,+1.11,4.4,4.1,+0.3,+0.16,+1.87,Matches
311,Tymoteusz Puchacz,pl POL,DF,Holstein Kiel,25-251,1999,4,148,37,32.9,1.6,2,45,0,2,29,1,0.25,2,6,-4,-2.43,-0.64,2.2,3.9,-1.7,-1.02,-0.11,Matches
312,Leopold Querfeld,at AUT,DF,Union Berlin,20-285,2003,5,80,16,17.8,0.9,0,,0,5,16,0,1.60,0,1,-1,-1.13,-1.61,1.0,0.7,+0.3,+0.32,+0.41,Matches
313,Grant Ranos,am ARM,FW,Gladbach,21-072,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
314,David Raum,de GER,DF,RB Leipzig,26-161,1998,5,417,83,92.7,4.6,5,83,3,0,,0,2.20,8,2,+6,+1.29,+1.29,6.7,6.1,+0.6,+0.13,-1.45,Matches
315,Rocco Reitz,de GER,MF,Gladbach,22-124,2002,5,212,42,47.1,2.4,2,74,0,3,21,0,1.20,3,3,0,0.00,+0.76,4.1,4.4,-0.4,-0.16,-0.21,Matches
