Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
36,Matúš Bero,sk SVK,MF,Bochum,29-024,1995,4.7,14,2.95,10,3,0,0,1,0,1,0.21,1,0,0,0,0,0,Matches
37,El Bilal Touré,ml MLI,"FW,MF",Stuttgart,22-363,2001,0.7,6,8.18,4,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
38,Tom Bischof,de GER,MF,Hoffenheim,19-094,2005,2.1,6,2.87,3,3,0,0,0,0,1,0.48,1,0,0,0,0,0,Matches
39,Leonardo Bittencourt,de GER,MF,Werder Bremen,30-286,1993,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
40,Myron Boadu,nl NED,"FW,MF",Bochum,23-260,2001,2.9,7,2.43,6,0,0,0,1,0,1,0.35,1,0,0,0,0,0,Matches
41,Sacha Boey,fr FRA,DF,Bayern Munich,24-017,2000,1.4,3,2.13,1,0,2,0,0,0,2,1.42,1,0,1,0,0,0,Matches
42,Victor Boniface,ng NGA,FW,Leverkusen,23-282,2000,3.8,14,3.70,8,0,3,3,0,0,3,0.79,1,0,2,0,0,0,Matches
43,Sebastiaan Bornauw,be BEL,DF,Wolfsburg,25-192,1999,5.0,2,0.40,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
44,Carlo Boukhalfa,ma MAR,MF,St. Pauli,25-150,1999,2.6,7,2.66,5,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
45,Julian Brandt,de GER,MF,Dortmund,28-151,1996,4.2,15,3.53,11,3,0,1,0,0,2,0.47,2,0,0,0,0,0,Matches
46,Tim Breithaupt,de GER,MF,Augsburg,22-236,2002,1.3,3,2.25,3,0,0,0,0,0,2,1.50,2,0,0,0,0,0,Matches
47,Maximilian Breunig,de GER,"FW,MF",Heidenheim,24-047,2000,2.4,4,1.66,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
48,Moritz Broschinski,de GER,FW,Bochum,24-007,2000,2.8,6,2.15,3,0,0,3,0,0,0,0.00,0,0,0,0,0,0,Matches
49,Jacob Bruun Larsen,dk DEN,"DF,FW",Hoffenheim,26-011,1998,1.0,5,4.89,0,1,1,3,0,0,1,0.98,0,0,0,1,0,0,Matches
50,Marius Bülter,de GER,FW,Hoffenheim,31-185,1993,4.0,13,3.28,6,0,3,2,1,1,5,1.26,2,0,2,0,1,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
51,Jonathan Burkardt,de GER,"FW,MF",Mainz 05,24-081,2000,5.0,12,2.42,8,0,0,1,3,0,2,0.40,1,0,0,0,1,0,Matches
52,Marnon Busch,de GER,DF,Heidenheim,29-297,1994,1.7,4,2.40,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
53,Anthony Caci,fr FRA,DF,Mainz 05,27-091,1997,4.2,12,2.83,9,3,0,0,0,0,1,0.24,1,0,0,0,0,0,Matches
54,Emre Can,de GER,"MF,DF",Dortmund,30-262,1994,3.2,3,0.93,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
55,Julian Chabot,de GER,DF,Stuttgart,26-231,1998,4.8,4,0.84,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
56,El Chadaille Bitshiabu,fr FRA,DF,RB Leipzig,19-137,2005,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
57,Fares Chaïbi,dz ALG,"FW,MF",Eint Frankfurt,21-307,2002,3.1,17,5.41,11,3,0,2,0,1,1,0.32,0,1,0,0,0,0,Matches
58,Anrie Chase,jp JPN,DF,Stuttgart,20-190,2004,2.5,1,0.40,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
59,Fabio Chiarodia,it ITA,DF,Gladbach,19-117,2005,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
60,Nnamdi Collins,de GER,DF,Eint Frankfurt,20-264,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
61,Kingsley Coman,fr FRA,"FW,MF",Bayern Munich,28-109,1996,2.3,15,6.59,10,0,2,3,0,0,1,0.44,1,0,0,0,0,0,Matches
62,Sirlord Conteh,de GER,"FW,DF",Heidenheim,28-083,1996,1.4,7,5.00,6,0,0,0,1,0,3,2.14,3,0,0,0,0,0,Matches
63,Yan Couto,br BRA,DF,Dortmund,22-119,2002,1.6,7,4.34,7,0,0,0,0,0,1,0.62,1,0,0,0,0,0,Matches
64,Tomáš Čvančara,cz CZE,"FW,MF",Gladbach,24-048,2000,0.9,3,3.42,3,0,0,0,0,0,1,1.14,1,0,0,0,0,0,Matches
65,Mahmoud Dahoud,de GER,MF,Eint Frankfurt,28-273,1996,0.6,2,3.53,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
66,Bence Dárdai,de GER,FW,Wolfsburg,18-250,2006,0.1,2,16.36,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
67,Lukas Daschner,de GER,"MF,FW",Bochum,25-365,1998,2.0,3,1.53,1,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
68,Alphonso Davies,ca CAN,DF,Bayern Munich,23-333,2000,3.3,12,3.64,9,0,2,1,0,0,1,0.30,0,0,0,1,0,0,Matches
69,Olivier Deman,be BEL,DF,Werder Bremen,24-177,2000,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
70,Ermedin Demirović,ba BIH,FW,Stuttgart,26-189,1998,3.6,7,1.96,5,0,0,1,1,0,1,0.28,1,0,0,0,0,0,Matches
71,Justin Diehl,de GER,DF,Stuttgart,19-308,2004,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
72,Eric Dier,eng ENG,DF,Bayern Munich,30-259,1994,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
73,Junior Dina Ebimbe,fr FRA,"FW,MF",Eint Frankfurt,23-314,2000,1.0,2,2.05,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
74,Eren Dinkçi,de GER,MF,Freiburg,22-292,2001,2.1,7,3.35,6,0,0,1,0,0,1,0.48,1,0,0,0,0,0,Matches
75,Ritsu Doan,jp JPN,FW,Freiburg,26-106,1998,4.6,13,2.85,5,0,2,5,1,0,1,0.22,0,0,0,1,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
76,Danilho Doekhi,nl NED,DF,Union Berlin,26-092,1998,5.0,3,0.60,1,0,0,0,1,1,0,0.00,0,0,0,0,0,0,Matches
77,Niklas Dorsch,de GER,MF,Augsburg,26-259,1998,0.4,1,2.81,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
78,Niklas Dorsch,de GER,MF,Heidenheim,26-259,1998,1.4,4,2.95,2,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
79,Patrick Drewes,de GER,GK,Bochum,31-239,1993,5.0,1,0.20,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
80,Tim Drexler,de GER,DF,Hoffenheim,19-208,2005,3.5,6,1.69,6,0,0,0,0,0,1,0.28,1,0,0,0,0,0,Matches
81,Marvin Ducksch,de GER,FW,Werder Bremen,30-207,1994,4.1,11,2.70,7,4,0,0,0,0,2,0.49,2,0,0,0,0,0,Matches
82,Julien Duranville,be BEL,FW,Dortmund,18-148,2006,0.3,1,3.60,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
83,Adam Dźwigała,pl POL,"DF,MF",St. Pauli,29-005,1995,1.0,2,2.02,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
84,Johannes Eggestein,de GER,FW,St. Pauli,26-145,1998,4.4,10,2.26,10,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
85,Maximilian Eggestein,de GER,MF,Freiburg,27-297,1996,4.7,5,1.07,4,0,0,0,1,0,1,0.21,1,0,0,0,0,0,Matches
86,Hugo Ekitike,fr FRA,FW,Eint Frankfurt,22-102,2002,3.2,19,5.90,11,0,3,3,2,0,3,0.93,2,0,1,0,0,0,Matches
87,Nico Elvedi,ch SUI,DF,Gladbach,28-000,1996,5.0,3,0.60,2,0,0,1,0,0,1,0.20,0,0,0,1,0,0,Matches
88,Arne Engels,be BEL,"MF,FW",Augsburg,21-022,2003,0.9,1,1.14,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
89,Patrick Erras,de GER,DF,Holstein Kiel,29-253,1995,2.5,2,0.80,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
90,Samuel Essende,cd COD,FW,Augsburg,26-251,1998,3.6,10,2.76,4,1,0,3,2,0,1,0.28,1,0,0,0,0,0,Matches
91,Kilian Fischer,de GER,DF,Wolfsburg,23-354,2000,5.0,4,0.81,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
92,Jonas Föhrenbach,de GER,"DF,FW",Heidenheim,28-248,1996,5.0,9,1.80,8,0,0,1,0,0,2,0.40,2,0,0,0,0,0,Matches
93,Marco Friedl,at AUT,DF,Werder Bremen,26-198,1998,2.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
94,Marvin Friedrich,de GER,FW,Gladbach,28-292,1995,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
95,Jeremie Frimpong,nl NED,DF,Leverkusen,23-295,2000,3.7,8,2.15,5,0,2,0,0,1,3,0.81,1,0,1,0,0,1,Matches
96,Chris Führich,de GER,"FW,MF",Stuttgart,26-265,1998,1.9,11,5.93,9,0,0,2,0,0,2,1.08,1,0,0,1,0,0,Matches
97,Aleix García,es ESP,MF,Leverkusen,27-094,1997,2.1,13,6.22,8,4,0,1,0,0,2,0.96,0,1,0,1,0,0,Matches
98,Lutsharel Geertruida,nl NED,DF,RB Leipzig,24-074,2000,3.0,2,0.67,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
99,Dennis Geiger,de GER,MF,Hoffenheim,26-112,1998,1.9,5,2.65,4,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
100,Valentin Gendrey,fr FRA,"DF,FW",Hoffenheim,24-101,2000,1.3,4,3.00,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
101,Yannick Gerhardt,de GER,"FW,MF",Wolfsburg,30-201,1994,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
102,Max Geschwill,de GER,DF,Holstein Kiel,23-085,2001,2.9,4,1.40,2,1,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
103,Dimitris Giannoulis,gr GRE,DF,Augsburg,28-349,1995,4.8,8,1.67,6,1,0,0,1,0,1,0.21,1,0,0,0,0,0,Matches
104,Armin Gigovic,ba BIH,MF,Holstein Kiel,22-177,2002,2.0,6,2.97,4,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
105,Benedikt Gimber,de GER,DF,Heidenheim,27-224,1997,5.0,2,0.40,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
106,Matthias Ginter,de GER,DF,Freiburg,30-255,1994,2.7,4,1.48,2,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
107,Jamie Gittens,eng ENG,"FW,DF",Dortmund,20-053,2004,2.5,11,4.38,5,0,5,1,0,0,3,1.19,1,0,2,0,0,0,Matches
108,Serge Gnabry,de GER,"FW,MF",Bayern Munich,29-078,1995,3.6,12,3.34,6,0,3,2,0,1,3,0.84,1,0,1,0,0,1,Matches
109,Leon Goretzka,de GER,DF,Bayern Munich,29-237,1995,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
