Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
34,Yaser Asprilla,COL,"MF,FW",Girona,20,2003,2.8,0,3,0,0.0,1.08,0.0,0.0,0.0,21.3,0,0,0,0.5,0.5,0.18,-0.5,-0.5
35,Ezequiel Ávila,ARG,FW,Betis,30,1994,2.2,0,3,2,66.7,1.36,0.91,0.0,0.0,13.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1
36,César Azpilicueta,ESP,DF,Atlético Madrid,35,1989,4.3,0,3,1,33.3,0.69,0.23,0.0,0.0,11.5,0,0,0,0.2,0.2,0.07,-0.2,-0.2
37,Loïc Bade,FRA,DF,Sevilla,24,2000,5.2,0,4,1,25.0,0.76,0.19,0.0,0.0,9.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2
38,Alex Baena,ESP,MF,Villarreal,23,2001,5.1,0,11,3,27.3,2.14,0.58,0.0,0.0,18.8,2,0,0,0.9,0.9,0.09,-0.9,-0.9
39,Eric Bailly,CIV,DF,Villarreal,30,1994,4.2,0,1,0,0.0,0.24,0.0,0.0,0.0,10.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1
40,Cédric Bakambu,COD,FW,Betis,33,1991,1.2,0,4,2,50.0,3.3,1.65,0.0,0.0,15.3,0,0,0,0.3,0.3,0.06,-0.3,-0.3
41,Alejandro Balde,ESP,DF,Barcelona,20,2003,5.2,0,4,1,25.0,0.77,0.19,0.0,0.0,22.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2
42,Iván Balliu,ALB,DF,Rayo Vallecano,32,1992,4.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
43,Jonathan Bamba,CIV,"FW,MF",Celta Vigo,28,1996,2.8,0,4,1,25.0,1.43,0.36,0.0,0.0,16.3,0,0,0,0.3,0.3,0.07,-0.3,-0.3
44,Valentín Barco,ARG,DF,Sevilla,20,2004,2.8,0,7,0,0.0,2.52,0.0,0.0,0.0,27.8,2,0,0,0.3,0.3,0.04,-0.3,-0.3
45,Enzo Barrenechea,ARG,MF,Valencia,23,2001,2.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
46,Ander Barrenetxea,ESP,"MF,FW",Real Sociedad,22,2001,2.8,0,4,1,25.0,1.44,0.36,0.0,0.0,16.2,0,0,0,0.3,0.3,0.08,-0.3,-0.3
47,Pablo Barrios,ESP,MF,Atlético Madrid,21,2003,3.5,0,6,1,16.7,1.71,0.29,0.0,0.0,26.6,0,0,0,0.1,0.1,0.02,-0.1,-0.1
48,Thierno Barry,FRA,FW,Villarreal,21,2002,4.0,1,15,4,26.7,3.79,1.01,0.07,0.25,13.8,0,0,0,2.1,2.1,0.14,-1.1,-1.1
49,Marc Bartra,ESP,DF,Betis,33,1991,1.9,1,1,1,100.0,0.51,0.51,1.0,1.0,6.5,0,0,0,0.2,0.2,0.17,0.8,0.8
50,Aboubacar Bassinga,CIV,MF,Las Palmas,19,2005,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
51,Augusto Batalla,ARG,GK,Rayo Vallecano,28,1996,4.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
52,Sheraldo Becker,SUR,"FW,MF",Real Sociedad,29,1995,4.8,0,11,6,54.5,2.27,1.24,0.0,0.0,17.9,0,0,0,0.8,0.8,0.07,-0.8,-0.8
53,Donny van de Beek,NED,"MF,FW",Girona,27,1997,1.3,0,1,0,0.0,0.74,0.0,0.0,0.0,11.9,0,0,0,0.1,0.1,0.06,-0.1,-0.1
54,Héctor Bellerín,ESP,DF,Betis,29,1995,3.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
55,Jude Bellingham,ENG,MF,Real Madrid,21,2003,3.9,0,6,3,50.0,1.54,0.77,0.0,0.0,18.3,0,0,0,0.3,0.3,0.05,-0.3,-0.3
56,Fran Beltrán,ESP,MF,Celta Vigo,25,1999,4.6,1,5,1,20.0,1.09,0.22,0.2,1.0,21.5,0,0,0,0.2,0.2,0.04,0.8,0.8
57,Carlos Benavídez,URU,MF,Alavés,26,1998,2.4,1,2,1,50.0,0.84,0.42,0.5,1.0,26.3,0,0,0,0.1,0.1,0.04,0.9,0.9
58,Iker Benito,ESP,"FW,MF",Osasuna,22,2002,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
59,Yuri Berchiche,ESP,DF,Athletic Club,34,1990,5.2,0,3,1,33.3,0.57,0.19,0.0,0.0,21.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1
60,Álex Berenguer,ESP,FW,Athletic Club,29,1995,4.6,0,8,3,37.5,1.73,0.65,0.0,0.0,19.7,0,0,0,0.5,0.5,0.07,-0.5,-0.5
61,Marc Bernal,ESP,MF,Barcelona,17,2007,2.7,0,2,1,50.0,0.74,0.37,0.0,0.0,26.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1
62,Juan Bernat,ESP,"MF,DF",Villarreal,31,1993,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
