Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl_tackles,TklW_tackles,Def 3rd_tackles,Mid 3rd_tackles,Att 3rd_tackles,Tkl_challenges,Att_challenges,Tkl%_challenges,Lost_challenges,Blocks_blocks,Sh_blocks,Pass_blocks,Int,Tkl+Int,Clr,Err
45,Enzo Barrenechea,ARG,MF,Valencia,23,2001,2.1,5,1,3,2,0,3,5,60.0,2,2,0,2,1,6,7,0
46,Ander Barrenetxea,ESP,"MF,FW",Real Sociedad,22,2001,2.8,3,3,0,3,0,0,4,0.0,4,4,0,4,4,7,6,0
47,Pablo Barrios,ESP,MF,Atlético Madrid,21,2003,3.5,9,5,4,5,0,4,8,50.0,4,1,1,0,7,16,5,2
48,Thierno Barry,FRA,FW,Villarreal,21,2002,4.0,0,0,0,0,0,0,2,0.0,2,3,0,3,0,0,4,0
49,Marc Bartra,ESP,DF,Betis,33,1991,1.9,2,2,2,0,0,2,2,100.0,0,4,3,1,2,4,5,0
50,Aboubacar Bassinga,CIV,MF,Las Palmas,19,2005,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
51,Augusto Batalla,ARG,GK,Rayo Vallecano,28,1996,4.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0
52,Sheraldo Becker,SUR,"FW,MF",Real Sociedad,29,1995,4.8,1,1,0,1,0,0,2,0.0,2,2,0,2,0,1,7,0
53,Donny van de Beek,NED,"MF,FW",Girona,27,1997,1.3,1,1,1,0,0,0,1,0.0,1,4,0,4,0,1,3,0
54,Héctor Bellerín,ESP,DF,Betis,29,1995,3.3,9,4,5,2,2,7,8,87.5,1,2,1,1,1,10,10,0
55,Jude Bellingham,ENG,MF,Real Madrid,21,2003,3.9,11,8,6,3,2,6,7,85.7,1,8,0,8,6,17,3,0
56,Fran Beltrán,ESP,MF,Celta Vigo,25,1999,4.6,10,5,5,4,1,5,6,83.3,1,2,0,2,3,13,6,0
57,Carlos Benavídez,URU,MF,Alavés,26,1998,2.4,5,3,2,2,1,0,3,0.0,3,1,1,0,5,10,3,1
58,Iker Benito,ESP,"FW,MF",Osasuna,22,2002,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,2,0
59,Yuri Berchiche,ESP,DF,Athletic Club,34,1990,5.2,8,6,6,1,1,4,9,44.4,5,7,2,5,5,13,13,0
60,Álex Berenguer,ESP,FW,Athletic Club,29,1995,4.6,5,2,2,1,2,4,7,57.1,3,3,1,2,3,8,3,0
61,Marc Bernal,ESP,MF,Barcelona,17,2007,2.7,8,6,2,5,1,7,8,87.5,1,5,1,4,1,9,4,0
62,Juan Bernat,ESP,"MF,DF",Villarreal,31,1993,0.2,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0
63,Juan Berrocal,ESP,DF,Getafe,25,1999,4.0,7,2,6,1,0,5,7,71.4,2,0,0,0,6,13,14,0
64,Antonio Blanco,ESP,MF,Alavés,24,2000,5.0,8,4,2,6,0,6,10,60.0,4,7,1,6,6,14,4,0
65,Daley Blind,NED,DF,Girona,34,1990,7.6,15,8,7,7,1,9,9,100.0,0,12,4,8,10,25,22,0
66,Adama Boiro,ESP,DF,Athletic Club,22,2002,1.6,3,2,1,2,0,1,2,50.0,1,2,2,0,2,5,5,0
67,Enzo Boyomo,CMR,DF,Osasuna,22,2001,5.0,10,7,7,2,1,6,7,85.7,1,8,4,4,3,13,23,0
68,Enzo Boyomo,CMR,DF,Valladolid,22,2001,3.0,6,2,4,2,0,3,3,100.0,0,4,3,1,1,7,7,0
69,Darko Brašanac,SRB,MF,Leganés,32,1992,5.3,8,2,2,4,2,2,3,66.7,1,6,5,1,3,11,16,0
70,Ante Budimir,CRO,FW,Osasuna,33,1991,5.6,5,2,1,4,0,0,2,0.0,2,5,1,4,1,6,3,0
71,Leandro Cabrera,URU,DF,Espanyol,33,1991,4.5,6,3,4,2,0,2,4,50.0,2,7,6,1,4,10,30,1
72,Fernando Calero,ESP,DF,Espanyol,29,1995,2.0,3,2,3,0,0,0,1,0.0,1,3,3,0,5,8,14,0
73,Sergio Camello,ESP,FW,Rayo Vallecano,23,2001,4.7,3,0,1,2,0,0,0,0.0,0,4,1,3,3,6,8,0
74,José Campaña,ESP,MF,Las Palmas,31,1993,2.1,2,2,1,1,0,2,4,50.0,2,2,0,2,7,9,4,0
75,Peio Canales,ESP,MF,Athletic Club,19,2005,0.2,1,1,0,0,1,0,0,0.0,0,1,0,1,1,2,1,0
76,Sergi Canós,ESP,"MF,FW",Valencia,27,1997,0.8,3,3,0,2,1,1,3,33.3,2,1,0,1,1,4,1,0
77,Cárdenas,ESP,GK,Rayo Vallecano,27,1997,4.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,3,0
78,Irvin Cardona,FRA,"MF,FW",Espanyol,27,1997,2.5,4,3,2,2,0,3,9,33.3,6,4,1,3,3,7,5,0
79,Marc Cardona,ESP,FW,Las Palmas,29,1995,0.2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
80,Sergi Cardona,ESP,DF,Villarreal,25,1999,6.9,18,11,11,6,1,11,21,52.4,10,16,2,14,8,26,27,0
81,Johnny Cardoso,USA,MF,Betis,23,2001,1.7,6,4,2,4,0,3,6,50.0,3,3,1,2,3,9,2,0
82,Carmona,ESP,DF,Sevilla,22,2002,7.8,21,15,13,8,0,11,15,73.3,4,7,3,4,16,37,13,0
83,Sergio Carreira,ESP,"MF,DF",Celta Vigo,23,2000,2.6,6,4,3,2,1,2,3,66.7,1,2,0,2,1,7,9,0
84,Dani Carvajal,ESP,DF,Real Madrid,32,1992,5.8,8,5,4,2,2,6,9,66.7,3,8,3,5,9,17,18,1
85,William Carvalho,POR,MF,Betis,32,1992,2.7,3,2,0,3,0,2,4,50.0,2,4,1,3,3,6,4,0
86,Marc Casado,ESP,MF,Barcelona,21,2003,4.3,10,6,1,6,3,6,10,60.0,4,3,1,2,1,11,5,0
87,Catena,ESP,DF,Osasuna,29,1994,7.0,7,2,3,4,0,4,9,44.4,5,6,2,4,6,13,48,0
88,Dani Ceballos,ESP,MF,Real Madrid,28,1996,0.8,4,3,1,3,0,1,3,33.3,2,1,0,1,0,4,0,0
89,Raúl Chasco,ESP,DF,Valladolid,21,2003,0.4,1,1,1,0,0,0,1,0.0,1,1,0,1,1,2,2,0
90,Pep Chavarría,ESP,"DF,MF",Rayo Vallecano,26,1998,3.4,5,5,3,2,0,2,7,28.6,5,5,1,4,5,10,10,0
91,Walid Cheddira,MAR,FW,Espanyol,26,1998,2.4,0,0,0,0,0,0,0,0.0,0,1,0,1,1,1,2,0
92,Julián Chicco,ARG,MF,Leganés,26,1998,1.2,6,4,0,6,0,3,5,60.0,2,0,0,0,2,8,1,0
93,Chiquinho,POR,"FW,MF",Mallorca,24,2000,0.3,1,0,0,1,0,0,3,0.0,3,0,0,0,0,1,0,0
94,Andreas Christensen,DEN,DF,Barcelona,28,1996,0.3,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,0
95,Jasper Cillessen,NED,GK,Las Palmas,35,1989,7.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,6,0
96,Pathé Ciss,SEN,MF,Rayo Vallecano,30,1994,3.2,6,3,4,2,0,1,6,16.7,5,6,3,3,5,11,15,0
97,Seydouba Cissé,GUI,MF,Leganés,23,2001,5.8,13,10,6,6,1,4,9,44.4,5,7,0,7,2,15,9,0
98,Eray Cömert,SUI,"DF,MF",Valladolid,26,1998,5.7,7,2,4,3,0,5,9,55.6,4,7,5,2,6,13,21,1
99,Santi Comesaña,ESP,MF,Villarreal,27,1996,6.3,13,9,6,7,0,3,11,27.3,8,10,4,6,6,19,7,0
100,Diego Conde,ESP,GK,Villarreal,25,1998,7.0,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,2,1
101,Tomás Conechny,ARG,"FW,MF",Alavés,26,1998,4.0,4,2,2,2,0,2,10,20.0,8,5,0,5,3,7,3,0
102,Copete,ESP,DF,Mallorca,24,1999,2.4,5,4,5,0,0,2,2,100.0,0,3,1,2,1,6,20,0
103,Ángel Correa,ARG,"FW,MF",Atlético Madrid,29,1995,2.1,1,0,1,0,0,1,3,33.3,2,2,0,2,1,2,1,0
104,Thierry Correia,POR,DF,Valencia,25,1999,6.1,19,12,15,2,2,10,16,62.5,6,8,0,8,4,23,12,0
105,Logan Costa,CPV,DF,Villarreal,23,2001,4.2,3,2,3,0,0,2,2,100.0,0,1,1,0,3,6,24,0
106,Samu Costa,POR,MF,Mallorca,23,2000,8.0,24,12,13,10,1,9,19,47.4,10,6,3,3,6,30,30,0
107,Thibaut Courtois,BEL,GK,Real Madrid,32,1992,8.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,2,0
108,Juan Cruz Armada,ESP,DF,Osasuna,32,1992,2.3,2,0,1,1,0,0,1,0.0,1,1,0,1,0,2,7,0
109,Juan Cruz,ESP,"FW,MF",Leganés,24,2000,4.8,5,3,2,3,0,3,5,60.0,2,4,1,3,4,9,6,0
110,Pau Cubarsí,ESP,DF,Barcelona,17,2007,6.4,5,4,4,1,0,2,5,40.0,3,1,1,0,2,7,16,0
111,Arnaut Danjuma,NED,FW,Villarreal,27,1997,2.2,2,1,0,1,1,0,1,0.0,1,1,0,1,0,2,0,0
112,Arnaut Danjuma,NED,"FW,MF",Girona,27,1997,3.0,5,3,2,2,1,1,3,33.3,2,2,0,2,1,6,0,0
113,Sergi Darder,ESP,"MF,FW",Mallorca,30,1993,5.9,11,6,5,2,4,1,8,12.5,7,1,0,1,2,13,4,1
114,Rodrigo De Paul,ARG,MF,Atlético Madrid,30,1994,3.8,4,2,1,2,1,3,6,50.0,3,2,0,2,1,5,3,0
115,Assane Diao,ESP,FW,Betis,19,2005,1.9,3,1,0,2,1,2,4,50.0,2,1,0,1,0,3,1,0
116,Moussa Diarra,MLI,DF,Alavés,23,2000,3.7,9,6,5,4,0,6,8,75.0,2,1,0,1,4,13,2,0
117,Brahim Díaz,MAR,"FW,MF",Real Madrid,25,1999,1.3,2,2,2,0,0,0,3,0.0,3,0,0,0,1,3,0,0
118,Pedro Díaz,ESP,"MF,FW",Rayo Vallecano,26,1998,0.6,1,1,0,1,0,1,1,100.0,0,2,0,2,1,2,0,0
119,Diego,ESP,"FW,MF",Leganés,24,2000,1.3,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,3,0
120,Álvaro djaló,ESP,FW,Athletic Club,25,1999,1.7,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0
121,Djené,TOG,DF,Getafe,32,1991,7.7,4,1,2,2,0,1,8,12.5,7,7,4,3,9,13,30,0
122,Marko Dmitrović,SRB,GK,Leganés,32,1992,2.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,3,0
123,Marc Domenech,ESP,FW,Mallorca,18,2006,1.3,0,0,0,0,0,0,2,0.0,2,2,0,2,0,0,0,0
124,Carlos Dominguez,ESP,DF,Celta Vigo,23,2001,3.8,7,4,4,3,0,4,7,57.1,3,4,4,0,3,10,19,0
125,Sergi Dominguez,ESP,DF,Barcelona,19,2005,1.9,1,1,1,0,0,0,0,0.0,0,0,0,0,3,4,7,0
126,Anastasios Douvikas,GRE,FW,Celta Vigo,25,1999,3.6,5,1,1,4,0,1,3,33.3,2,2,1,1,2,7,4,0
127,Pablo Durán,ESP,"FW,MF",Celta Vigo,23,2001,1.6,2,2,0,2,0,1,2,50.0,1,0,0,0,0,2,1,0
128,Hugo Duro,ESP,FW,Valencia,24,1999,5.0,4,4,2,2,0,0,0,0.0,0,3,0,3,3,7,3,0
129,Chidera Ejuke,NGA,"FW,MF",Sevilla,26,1998,4.6,3,2,0,3,0,1,5,20.0,4,5,0,5,1,4,2,0
130,Aritz Elustondo,ESP,DF,Real Sociedad,30,1994,2.7,4,2,2,1,1,1,1,100.0,0,6,5,1,1,5,8,0
131,Adri Embarba,ESP,"FW,MF",Rayo Vallecano,32,1992,5.3,12,5,6,5,1,7,11,63.6,4,3,0,3,3,15,3,0
132,Endrick,BRA,FW,Real Madrid,18,2006,0.5,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0
133,Alfonso Espino,URU,DF,Rayo Vallecano,32,1992,3.4,16,9,10,5,1,9,20,45.0,11,6,2,4,7,23,7,0
134,Dario Essugo,POR,MF,Las Palmas,19,2005,1.6,6,5,5,1,0,1,2,50.0,1,0,0,0,2,8,5,0
135,Abde Ezzalzouli,MAR,FW,Betis,22,2001,6.2,12,7,7,5,0,3,6,50.0,3,4,0,4,3,15,2,0
136,Peter Federico,DOM,"MF,FW",Getafe,22,2002,1.5,2,1,0,1,1,0,0,0.0,0,2,0,2,0,2,1,0
137,Nabil Fekir,FRA,MF,Betis,31,1993,2.0,3,2,1,1,1,1,2,50.0,1,2,0,2,0,3,0,0
138,Kiko Femenía,ESP,DF,Villarreal,33,1991,7.0,8,5,6,1,1,5,12,41.7,7,10,5,5,8,16,15,0
139,Valery Fernández,ESP,"MF,FW",Mallorca,24,1999,0.9,3,3,1,0,2,2,3,66.7,1,2,1,1,0,3,1,0
140,Pablo Fornals,ESP,"FW,MF",Betis,28,1996,5.8,8,6,5,3,0,3,9,33.3,6,9,0,9,7,15,3,1
141,Héctor Fort,ESP,DF,Barcelona,18,2006,0.5,1,0,0,1,0,1,2,50.0,1,2,0,2,0,1,1,0
142,Dimitri Foulquier,FRA,DF,Valencia,31,1993,3.8,12,7,4,5,3,7,11,63.6,4,4,0,4,0,12,7,1
143,Alejandro Francés,ESP,DF,Girona,22,2002,4.9,12,7,7,4,1,12,17,70.6,5,6,2,4,8,20,16,0
144,Enric Franquesa,ESP,"FW,DF",Leganés,27,1997,4.0,12,6,8,3,1,7,8,87.5,1,5,1,4,1,13,10,0
145,Jorge de Frutos,ESP,"MF,FW",Rayo Vallecano,27,1997,5.7,12,8,6,3,3,7,19,36.8,12,4,0,4,5,17,7,0
146,Manuel Fuster,ESP,"FW,MF",Las Palmas,26,1997,0.9,1,0,0,1,0,1,2,50.0,1,1,0,1,0,1,0,0
147,Javi Galán,ESP,DF,Atlético Madrid,29,1994,0.2,1,1,0,1,0,1,2,50.0,1,0,0,0,2,3,0,0
148,Iñigo Ruiz de Galarreta,ESP,MF,Athletic Club,31,1993,2.0,2,1,0,2,0,1,3,33.3,2,2,0,2,1,3,1,0
149,Conor Gallagher,ENG,MF,Atlético Madrid,24,2000,4.9,16,11,5,9,2,6,12,50.0,6,6,1,5,7,23,8,0
150,Álvaro García,ESP,"FW,MF",Rayo Vallecano,31,1992,3.8,9,6,6,3,0,4,8,50.0,4,2,0,2,6,15,8,0
151,Eric García,ESP,MF,Barcelona,23,2001,4.0,9,4,2,6,1,4,6,66.7,2,6,2,4,4,13,7,0
152,Fran Garcia,ESP,DF,Real Madrid,25,1999,2.8,5,4,2,1,2,2,4,50.0,2,2,1,1,2,7,2,0
153,Joan García,ESP,GK,Espanyol,23,2001,8.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,3,3
154,Rubén García,ESP,"FW,MF",Osasuna,31,1993,5.3,10,8,4,4,2,7,12,58.3,5,10,1,9,4,14,8,0
155,Yarek Gasiorowski,ESP,DF,Valencia,19,2005,2.0,4,4,4,0,0,3,5,60.0,2,4,2,2,1,5,8,0
156,Paulo Gazzaniga,ARG,GK,Girona,32,1992,8.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,2,0
157,Bryan Gil,ESP,"FW,MF",Girona,23,2001,5.4,14,9,6,5,3,7,12,58.3,5,8,0,8,3,17,3,1
158,Dani Gómez,ESP,FW,Valencia,26,1998,3.4,2,1,0,0,2,0,0,0.0,0,1,0,1,2,4,3,0
159,Moi Gómez,ESP,"MF,FW",Osasuna,30,1994,3.3,7,3,3,3,1,1,3,33.3,2,1,0,1,5,12,3,1
160,Sergi Gómez,ESP,DF,Espanyol,32,1992,3.0,2,1,2,0,0,2,2,100.0,0,7,6,1,4,6,12,0
161,Sergio Gómez,ESP,"MF,FW",Real Sociedad,24,2000,6.6,15,9,6,7,2,7,13,53.8,6,5,1,4,5,20,7,0
162,Unai Gómez,ESP,"MF,FW",Athletic Club,21,2003,2.7,1,0,0,1,0,1,1,100.0,0,1,0,1,0,1,3,0
163,Fabio González,ESP,MF,Las Palmas,27,1997,0.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
164,Urko González,ESP,MF,Real Sociedad,23,2001,0.5,0,0,0,0,0,0,0,0.0,0,1,1,0,0,0,0,0
165,Andoni Gorosabel,ESP,DF,Athletic Club,28,1996,2.0,2,0,1,1,0,0,3,0.0,3,2,0,2,0,2,10,0
166,José Gragera,ESP,MF,Espanyol,23,2000,4.8,17,10,5,12,0,8,14,57.1,6,9,1,8,4,21,7,0
167,Dominik Greif,SVK,GK,Mallorca,27,1997,5.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0
168,Antoine Griezmann,FRA,"FW,MF",Atlético Madrid,33,1991,6.5,4,3,4,0,0,1,5,20.0,4,8,0,8,3,7,4,0
169,Vicente Guaita,ESP,GK,Celta Vigo,37,1987,4.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0
170,Sergi Guardiola,ESP,FW,Rayo Vallecano,33,1991,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
171,Nemanja Gudelj,SRB,"MF,DF",Sevilla,32,1991,5.0,8,5,3,4,1,1,1,100.0,0,4,2,2,7,15,15,0
172,Javier Guerra,ESP,"MF,FW",Valencia,21,2003,4.6,9,5,4,3,2,6,10,60.0,4,1,0,1,0,9,7,1
173,Ander Guevara,ESP,MF,Alavés,27,1997,4.4,8,4,3,4,1,5,12,41.7,7,6,0,6,1,9,7,0
174,Pape Gueye,SEN,MF,Villarreal,25,1999,3.4,6,4,2,3,1,5,5,100.0,0,3,0,3,5,11,8,0
175,Hugo Guillamón,ESP,MF,Valencia,24,2000,3.4,6,4,0,5,1,4,5,80.0,1,2,1,1,5,11,6,0
176,Arda Güler,TUR,"MF,FW",Real Madrid,19,2005,2.7,6,1,1,2,3,2,4,50.0,2,6,0,6,1,7,3,0
177,Gerard Gumbau,ESP,MF,Rayo Vallecano,29,1994,2.0,6,4,4,2,0,0,2,0.0,2,1,0,1,0,6,1,0
178,Jon Guridi,ESP,MF,Alavés,29,1995,4.2,6,3,3,2,1,3,8,37.5,5,1,0,1,4,10,4,0
179,Gorka Guruzeta,ESP,FW,Athletic Club,28,1996,5.0,3,2,0,3,0,2,5,40.0,3,7,1,6,2,5,7,0
180,Miguel Gutiérrez,ESP,DF,Girona,23,2001,7.0,15,9,6,8,1,5,7,71.4,2,2,1,1,7,22,11,0
181,Munir El Haddadi,MAR,"MF,FW",Leganés,29,1995,1.7,3,2,0,1,2,0,2,0.0,2,2,0,2,0,3,0,0
182,Sébastien Haller,CIV,FW,Leganés,30,1994,2.9,1,0,1,0,0,1,2,50.0,1,1,0,1,0,1,6,0
183,Javi Hernández,ESP,DF,Leganés,26,1998,5.7,8,5,4,3,1,3,10,30.0,7,5,1,4,8,16,22,0
184,Jorge Herrando,ESP,DF,Osasuna,23,2001,4.1,2,1,1,1,0,1,2,50.0,1,6,5,1,1,3,16,0
185,Ander Herrera,ESP,MF,Athletic Club,35,1989,1.5,3,1,0,3,0,1,3,33.3,2,0,0,0,2,5,3,0
186,Sergio Herrera,ESP,GK,Osasuna,31,1993,8.0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,9,1
187,Yangel Herrera,VEN,MF,Girona,26,1998,5.1,18,12,7,10,1,6,13,46.2,7,6,1,5,10,28,5,0
188,Juan Herzog,ESP,DF,Las Palmas,21,2003,2.0,2,2,2,0,0,2,3,66.7,1,2,1,1,1,3,10,0
189,Omar El Hilali,MAR,DF,Espanyol,21,2003,8.0,21,14,15,4,2,9,18,50.0,9,10,2,8,7,28,38,0
190,Pablo Ibáñez,ESP,MF,Osasuna,26,1998,2.3,1,1,1,0,0,1,7,14.3,6,5,3,2,7,8,6,0
191,Stanis Idumbo,BEL,FW,Sevilla,19,2005,0.1,1,1,0,1,0,0,0,0.0,0,0,0,0,1,2,0,0
192,Iglesias,ESP,DF,Getafe,26,1998,7.2,25,14,12,12,1,9,26,34.6,17,6,1,5,11,36,29,0
193,Borja Iglesias,ESP,FW,Celta Vigo,31,1993,4.4,2,2,0,1,1,0,1,0.0,1,1,0,1,3,5,4,0
194,Kelechi Iheanacho,NGA,FW,Sevilla,27,1996,3.0,1,0,0,1,0,1,2,50.0,1,0,0,0,0,1,1,0
195,Karl Jakob Hein,EST,GK,Valladolid,22,2002,8.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,3,0
196,Adnan Januzaj,BEL,"MF,FW",Las Palmas,29,1995,0.3,1,0,0,1,0,0,0,0.0,0,1,0,1,0,1,0,0
197,Mikel Jauregizar,ESP,MF,Athletic Club,20,2003,3.9,15,9,4,8,3,9,15,60.0,6,3,1,2,5,20,2,1
198,John Joe,IRL,"FW,MF",Getafe,20,2003,0.1,0,0,0,0,0,0,0,0.0,0,1,1,0,0,0,1,0
199,Jofre,ESP,MF,Espanyol,23,2001,5.2,3,3,2,1,0,1,3,33.3,2,0,0,0,1,4,5,0
200,Joan Jordán,ESP,MF,Alavés,30,1994,2.3,8,6,2,4,2,4,8,50.0,4,2,0,2,0,8,4,0
201,Juanmi,ESP,FW,Betis,31,1993,1.6,6,3,3,2,1,3,5,60.0,2,4,0,4,1,7,4,0
