Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive_sca,PassDead_sca,TO_sca,Sh_sca,Fld_sca,Def_sca,GCA,GCA90,PassLive_gca,PassDead_gca,TO_gca,Sh_gca,Fld_gca,Def_gca
59,Yuri Berchiche,ESP,DF,Athletic Club,34,1990,5.2,5,0.96,4,1,0,0,0,0,0,0.0,0,0,0,0,0,0
60,Álex Berenguer,ESP,FW,Athletic Club,29,1995,4.6,12,2.6,8,3,0,0,1,0,4,0.87,1,2,0,0,1,0
61,Marc Bernal,ESP,MF,Barcelona,17,2007,2.7,1,0.37,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0
62,Juan Bernat,ESP,"MF,DF",Villarreal,31,1993,0.2,1,4.74,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
63,Juan Berrocal,ESP,DF,Getafe,25,1999,4.0,1,0.25,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
64,Antonio Blanco,ESP,MF,Alavés,24,2000,5.0,9,1.8,9,0,0,0,0,0,1,0.2,1,0,0,0,0,0
65,Daley Blind,NED,DF,Girona,34,1990,7.6,10,1.32,10,0,0,0,0,0,1,0.13,1,0,0,0,0,0
66,Adama Boiro,ESP,DF,Athletic Club,22,2002,1.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
67,Enzo Boyomo,CMR,DF,Osasuna,22,2001,5.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
68,Enzo Boyomo,CMR,DF,Valladolid,22,2001,3.0,1,0.33,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
69,Darko Brašanac,SRB,MF,Leganés,32,1992,5.3,8,1.5,7,0,0,1,0,0,0,0.0,0,0,0,0,0,0
70,Ante Budimir,CRO,FW,Osasuna,33,1991,5.6,10,1.78,5,0,0,3,2,0,3,0.53,1,0,0,0,2,0
71,Leandro Cabrera,URU,DF,Espanyol,33,1991,4.5,5,1.11,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
72,Fernando Calero,ESP,DF,Espanyol,29,1995,2.0,1,0.5,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
73,Sergio Camello,ESP,FW,Rayo Vallecano,23,2001,4.7,11,2.35,8,0,2,0,0,1,2,0.43,0,0,1,0,0,1
74,José Campaña,ESP,MF,Las Palmas,31,1993,2.1,6,2.87,4,2,0,0,0,0,0,0.0,0,0,0,0,0,0
75,Peio Canales,ESP,MF,Athletic Club,19,2005,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
76,Sergi Canós,ESP,"MF,FW",Valencia,27,1997,0.8,12,15.43,7,1,0,3,1,0,0,0.0,0,0,0,0,0,0
77,Cárdenas,ESP,GK,Rayo Vallecano,27,1997,4.0,1,0.25,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0
78,Irvin Cardona,FRA,"MF,FW",Espanyol,27,1997,2.5,11,4.34,9,1,0,1,0,0,2,0.79,1,0,0,1,0,0
79,Marc Cardona,ESP,FW,Las Palmas,29,1995,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
