Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
333,Javi Martínez,ESP,MF,Osasuna,24,1999.0,1,6.0,6.0,0.8,0.1,0,0.0,0,1,6.0,7,0.0,0.0,1.0,-1.0,-15.0,0.0,0.9,-0.9,-13.09
334,Raúl Martínez,ESP,MF,Girona,22,2002.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
335,Toni Martínez,ESP,FW,Alavés,27,1997.0,5,218.0,44.0,30.3,2.4,2,72.0,0,3,25.0,1,1.8,5.0,2.0,3.0,1.24,3.9,2.1,1.8,0.73
336,Javi Martón,ESP,FW,Athletic Club,25,1999.0,1,20.0,20.0,2.8,0.2,0,0.0,0,1,20.0,6,3.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.99
337,Marvin,ESP,"DF,FW",Las Palmas,24,2000.0,6,409.0,68.0,64.9,4.5,5,75.0,2,1,33.0,0,0.33,6.0,9.0,-3.0,-0.66,4.7,9.1,-4.3,-0.95
338,Omar Mascarell,EQG,MF,Mallorca,31,1993.0,7,381.0,54.0,52.9,4.2,4,83.0,2,3,17.0,1,2.0,5.0,4.0,1.0,0.24,4.9,3.1,1.8,0.43
339,Jaime Mata,ESP,FW,Las Palmas,35,1988.0,6,181.0,30.0,28.7,2.0,2,62.0,0,4,14.0,1,0.33,3.0,4.0,-1.0,-0.5,2.5,3.3,-0.8,-0.42
340,Borja Mayoral,ESP,FW,Getafe,27,1997.0,4,85.0,21.0,11.8,0.9,0,0.0,0,4,21.0,0,1.0,2.0,1.0,1.0,1.06,2.5,1.4,1.2,1.25
341,Kylian Mbappé,FRA,FW,Real Madrid,25,1998.0,7,606.0,87.0,84.2,6.7,7,87.0,3,0,0.0,0,2.43,14.0,3.0,11.0,1.63,15.0,4.5,10.5,1.56
342,Oliver McBurnie,SCO,FW,Las Palmas,28,1996.0,7,511.0,73.0,81.1,5.7,5,84.0,2,2,46.0,0,0.43,5.0,12.0,-7.0,-1.23,5.2,10.8,-5.5,-0.98
343,Scott McKenna,SCO,DF,Las Palmas,27,1996.0,5,368.0,74.0,58.4,4.1,4,87.0,3,1,22.0,0,0.4,4.0,8.0,-4.0,-0.98,3.5,8.6,-5.1,-1.24
344,Djordjije Medenica,ESP,GK,Getafe,17,2006.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
345,Mateo Mejía,ESP,FW,Sevilla,21,2003.0,1,11.0,11.0,1.5,0.1,0,0.0,0,1,11.0,0,1.0,1.0,0.0,1.0,8.18,1.0,0.0,1.0,8.08
