Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
300,Roberto Navarro,ESP,"FW,MF",Mallorca,22,2002,3.2,155,1,28,72,60,9,155,14,8,57.1,3,21.4,85,667,428,14,12,2,12,7,102,16
301,Jesús Navas,ESP,"FW,MF",Sevilla,38,1985,2.2,121,3,17,54,50,4,121,2,1,50.0,1,50.0,72,367,179,3,3,1,1,3,90,27
302,Yvan Neyou,CMR,MF,Leganés,27,1997,4.2,217,12,61,136,23,1,217,9,6,66.7,3,33.3,124,522,232,3,4,0,4,3,137,6
303,Tanguy Nianzou,FRA,DF,Sevilla,22,2002,3.8,271,43,152,112,7,3,271,2,2,100.0,0,0.0,145,624,250,2,2,0,1,0,188,0
304,Saúl Ñíguez,ESP,MF,Sevilla,29,1994,3.6,201,4,47,98,58,13,201,5,2,40.0,2,40.0,112,497,210,2,5,1,6,6,133,11
305,Hugo Novoa,ESP,"DF,FW",Alavés,21,2003,2.5,93,8,26,38,31,1,93,9,3,33.3,5,55.6,46,454,173,6,3,0,6,1,42,9
306,Randy Nteka,ANG,FW,Rayo Vallecano,26,1997,3.2,99,4,11,38,50,8,99,3,0,0.0,3,100.0,33,122,24,1,0,0,7,3,64,13
307,Unai Núñez,ESP,DF,Athletic Club,27,1997,2.0,111,20,54,57,2,1,111,1,1,100.0,0,0.0,60,235,83,0,0,0,2,0,59,0
308,Ørjan Nyland,NOR,GK,Sevilla,34,1990,8.0,301,260,295,6,0,0,301,0,0,0.0,0,0.0,168,776,305,0,0,0,0,0,171,0
309,Jan Oblak,SVN,GK,Atlético Madrid,31,1993,7.0,178,171,178,0,0,0,178,1,1,100.0,0,0.0,97,451,228,0,0,0,0,0,76,0
310,Lucas Ocampos,ARG,FW,Sevilla,30,1994,1.9,115,1,11,60,45,5,115,8,2,25.0,5,62.5,63,377,183,5,4,0,5,3,84,20
