Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
46,Ander Barrenetxea,ESP,"MF,FW",Real Sociedad,22,2001,2.8,1,0,0,8,1,1,4,4,3,0,1,0,17,3,3,50.0
47,Pablo Barrios,ESP,MF,Atlético Madrid,21,2003,3.5,1,0,0,4,1,0,4,7,5,0,0,0,17,5,2,71.4
48,Thierno Barry,FRA,FW,Villarreal,21,2002,4.0,1,0,0,10,8,3,0,0,0,1,0,0,8,19,12,61.3
49,Marc Bartra,ESP,DF,Betis,33,1991,1.9,0,0,0,0,0,0,0,2,2,0,0,0,10,5,2,71.4
50,Aboubacar Bassinga,CIV,MF,Las Palmas,19,2005,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
51,Augusto Batalla,ARG,GK,Rayo Vallecano,28,1996,4.0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,100.0
52,Sheraldo Becker,SUR,"FW,MF",Real Sociedad,29,1995,4.8,0,0,0,1,8,5,28,0,1,0,0,0,9,6,6,50.0
53,Donny van de Beek,NED,"MF,FW",Girona,27,1997,1.3,0,0,0,3,0,1,1,0,1,0,0,0,5,0,1,0.0
54,Héctor Bellerín,ESP,DF,Betis,29,1995,3.3,1,0,0,4,0,0,8,1,4,0,0,0,5,3,1,75.0
55,Jude Bellingham,ENG,MF,Real Madrid,21,2003,3.9,1,0,0,3,5,0,2,6,8,0,0,0,16,2,5,28.6
56,Fran Beltrán,ESP,MF,Celta Vigo,25,1999,4.6,0,0,0,5,1,0,1,3,5,0,0,0,17,3,4,42.9
57,Carlos Benavídez,URU,MF,Alavés,26,1998,2.4,1,0,0,8,2,0,1,5,3,0,0,0,16,5,3,62.5
58,Iker Benito,ESP,"FW,MF",Osasuna,22,2002,0.4,0,0,0,1,1,0,2,1,0,0,0,0,3,0,1,0.0
59,Yuri Berchiche,ESP,DF,Athletic Club,34,1990,5.2,0,0,0,4,5,1,6,5,6,0,0,0,26,5,3,62.5
60,Álex Berenguer,ESP,FW,Athletic Club,29,1995,4.6,2,0,0,7,5,1,34,3,2,1,0,0,17,4,7,36.4
61,Marc Bernal,ESP,MF,Barcelona,17,2007,2.7,2,0,0,4,3,0,0,1,6,0,0,0,9,1,6,14.3
62,Juan Bernat,ESP,"MF,DF",Villarreal,31,1993,0.2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0.0
63,Juan Berrocal,ESP,DF,Getafe,25,1999,4.0,0,0,0,4,0,0,0,6,2,0,0,0,14,14,7,66.7
64,Antonio Blanco,ESP,MF,Alavés,24,2000,5.0,1,0,0,12,7,0,3,6,4,0,0,0,27,2,6,25.0
65,Daley Blind,NED,DF,Girona,34,1990,7.6,0,0,0,2,4,0,8,10,8,0,0,0,26,3,5,37.5
66,Adama Boiro,ESP,DF,Athletic Club,22,2002,1.6,0,0,0,3,1,0,5,2,2,0,0,0,2,4,2,66.7
67,Enzo Boyomo,CMR,DF,Osasuna,22,2001,5.0,0,0,0,7,0,0,0,3,7,0,0,0,14,4,4,50.0
68,Enzo Boyomo,CMR,DF,Valladolid,22,2001,3.0,0,0,0,3,0,0,0,1,2,0,0,0,11,3,5,37.5
69,Darko Brašanac,SRB,MF,Leganés,32,1992,5.3,0,0,0,15,4,1,3,3,2,0,0,0,19,10,12,45.5
70,Ante Budimir,CRO,FW,Osasuna,33,1991,5.6,1,0,0,10,3,4,1,1,2,2,0,0,12,27,20,57.4
71,Leandro Cabrera,URU,DF,Espanyol,33,1991,4.5,0,0,0,1,0,0,5,4,3,0,0,0,14,11,8,57.9
72,Fernando Calero,ESP,DF,Espanyol,29,1995,2.0,0,0,0,2,2,0,0,5,2,0,0,0,4,1,1,50.0
73,Sergio Camello,ESP,FW,Rayo Vallecano,23,2001,4.7,1,0,0,6,4,1,3,3,0,0,0,0,10,7,9,43.8
74,José Campaña,ESP,MF,Las Palmas,31,1993,2.1,0,0,0,0,6,0,6,7,2,0,0,0,17,2,0,100.0
75,Peio Canales,ESP,MF,Athletic Club,19,2005,0.2,0,0,0,0,1,0,1,1,1,0,0,0,3,0,0,0.0
76,Sergi Canós,ESP,"MF,FW",Valencia,27,1997,0.8,1,0,0,2,1,0,5,1,3,0,0,0,9,2,2,50.0
77,Cárdenas,ESP,GK,Rayo Vallecano,27,1997,4.0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0.0
