Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
30,Benjamin André,FRA,MF,Lille,34,1990.0,5,442.0,88.0,81.9,4.9,5,88.0,4,0,0.0,0,1.4,9.0,7.0,2.0,0.41,7.7,8.0,-0.3,-0.06
31,Dennis Appiah,FRA,DF,Saint-Étienne,32,1992.0,5,347.0,69.0,64.3,3.9,3,90.0,3,2,39.0,0,0.8,3.0,14.0,-11.0,-2.85,3.6,10.9,-7.4,-1.91
32,Carlens Arcus,HAI,DF,Angers,28,1996.0,6,432.0,72.0,80.0,4.8,6,72.0,1,0,0.0,0,0.33,2.0,9.0,-7.0,-1.46,3.2,7.7,-4.5,-0.95
33,Hákon Arnar Haraldsson,ISL,MF,Lille,21,2003.0,3,168.0,56.0,31.1,1.9,2,61.0,0,1,47.0,0,2.0,3.0,2.0,1.0,0.54,3.0,2.4,0.6,0.3
34,Marco Asensio,ESP,"FW,MF",Paris S-G,28,1996.0,4,265.0,66.0,49.1,2.9,4,66.0,0,0,0.0,0,3.0,9.0,2.0,7.0,2.38,8.8,2.4,6.3,2.15
35,Lorenz Assignon,TOG,"DF,MF",Rennes,24,2000.0,6,386.0,64.0,71.5,4.3,5,73.0,2,1,19.0,0,1.17,7.0,5.0,2.0,0.47,5.0,4.5,0.5,0.13
36,Dehmaine Assoumani,FRA,"MF,FW",Nantes,19,2005.0,3,23.0,8.0,4.3,0.3,0,0.0,0,3,8.0,3,0.67,0.0,1.0,-1.0,-3.91,0.4,0.2,0.3,1.07
37,Valentin Atangana Edoa,FRA,MF,Reims,19,2005.0,6,507.0,85.0,93.9,5.6,6,85.0,4,0,0.0,0,1.83,10.0,7.0,3.0,0.53,5.9,9.2,-3.3,-0.59
38,Florian Ayé,FRA,FW,Auxerre,27,1997.0,5,144.0,29.0,26.7,1.6,1,63.0,0,4,20.0,1,0.6,2.0,3.0,-1.0,-0.62,1.3,3.7,-2.4,-1.49
39,Neil El Aynaoui,FRA,MF,Lens,23,2001.0,1,6.0,6.0,1.1,0.1,0,0.0,0,1,6.0,1,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,2.44
40,Shavy Babicka,GAB,MF,Toulouse,24,2000.0,5,241.0,48.0,44.6,2.7,2,77.0,1,3,29.0,0,0.8,5.0,3.0,2.0,0.75,5.6,1.0,4.5,1.7
41,Theo Bair,CAN,FW,Auxerre,25,1999.0,5,190.0,38.0,35.2,2.1,3,57.0,0,2,10.0,1,1.2,2.0,3.0,-1.0,-0.47,2.7,2.8,-0.1,-0.05
42,Mitchel Bakker,NED,DF,Lille,24,2000.0,3,50.0,17.0,9.3,0.6,0,0.0,0,3,17.0,0,1.33,2.0,0.0,2.0,3.6,3.0,0.8,2.2,3.98
43,Darryl Bakola,FRA,MF,Marseille,16,2007.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Dilane Bakwa,FRA,"MF,DF",Strasbourg,22,2002.0,6,526.0,88.0,97.4,5.8,6,88.0,5,0,0.0,0,1.5,12.0,10.0,2.0,0.34,11.1,9.2,1.9,0.32
45,Leonardo Balerdi,ARG,DF,Marseille,25,1999.0,3,184.0,61.0,34.1,2.0,3,61.0,2,0,0.0,1,2.33,7.0,3.0,4.0,1.96,5.4,2.2,3.2,1.58
46,Folarin Balogun,USA,FW,Monaco,23,2001.0,5,339.0,68.0,62.8,3.8,4,78.0,2,1,27.0,1,2.6,7.0,2.0,5.0,1.33,8.7,3.1,5.6,1.5
47,Abdoulaye Bamba,CIV,DF,Angers,34,1990.0,3,242.0,81.0,44.8,2.7,3,81.0,1,0,0.0,3,0.0,1.0,5.0,-4.0,-1.49,2.1,3.8,-1.7,-0.65
48,Mohamed Bamba,CIV,MF,Reims,19,2004.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Mamady Bangré,BFA,MF,Toulouse,23,2001.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Hugo Barbet,FRA,GK,Nantes,22,2001.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Bradley Barcola,FRA,FW,Paris S-G,22,2002.0,6,374.0,62.0,69.3,4.2,5,71.0,1,1,20.0,0,2.67,15.0,2.0,13.0,3.13,12.5,3.0,9.5,2.29
52,Melvin Bard,FRA,"MF,DF",Nice,23,2000.0,4,332.0,83.0,61.5,3.7,4,83.0,2,0,0.0,0,1.75,11.0,4.0,7.0,1.9,7.9,3.2,4.6,1.26
53,Gabriel Bares,SUI,MF,Montpellier,24,2000.0,1,8.0,8.0,1.5,0.1,0,0.0,0,1,8.0,5,0.0,0.0,0.0,0.0,0.0,0.1,0.3,-0.2,-2.7
54,Dylan Batubinsika,COD,DF,Saint-Étienne,28,1996.0,6,540.0,90.0,100.0,6.0,6,90.0,6,0,0.0,0,0.67,3.0,17.0,-14.0,-2.33,4.3,15.1,-10.9,-1.81
55,Haris Belkebla,ALG,MF,Angers,30,1994.0,3,259.0,86.0,48.0,2.9,3,86.0,2,0,0.0,0,0.67,2.0,5.0,-3.0,-1.04,2.3,5.7,-3.4,-1.17
56,Yassin Belkhdim,FRA,MF,Angers,22,2002.0,6,279.0,47.0,51.7,3.1,3,78.0,1,3,15.0,0,0.33,2.0,6.0,-4.0,-1.29,2.7,4.1,-1.3,-0.43
57,Eliesse Ben Seghir,MAR,"FW,MF",Monaco,19,2005.0,6,394.0,66.0,73.0,4.4,5,70.0,0,1,45.0,0,2.67,7.0,1.0,6.0,1.37,9.5,3.3,6.2,1.42
58,Salim Ben Seghir,FRA,FW,Marseille,21,2003.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Saïd Benrahma,ALG,"FW,MF",Lyon,29,1995.0,3,260.0,87.0,48.1,2.9,3,87.0,2,0,0.0,2,1.0,2.0,6.0,-4.0,-1.38,2.5,4.9,-2.4,-0.82
60,Lucas Beraldo,BRA,DF,Paris S-G,20,2003.0,5,442.0,88.0,81.9,4.9,5,88.0,4,0,0.0,1,2.6,14.0,5.0,9.0,1.83,12.8,4.2,8.6,1.75
61,Dimitry Bertaud,COD,GK,Montpellier,26,1998.0,2,180.0,90.0,33.3,2.0,2,90.0,2,0,0.0,4,1.5,4.0,4.0,0.0,0.0,2.9,4.5,-1.6,-0.78
62,Emmanuel Biumla,FRA,DF,Angers,19,2005.0,4,283.0,71.0,52.4,3.1,3,90.0,3,1,13.0,2,0.5,3.0,6.0,-3.0,-0.95,2.9,6.1,-3.2,-1.02
63,Marco Bizot,NED,GK,Brest,33,1991.0,6,540.0,90.0,100.0,6.0,6,90.0,6,0,0.0,0,1.0,8.0,13.0,-5.0,-0.83,7.5,13.5,-6.0,-1.0
64,Ludovic Blas,FRA,"MF,FW",Rennes,26,1997.0,6,504.0,84.0,93.3,5.6,6,84.0,3,0,0.0,0,1.17,10.0,8.0,2.0,0.36,7.0,7.8,-0.8,-0.14
65,Augustine Boakye,GHA,"MF,FW",Saint-Étienne,23,2000.0,3,54.0,18.0,10.0,0.6,0,0.0,0,3,18.0,0,0.33,0.0,1.0,-1.0,-1.67,0.4,1.4,-1.0,-1.66
66,Mathéo Bodmer,FRA,DF,Le Havre,20,2004.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Jeremie Boga,CIV,"FW,MF",Nice,27,1997.0,3,171.0,57.0,31.7,1.9,2,72.0,0,1,27.0,0,1.33,2.0,3.0,-1.0,-0.53,2.9,3.2,-0.3,-0.18
68,Adama Bojang,GAM,FW,Reims,20,2004.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,Moïse Bombito,CAN,DF,Nice,24,2000.0,4,334.0,84.0,61.9,3.7,4,84.0,3,0,0.0,0,2.0,11.0,1.0,10.0,2.69,8.2,3.6,4.5,1.22
70,Léo Botz,FRA,FW,Brest,19,2005.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,Ayyoub Bouaddi,FRA,MF,Lille,16,2007.0,5,94.0,19.0,17.4,1.0,1,56.0,0,4,10.0,1,2.0,3.0,1.0,2.0,1.91,4.0,0.7,3.3,3.15
72,Badredine Bouanani,ALG,"FW,MF",Nice,19,2004.0,6,257.0,43.0,47.6,2.9,2,76.0,0,4,26.0,0,1.33,4.0,1.0,3.0,1.05,5.6,3.0,2.5,0.89
73,Benjamin Bouchouari,MAR,MF,Saint-Étienne,22,2001.0,2,28.0,14.0,5.2,0.3,0,0.0,0,2,14.0,1,0.5,0.0,2.0,-2.0,-6.43,0.0,2.4,-2.3,-7.47
74,Hicham Boudaoui,ALG,MF,Nice,25,1999.0,4,359.0,90.0,66.5,4.0,4,90.0,3,0,0.0,0,1.25,6.0,4.0,2.0,0.5,5.4,6.2,-0.8,-0.2
75,Teddy Boulhendi,FRA,GK,Nice,23,2001.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,Ismaïl Bouneb,FRA,MF,Le Havre,18,2006.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,Benjamin Bourigeaud,FRA,MF,Rennes,30,1994.0,1,80.0,80.0,14.8,0.9,1,80.0,0,0,0.0,0,3.0,2.0,0.0,2.0,2.25,1.9,1.9,0.0,0.02
78,Bilal Brahimi,ALG,MF,Nice,24,2000.0,2,76.0,38.0,14.1,0.8,1,63.0,0,1,13.0,1,0.5,1.0,1.0,0.0,0.0,0.7,1.9,-1.2,-1.42
79,Lilian Brassier,FRA,DF,Marseille,24,1999.0,5,442.0,88.0,81.9,4.9,5,88.0,4,0,0.0,0,2.0,10.0,6.0,4.0,0.81,5.7,8.0,-2.2,-0.46
80,Vincent Burlet,BEL,DF,Lille,19,2005.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,Maxime Busi,BEL,DF,Reims,24,1999.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,Aurélio Buta,POR,DF,Reims,27,1997.0,4,333.0,83.0,61.7,3.7,4,83.0,2,0,0.0,0,2.5,7.0,3.0,4.0,1.08,4.2,4.4,-0.2,-0.06
83,Ludovic Butelle,FRA,GK,Reims,41,1983.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Marcin Bułka,POL,GK,Nice,24,1999.0,6,540.0,90.0,100.0,6.0,6,90.0,6,0,0.0,0,1.33,14.0,6.0,8.0,1.33,11.9,7.1,4.8,0.79
85,Rémy Cabella,FRA,"MF,FW",Lille,34,1990.0,6,260.0,43.0,48.1,2.9,3,71.0,0,3,15.0,0,1.67,5.0,5.0,0.0,0.0,6.1,4.0,2.2,0.75
86,Mathieu Cafaro,FRA,"MF,FW",Saint-Étienne,27,1997.0,6,397.0,66.0,73.5,4.4,5,77.0,2,1,13.0,0,0.67,1.0,13.0,-12.0,-2.72,2.7,11.1,-8.4,-1.9
87,Marc-Aurèle Caillard,FRA,GK,Lille,30,1994.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,Duje Ćaleta-Car,CRO,DF,Lyon,28,1996.0,6,539.0,90.0,99.8,6.0,6,90.0,5,0,0.0,0,1.17,8.0,12.0,-4.0,-0.67,9.0,9.7,-0.8,-0.13
89,Issiaga Camara,GUI,MF,Nice,19,2005.0,1,4.0,4.0,0.7,0.0,0,0.0,0,1,4.0,4,0.0,0.0,1.0,-1.0,-22.5,0.1,0.1,0.0,-0.01
90,Lamine Camara,SEN,MF,Monaco,20,2004.0,5,337.0,67.0,62.4,3.7,4,78.0,1,1,24.0,0,3.0,8.0,1.0,7.0,1.87,9.7,1.2,8.5,2.27
91,Mahdi Camara,FRA,MF,Brest,26,1998.0,6,456.0,76.0,84.4,5.1,5,88.0,4,1,17.0,0,1.0,7.0,13.0,-6.0,-1.18,7.2,10.8,-3.7,-0.73
92,Axel Camblan,FRA,"MF,FW",Brest,21,2003.0,2,26.0,13.0,4.8,0.3,0,0.0,0,2,13.0,1,1.5,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.4
93,Jaydee Canvot,FRA,DF,Toulouse,18,2006.0,1,5.0,5.0,0.9,0.1,0,0.0,0,1,5.0,1,0.0,0.0,1.0,-1.0,-18.0,0.0,0.2,-0.2,-3.11
94,Pierrick Capelle,FRA,MF,Angers,37,1987.0,4,183.0,46.0,33.9,2.0,2,73.0,0,2,19.0,2,0.0,2.0,4.0,-2.0,-0.98,2.1,2.9,-0.8,-0.4
95,Maxence Caqueret,FRA,MF,Lyon,24,2000.0,6,458.0,76.0,84.8,5.1,5,87.0,3,1,24.0,0,1.17,7.0,11.0,-4.0,-0.79,6.6,8.9,-2.3,-0.45
96,Simon Cara,FRA,FW,Montpellier,19,2005.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,Valentin Carboni,ARG,"MF,FW",Marseille,19,2005.0,3,58.0,19.0,10.7,0.6,0,0.0,0,3,19.0,2,1.33,0.0,1.0,-1.0,-1.55,0.5,1.0,-0.5,-0.75
98,Patrik Carlgren,SWE,GK,Nantes,32,1992.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,Josué Casimir,FRA,"FW,DF",Le Havre,23,2001.0,6,406.0,68.0,75.2,4.5,5,75.0,2,1,29.0,0,1.0,5.0,11.0,-6.0,-1.33,3.9,8.3,-4.4,-0.97
100,Cristian Cásseres Jr.,VEN,MF,Toulouse,24,2000.0,6,427.0,71.0,79.1,4.7,5,79.0,3,1,33.0,0,0.83,4.0,7.0,-3.0,-0.63,7.2,3.1,4.1,0.86
101,Jean-Charles Castelletto,CMR,DF,Nantes,29,1995.0,5,450.0,90.0,83.3,5.0,5,90.0,5,0,0.0,0,1.2,6.0,5.0,1.0,0.2,5.8,5.2,0.7,0.13
102,Brendan Chardonnet,FRA,DF,Brest,29,1994.0,5,450.0,90.0,83.3,5.0,5,90.0,5,0,0.0,1,0.6,6.0,13.0,-7.0,-1.4,7.1,10.8,-3.7,-0.75
103,Jhoanner Chávez,ECU,DF,Lens,22,2002.0,4,302.0,76.0,55.9,3.4,4,76.0,0,0,0.0,1,2.0,3.0,2.0,1.0,0.3,5.3,2.9,2.4,0.72
104,Théo Chennahi,FRA,DF,Montpellier,19,2005.0,1,3.0,3.0,0.6,0.0,0,0.0,0,1,3.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.7,-0.7,-20.74
105,Sidiki Cherif,FRA,FW,Angers,17,2006.0,5,282.0,56.0,52.2,3.1,3,81.0,1,2,20.0,0,0.4,1.0,6.0,-5.0,-1.6,2.4,4.0,-1.6,-0.52
106,Rayan Cherki,FRA,MF,Lyon,21,2003.0,2,46.0,23.0,8.5,0.5,0,0.0,0,2,23.0,0,1.5,2.0,1.0,1.0,1.96,0.8,0.5,0.4,0.73
107,Lucas Chevalier,FRA,GK,Lille,22,2001.0,6,540.0,90.0,100.0,6.0,6,90.0,6,0,0.0,0,1.67,11.0,7.0,4.0,0.67,11.3,8.1,3.1,0.52
108,Pedro Chirivella,ESP,MF,Nantes,27,1997.0,6,525.0,88.0,97.2,5.8,6,88.0,3,0,0.0,0,1.5,8.0,6.0,2.0,0.34,6.5,6.0,0.5,0.09
109,Joris Chotard,FRA,MF,Montpellier,23,2001.0,3,219.0,73.0,40.6,2.4,3,73.0,2,0,0.0,0,0.33,2.0,8.0,-6.0,-2.47,2.6,4.9,-2.3,-0.96
110,Djaoui Cissé,FRA,MF,Rennes,20,2004.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,Jonathan Clauss,FRA,"MF,DF",Nice,32,1992.0,6,448.0,75.0,83.0,5.0,5,81.0,3,1,45.0,0,1.33,10.0,5.0,5.0,1.0,8.2,4.8,3.4,0.69
112,Marcus Coco,FRA,DF,Nantes,28,1996.0,5,277.0,55.0,51.3,3.1,3,82.0,0,2,16.0,0,1.6,5.0,4.0,1.0,0.32,3.9,3.1,0.8,0.27
113,Derek Cornelius,CAN,DF,Marseille,26,1997.0,4,343.0,86.0,63.5,3.8,4,86.0,3,0,0.0,1,2.25,10.0,3.0,7.0,1.84,4.2,4.5,-0.3,-0.08
114,Pierre Cornud,FRA,DF,Saint-Étienne,27,1996.0,3,208.0,69.0,38.5,2.3,3,69.0,1,0,0.0,0,1.0,1.0,8.0,-7.0,-3.03,1.4,5.7,-4.3,-1.87
115,David Costa,POR,MF,Lens,23,2001.0,3,134.0,45.0,24.8,1.5,1,57.0,0,2,39.0,1,1.67,1.0,1.0,0.0,0.0,2.3,1.4,0.8,0.57
116,Logan Costa,CPV,DF,Toulouse,23,2001.0,1,90.0,90.0,16.7,1.0,1,90.0,1,0,0.0,0,1.0,0.0,0.0,0.0,0.0,1.7,0.5,1.2,1.23
117,Grégoire Coudert,FRA,GK,Brest,25,1999.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,Lasso Coulibaly,GHA,"FW,MF",Auxerre,21,2002.0,2,38.0,19.0,7.0,0.4,0,0.0,0,2,19.0,0,1.5,1.0,1.0,0.0,0.0,0.5,0.7,-0.2,-0.45
119,Soumaïla Coulibaly,FRA,DF,Brest,20,2003.0,2,107.0,54.0,19.8,1.2,1,90.0,1,1,17.0,2,1.5,2.0,3.0,-1.0,-0.84,2.3,2.5,-0.3,-0.23
120,Tanguy Coulibaly,FRA,FW,Montpellier,23,2001.0,5,284.0,57.0,52.6,3.2,3,72.0,0,2,34.0,1,0.8,5.0,7.0,-2.0,-0.63,3.8,5.7,-1.9,-0.59
121,Nicolas Cozza,FRA,DF,Nantes,25,1999.0,3,121.0,40.0,22.4,1.3,1,90.0,1,2,16.0,0,1.67,2.0,2.0,0.0,0.0,1.9,1.1,0.9,0.66
122,Charlie Cresswell,ENG,DF,Toulouse,22,2002.0,5,328.0,66.0,60.7,3.6,4,80.0,2,1,9.0,1,1.0,2.0,5.0,-3.0,-0.82,5.7,2.7,3.0,0.83
123,Kévin Danois,FRA,"MF,DF",Auxerre,20,2004.0,5,221.0,44.0,40.9,2.5,2,86.0,1,3,17.0,1,0.6,5.0,6.0,-1.0,-0.41,3.8,5.6,-1.8,-0.74
124,Kevin Danso,AUT,DF,Lens,26,1998.0,2,180.0,90.0,33.3,2.0,2,90.0,2,0,0.0,0,3.0,3.0,0.0,3.0,1.5,4.1,1.2,2.9,1.45
125,Dante,BRA,DF,Nice,40,1983.0,6,473.0,79.0,87.6,5.3,5,86.0,4,1,45.0,0,1.33,14.0,6.0,8.0,1.52,10.4,5.6,4.8,0.92
126,Pape Daouda Diongue,SEN,MF,Strasbourg,,0.0,1,45.0,45.0,8.3,0.5,1,45.0,0,0,0.0,5,1.0,0.0,0.0,0.0,0.0,0.2,0.4,-0.2,-0.43
127,Mohammed Daramy,DEN,FW,Reims,22,2002.0,1,8.0,8.0,1.5,0.1,0,0.0,0,1,8.0,1,3.0,0.0,1.0,-1.0,-11.25,0.1,0.6,-0.5,-5.37
128,Achraf Dari,MAR,DF,Brest,25,1999.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,Jonathan David,CAN,FW,Lille,24,2000.0,6,373.0,62.0,69.1,4.1,3,89.0,2,3,35.0,0,1.67,9.0,4.0,5.0,1.21,8.1,5.3,2.8,0.68
130,Zuriko Davitashvili,GEO,"MF,FW",Saint-Étienne,23,2001.0,6,509.0,85.0,94.3,5.7,6,85.0,4,0,0.0,0,0.67,3.0,16.0,-13.0,-2.3,3.9,14.0,-10.1,-1.79
131,Jeffrey De Lange,NED,GK,Marseille,26,1998.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,Théo De Percin,MTQ,GK,Auxerre,23,2001.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
