Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
45,Melvin Bard,FRA,"MF,DF",Nice,23,2000.0,3.7,1,0,0,4,4,0,9,2,4,0,0,0,14,1,5,16.7
46,Gabriel Bares,SUI,MF,Montpellier,24,2000.0,0.1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0
47,Dylan Batubinsika,COD,DF,Saint-Étienne,28,1996.0,6.0,1,0,0,9,5,0,0,11,6,0,0,1,17,13,5,72.2
48,Haris Belkebla,ALG,MF,Angers,30,1994.0,2.9,0,0,0,3,4,0,1,1,5,0,0,0,15,2,4,33.3
49,Yassin Belkhdim,FRA,MF,Angers,22,2002.0,3.1,1,0,0,9,3,0,3,6,5,0,0,0,20,0,2,0.0
50,Eliesse Ben Seghir,MAR,"FW,MF",Monaco,19,2005.0,4.4,0,0,0,9,20,1,6,0,8,0,0,0,23,2,4,33.3
51,Saïd Benrahma,ALG,"FW,MF",Lyon,29,1995.0,2.9,0,0,0,3,4,2,20,1,1,0,0,0,8,0,0,0.0
52,Lucas Beraldo,BRA,DF,Paris S-G,20,2003.0,4.9,2,0,0,5,5,0,0,3,9,0,1,0,19,2,5,28.6
53,Dimitry Bertaud,COD,GK,Montpellier,26,1998.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
54,Emmanuel Biumla,FRA,DF,Angers,19,2005.0,3.1,0,0,0,4,1,0,0,3,5,0,0,0,10,5,4,55.6
55,Marco Bizot,NED,GK,Brest,33,1991.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0.0
56,Ludovic Blas,FRA,"MF,FW",Rennes,26,1997.0,5.6,1,0,0,6,9,0,25,3,4,0,0,0,18,4,11,26.7
57,Augustine Boakye,GHA,"MF,FW",Saint-Étienne,23,2000.0,0.6,0,0,0,3,1,0,0,0,1,0,0,0,2,1,1,50.0
58,Jeremie Boga,CIV,"FW,MF",Nice,27,1997.0,1.9,0,0,0,0,4,3,5,0,1,0,0,0,6,0,0,0.0
59,Moïse Bombito,CAN,DF,Nice,24,2000.0,3.7,2,1,1,3,3,0,0,4,6,0,1,0,17,7,9,43.8
60,Ayyoub Bouaddi,FRA,MF,Lille,16,2007.0,1.0,0,0,0,0,1,0,0,0,3,0,0,0,5,0,1,0.0
61,Badredine Bouanani,ALG,"FW,MF",Nice,19,2004.0,2.9,1,0,0,4,7,0,11,3,0,0,0,0,7,0,2,0.0
