Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
34,Valentin Atangana Edoa,FRA,MF,Reims,19,2005.0,5.6,0,7,1,14.3,1.24,0.18,0.0,0.0,27.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1
35,Florian Ayé,FRA,FW,Auxerre,27,1997.0,1.6,0,2,0,0.0,1.25,0.0,0.0,0.0,9.6,0,0,0,0.3,0.3,0.13,-0.3,-0.3
36,Neil El Aynaoui,FRA,MF,Lens,23,2001.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
37,Shavy Babicka,GAB,MF,Toulouse,24,2000.0,2.7,3,5,4,80.0,1.87,1.49,0.6,0.75,17.1,0,0,0,1.4,1.4,0.29,1.6,1.6
38,Theo Bair,CAN,FW,Auxerre,25,1999.0,2.1,0,2,1,50.0,0.95,0.47,0.0,0.0,9.9,0,0,0,0.2,0.2,0.1,-0.2,-0.2
39,Mitchel Bakker,NED,DF,Lille,24,2000.0,0.6,0,3,2,66.7,5.4,3.6,0.0,0.0,15.6,0,0,0,0.8,0.8,0.27,-0.8,-0.8
40,Dilane Bakwa,FRA,"MF,DF",Strasbourg,22,2002.0,5.8,0,12,5,41.7,2.05,0.86,0.0,0.0,23.5,3,0,0,1.0,1.0,0.08,-1.0,-1.0
41,Leonardo Balerdi,ARG,DF,Marseille,25,1999.0,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
42,Folarin Balogun,USA,FW,Monaco,23,2001.0,3.8,2,20,5,25.0,5.31,1.33,0.1,0.4,12.4,0,0,0,3.4,3.4,0.17,-1.4,-1.4
43,Abdoulaye Bamba,CIV,DF,Angers,34,1990.0,2.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
44,Bradley Barcola,FRA,FW,Paris S-G,22,2002.0,4.2,6,17,8,47.1,4.09,1.93,0.35,0.75,13.6,0,0,0,3.5,3.5,0.2,2.5,2.5
45,Melvin Bard,FRA,"MF,DF",Nice,23,2000.0,3.7,0,2,1,50.0,0.54,0.27,0.0,0.0,11.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1
46,Gabriel Bares,SUI,MF,Montpellier,24,2000.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
