Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive_sca,PassDead_sca,TO_sca,Sh_sca,Fld_sca,Def_sca,GCA,GCA90,PassLive_gca,PassDead_gca,TO_gca,Sh_gca,Fld_gca,Def_gca
43,Abdoulaye Bamba,CIV,DF,Angers,34,1990.0,2.7,1,0.37,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
44,Bradley Barcola,FRA,FW,Paris S-G,22,2002.0,4.2,16,3.86,11,0,2,2,1,0,5,1.21,4,0,0,1,0,0
45,Melvin Bard,FRA,"MF,DF",Nice,23,2000.0,3.7,2,0.54,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
46,Gabriel Bares,SUI,MF,Montpellier,24,2000.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
47,Dylan Batubinsika,COD,DF,Saint-Étienne,28,1996.0,6.0,2,0.33,1,0,1,0,0,0,0,0.0,0,0,0,0,0,0
48,Haris Belkebla,ALG,MF,Angers,30,1994.0,2.9,2,0.69,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
49,Yassin Belkhdim,FRA,MF,Angers,22,2002.0,3.1,3,0.97,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0
50,Eliesse Ben Seghir,MAR,"FW,MF",Monaco,19,2005.0,4.4,23,5.25,19,0,1,2,1,0,1,0.23,1,0,0,0,0,0
51,Saïd Benrahma,ALG,"FW,MF",Lyon,29,1995.0,2.9,9,3.13,4,4,1,0,0,0,0,0.0,0,0,0,0,0,0
52,Lucas Beraldo,BRA,DF,Paris S-G,20,2003.0,4.9,1,0.2,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
53,Dimitry Bertaud,COD,GK,Montpellier,26,1998.0,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
54,Emmanuel Biumla,FRA,DF,Angers,19,2005.0,3.1,1,0.32,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
55,Marco Bizot,NED,GK,Brest,33,1991.0,6.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
56,Ludovic Blas,FRA,"MF,FW",Rennes,26,1997.0,5.6,28,5.0,10,7,2,3,2,4,4,0.71,0,3,0,0,1,0
57,Augustine Boakye,GHA,"MF,FW",Saint-Étienne,23,2000.0,0.6,1,1.67,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0
58,Jeremie Boga,CIV,"FW,MF",Nice,27,1997.0,1.9,10,5.29,4,1,2,2,1,0,1,0.53,0,0,0,1,0,0
59,Moïse Bombito,CAN,DF,Nice,24,2000.0,3.7,1,0.27,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
60,Ayyoub Bouaddi,FRA,MF,Lille,16,2007.0,1.0,1,0.96,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
61,Badredine Bouanani,ALG,"FW,MF",Nice,19,2004.0,2.9,8,2.8,5,1,1,1,0,0,1,0.35,0,0,0,1,0,0
62,Benjamin Bouchouari,MAR,MF,Saint-Étienne,22,2001.0,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
63,Hicham Boudaoui,ALG,MF,Nice,25,1999.0,4.0,10,2.51,8,0,0,0,1,1,1,0.25,1,0,0,0,0,0
