Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
48,Haris Belkebla,ALG,MF,Angers,30,1994.0,2.9,150,148,2,2,0,1,1,0,0,0,0,0,127,0,2
49,Yassin Belkhdim,FRA,MF,Angers,22,2002.0,3.1,91,89,2,1,0,0,3,1,0,0,0,0,79,0,1
50,Eliesse Ben Seghir,MAR,"FW,MF",Monaco,19,2005.0,4.4,204,195,8,2,2,1,6,2,4,2,0,0,161,1,4
51,Saïd Benrahma,ALG,"FW,MF",Lyon,29,1995.0,2.9,128,117,9,2,0,2,20,0,7,2,4,0,89,2,4
52,Lucas Beraldo,BRA,DF,Paris S-G,20,2003.0,4.9,452,431,20,5,1,1,0,15,0,0,0,0,419,1,2
53,Dimitry Bertaud,COD,GK,Montpellier,26,1998.0,2.0,71,46,24,6,0,0,0,0,0,0,0,0,44,1,0
54,Emmanuel Biumla,FRA,DF,Angers,19,2005.0,3.1,153,148,4,3,0,0,0,0,0,0,0,0,135,1,0
55,Marco Bizot,NED,GK,Brest,33,1991.0,6.0,222,161,61,14,0,0,0,0,0,0,0,0,142,0,0
56,Ludovic Blas,FRA,"MF,FW",Rennes,26,1997.0,5.6,184,160,24,7,1,4,25,2,15,12,1,0,133,0,6
57,Augustine Boakye,GHA,"MF,FW",Saint-Étienne,23,2000.0,0.6,14,14,0,0,0,0,0,0,0,0,0,0,12,0,0
58,Jeremie Boga,CIV,"FW,MF",Nice,27,1997.0,1.9,52,48,4,1,0,0,5,0,3,3,0,0,42,0,3
59,Moïse Bombito,CAN,DF,Nice,24,2000.0,3.7,266,251,15,5,1,0,0,1,0,0,0,0,245,0,1
60,Ayyoub Bouaddi,FRA,MF,Lille,16,2007.0,1.0,75,75,0,0,0,1,0,0,0,0,0,0,73,0,0
61,Badredine Bouanani,ALG,"FW,MF",Nice,19,2004.0,2.9,101,89,10,3,2,0,11,1,6,2,2,0,73,2,2
62,Benjamin Bouchouari,MAR,MF,Saint-Étienne,22,2001.0,0.3,13,13,0,0,0,0,0,0,0,0,0,0,11,0,0
63,Hicham Boudaoui,ALG,MF,Nice,25,1999.0,4.0,176,170,5,5,2,0,2,0,0,0,0,0,145,1,7
64,Benjamin Bourigeaud,FRA,MF,Rennes,30,1994.0,0.9,48,40,8,2,0,1,6,0,6,4,1,0,36,0,1
65,Bilal Brahimi,ALG,MF,Nice,24,2000.0,0.8,40,35,5,0,0,0,5,3,2,1,1,0,35,0,1
66,Lilian Brassier,FRA,DF,Marseille,24,1999.0,4.9,363,335,24,7,0,0,3,11,0,0,0,0,311,4,4
67,Aurélio Buta,POR,DF,Reims,27,1997.0,3.7,155,122,33,1,0,0,4,32,0,0,0,0,126,0,2
68,Marcin Bułka,POL,GK,Nice,24,1999.0,6.0,217,169,48,11,0,0,0,0,0,0,0,0,186,0,0
69,Rémy Cabella,FRA,"MF,FW",Lille,34,1990.0,2.9,190,170,19,7,0,0,9,2,10,2,3,0,159,1,2
70,Mathieu Cafaro,FRA,"MF,FW",Saint-Étienne,27,1997.0,4.4,121,105,16,6,0,1,16,4,6,4,2,0,82,0,1
71,Duje Ćaleta-Car,CRO,DF,Lyon,28,1996.0,6.0,263,240,22,14,0,1,0,0,0,0,0,0,238,1,0
72,Issiaga Camara,GUI,MF,Nice,19,2005.0,0.0,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0
