Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Gls_per_90,Ast,Ast_per_90,G+A,G+A_per_90,G-PK,G-PK_per_90,PK,PKatt,CrdY,CrdR,xG,xG_per_90,npxG,npxG_per_90,xAG,xAG_per_90,npxG+xAG,npxG+xAG_per_90,PrgC,PrgP,PrgR,G+A-PK,xG+xAG
25,Michael Amir Murillo,PAN,DF,Marseille,28.0,1996.0,6,6,540,6.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.01,0.1,0.01,0.2,0.03,0.3,0.05,6,20,11,0.0,0.05
26,Mathis Amougou,FRA,MF,Saint-Étienne,18.0,2006.0,6,6,460,5.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.2,0.04,0.2,0.04,0.1,0.01,0.3,0.05,3,24,4,0.0,0.05
27,Benjamin André,FRA,MF,Lille,34.0,1990.0,5,5,442,4.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0,3,0,0.2,0.05,0.2,0.05,0.3,0.06,0.5,0.11,5,44,9,0.0,0.11
28,Dennis Appiah,FRA,DF,Saint-Étienne,32.0,1992.0,5,3,347,3.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,8,18,14,0.0,0.01
29,Carlens Arcus,HAI,DF,Angers,28.0,1996.0,6,6,432,4.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,0.05,0.2,0.05,8,12,14,0.0,0.05
30,Hákon Arnar Haraldsson,ISL,MF,Lille,21.0,2003.0,3,2,168,1.9,0,0.0,1,0.54,1,0.54,0,0.0,0,0,0,0,0.5,0.25,0.5,0.25,0.2,0.08,0.6,0.33,8,18,12,0.54,0.33
31,Marco Asensio,ESP,"FW,MF",Paris S-G,28.0,1996.0,4,4,265,2.9,1,0.34,2,0.68,3,1.02,1,0.34,0,0,0,0,2.5,0.86,2.5,0.86,1.3,0.45,3.9,1.31,10,15,23,1.02,1.31
32,Lorenz Assignon,TOG,"DF,MF",Rennes,24.0,2000.0,6,5,386,4.3,0,0.0,1,0.23,1,0.23,0,0.0,0,0,2,0,0.0,0.0,0.0,0.0,0.1,0.03,0.1,0.03,12,17,23,0.23,0.03
33,Dehmaine Assoumani,FRA,"MF,FW",Nantes,19.0,2005.0,3,0,23,0.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.3,1.11,0.3,1.11,1,0,5,0.0,1.11
34,Valentin Atangana Edoa,FRA,MF,Reims,19.0,2005.0,6,6,507,5.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.1,0.02,0.1,0.02,0.1,0.01,0.2,0.04,3,21,3,0.0,0.04
35,Florian Ayé,FRA,FW,Auxerre,27.0,1997.0,5,1,144,1.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.3,0.17,0.3,0.17,0.0,0.0,0.3,0.17,1,2,10,0.0,0.17
36,Neil El Aynaoui,FRA,MF,Lens,23.0,2001.0,1,0,6,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
37,Shavy Babicka,GAB,MF,Toulouse,24.0,2000.0,5,2,241,2.7,3,1.12,0,0.0,3,1.12,3,1.12,0,0,1,0,1.4,0.54,1.4,0.54,0.0,0.01,1.5,0.55,3,4,28,1.12,0.55
38,Theo Bair,CAN,FW,Auxerre,25.0,1999.0,5,3,190,2.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.2,0.09,0.2,0.09,0.2,0.11,0.4,0.2,1,1,7,0.0,0.2
39,Mitchel Bakker,NED,DF,Lille,24.0,2000.0,3,0,50,0.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.8,1.45,0.8,1.45,0.0,0.08,0.9,1.53,2,5,11,0.0,1.53
40,Dilane Bakwa,FRA,"MF,DF",Strasbourg,22.0,2002.0,6,6,526,5.8,0,0.0,2,0.34,2,0.34,0,0.0,0,0,0,0,1.0,0.17,1.0,0.17,2.0,0.33,3.0,0.51,19,17,33,0.34,0.51
41,Leonardo Balerdi,ARG,DF,Marseille,25.0,1999.0,3,3,184,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0.0,0.0
42,Folarin Balogun,USA,FW,Monaco,23.0,2001.0,5,4,339,3.8,2,0.53,0,0.0,2,0.53,2,0.53,0,0,0,0,3.4,0.9,3.4,0.9,0.6,0.16,4.0,1.06,10,6,45,0.53,1.06
43,Abdoulaye Bamba,CIV,DF,Angers,34.0,1990.0,3,3,242,2.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.1,0.03,0.1,0.03,0,6,0,0.0,0.03
