Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp_total,Att_total,Cmp%_total,TotDist_total,PrgDist_total,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
32,Lorenz Assignon,TOG,"DF,MF",Rennes,24,2000.0,4.3,130,171,76.0,2162,946,53,68,77.9,73,89,82.0,2,7,28.6,1,0.1,0.3,0.9,3,6,4,1,17
33,Dehmaine Assoumani,FRA,"MF,FW",Nantes,19,2005.0,0.3,14,15,93.3,252,87,7,8,87.5,5,5,100.0,2,2,100.0,0,0.3,0.5,-0.3,3,0,2,2,0
34,Valentin Atangana Edoa,FRA,MF,Reims,19,2005.0,5.6,212,238,89.1,3215,873,112,120,93.3,89,97,91.8,5,7,71.4,0,0.1,0.1,-0.1,3,13,1,0,21
35,Florian Ayé,FRA,FW,Auxerre,27,1997.0,1.6,25,32,78.1,313,30,18,20,90.0,4,6,66.7,1,1,100.0,0,0.0,0.0,0.0,0,1,2,0,2
36,Neil El Aynaoui,FRA,MF,Lens,23,2001.0,0.1,2,2,100.0,13,0,2,2,100.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
37,Shavy Babicka,GAB,MF,Toulouse,24,2000.0,2.7,45,62,72.6,528,73,32,38,84.2,10,16,62.5,0,1,0.0,0,0.0,0.0,0.0,1,1,0,0,4
38,Theo Bair,CAN,FW,Auxerre,25,1999.0,2.1,29,42,69.0,354,31,21,28,75.0,5,9,55.6,1,1,100.0,0,0.2,0.1,-0.2,4,2,0,0,1
39,Mitchel Bakker,NED,DF,Lille,24,2000.0,0.6,43,53,81.1,720,232,25,26,96.2,16,20,80.0,2,5,40.0,0,0.0,0.1,0.0,1,4,0,0,5
40,Dilane Bakwa,FRA,"MF,DF",Strasbourg,22,2002.0,5.8,152,212,71.7,2626,765,78,92,84.8,51,71,71.8,20,37,54.1,2,2.0,2.0,0.0,12,11,8,4,17
41,Leonardo Balerdi,ARG,DF,Marseille,25,1999.0,2.0,188,198,94.9,3293,1359,74,75,98.7,101,104,97.1,10,15,66.7,0,0.0,0.0,0.0,0,4,0,0,4
42,Folarin Balogun,USA,FW,Monaco,23,2001.0,3.8,53,72,73.6,594,82,29,34,85.3,13,20,65.0,1,2,50.0,0,0.6,1.0,-0.6,5,2,1,0,6
43,Abdoulaye Bamba,CIV,DF,Angers,34,1990.0,2.7,63,78,80.8,1294,580,20,22,90.9,36,39,92.3,7,14,50.0,0,0.1,0.2,-0.1,1,5,2,1,6
44,Bradley Barcola,FRA,FW,Paris S-G,22,2002.0,4.2,112,137,81.8,1440,327,78,83,94.0,23,32,71.9,5,7,71.4,0,0.8,0.9,-0.8,5,5,9,1,12
45,Melvin Bard,FRA,"MF,DF",Nice,23,2000.0,3.7,134,184,72.8,2289,767,63,77,81.8,56,72,77.8,12,24,50.0,0,0.0,0.2,0.0,1,10,3,0,14
46,Gabriel Bares,SUI,MF,Montpellier,24,2000.0,0.1,3,4,75.0,27,0,3,3,100.0,0,0,0.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
47,Dylan Batubinsika,COD,DF,Saint-Étienne,28,1996.0,6.0,245,276,88.8,4799,1553,69,72,95.8,157,168,93.5,16,29,55.2,0,0.0,0.1,0.0,0,16,1,0,13
