stat_id,player_id,ninety_s,att,live,dead,fk,tb,sw,crs,ti,ck,inn,outt,str,cmp,off,blocks
,,2.2,79,73,6,0,0,0,6,6,0,0,0,0,63,0,4
,,1.6,64,64,0,0,1,0,2,0,0,0,0,0,51,0,2
,,1.2,124,108,16,6,0,1,15,0,10,5,3,0,107,0,1
,,1.0,100,95,5,2,0,0,0,3,0,0,0,0,87,0,1
,,1.9,67,61,5,3,1,0,1,1,1,1,0,0,53,1,1
,,0.3,10,9,1,0,0,0,1,1,0,0,0,0,8,0,0
,,0.3,13,11,2,0,0,0,2,2,0,0,0,0,6,0,1
,,1.0,46,40,6,0,0,0,1,6,0,0,0,0,33,0,0
,,2.8,121,100,20,1,2,0,10,19,0,0,0,0,89,1,8
,,0.5,20,19,1,0,0,0,2,0,1,0,1,0,14,0,1
,,3.0,108,103,5,1,0,0,1,1,0,0,0,0,91,0,1
,,0.7,33,29,3,2,0,0,0,0,0,0,0,0,26,1,0
,,1.1,31,31,0,0,0,0,1,0,0,0,0,0,30,0,0
,,2.5,120,117,3,0,0,0,7,3,0,0,0,0,92,0,5
,,0.0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
,,1.0,42,32,9,0,0,0,1,9,0,0,0,0,23,1,0
,,2.2,78,78,0,0,0,1,1,0,0,0,0,0,64,0,5
,,3.0,171,165,6,6,1,0,1,0,0,0,0,0,148,0,0
,,3.0,139,118,20,12,0,0,0,0,0,0,0,0,81,1,0
,,2.6,134,108,26,11,2,2,15,3,8,1,7,0,103,0,4
,,1.8,105,101,4,4,1,2,2,0,0,0,0,0,94,0,0
,,3.0,220,190,30,3,0,0,28,9,18,5,8,0,183,0,11
,,3.0,306,278,27,5,0,1,27,2,20,8,9,1,268,1,0
,,1.0,22,19,3,0,0,0,5,2,1,0,1,0,15,0,4
,,1.7,160,140,20,7,1,0,2,12,1,1,0,0,137,0,5
,,1.9,62,61,0,0,0,0,2,0,0,0,0,0,40,1,4
,,0.8,28,26,2,0,0,0,0,0,0,0,0,0,22,0,0
,,3.0,93,78,15,4,0,0,0,0,0,0,0,0,78,0,0
,,2.9,121,98,23,1,1,0,15,18,4,1,3,0,83,0,3
,,2.2,93,74,19,0,0,1,4,19,0,0,0,0,64,0,3
,,0.5,22,18,4,3,0,0,3,0,1,1,0,0,16,0,0
,,1.7,115,110,4,3,2,0,1,1,0,0,0,0,94,1,1
,,2.0,73,68,5,1,0,0,0,4,0,0,0,0,60,0,0
,,0.0,2,1,1,0,0,0,0,1,0,0,0,0,1,0,0
,,2.2,108,93,14,1,1,0,6,13,0,0,0,0,83,1,6
,,2.9,192,179,13,4,0,2,1,2,0,0,0,0,173,0,2
,,1.6,25,25,0,0,0,0,2,0,0,0,0,0,18,0,1
,,0.5,20,19,1,1,0,0,0,0,0,0,0,0,15,0,0
,,0.7,36,33,3,0,0,0,1,0,1,0,0,0,29,0,0
,,1.8,48,47,1,0,0,1,0,1,0,0,0,0,23,0,0
,,0.6,16,16,0,0,0,0,0,0,0,0,0,0,14,0,1
,,2.4,51,51,0,0,1,0,7,0,0,0,0,0,28,0,4
,,2.7,119,104,15,9,0,1,5,1,3,2,0,0,97,0,2
,,2.6,86,84,2,0,0,1,11,1,1,1,0,0,54,0,4
,,0.3,10,9,1,0,0,0,1,0,1,1,0,0,8,0,1
,,2.0,52,41,11,5,0,0,0,0,0,0,0,0,42,0,0
,,0.5,21,21,0,0,0,0,0,0,0,0,0,0,17,0,0
,,1.4,50,50,0,0,0,0,1,0,0,0,0,0,42,0,0
,,0.2,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0
,,3.0,135,135,0,0,0,0,1,0,0,0,0,0,95,0,5
,,3.0,169,162,4,3,0,0,0,0,0,0,0,0,136,3,1
,,1.0,37,37,0,0,0,0,0,0,0,0,0,0,33,0,0
,,3.0,95,94,0,0,1,0,2,0,0,0,0,0,72,1,3
,,1.2,45,45,0,0,1,0,2,0,0,0,0,0,35,0,2
,,0.5,14,14,0,0,0,0,0,0,0,0,0,0,10,0,0
,,0.9,25,25,0,0,0,0,1,0,0,0,0,0,17,0,3
,,1.0,57,57,0,0,0,0,0,0,0,0,0,0,50,0,0
,,2.0,117,108,8,2,0,0,0,1,0,0,0,0,101,1,0
,,2.5,151,137,13,8,0,0,2,1,0,0,0,0,128,1,1
,,0.1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0
,,3.0,140,117,23,1,0,1,9,22,0,0,0,0,97,0,4
,,3.0,144,113,31,3,0,0,12,22,6,4,1,0,117,0,1
,,2.9,225,217,6,6,1,0,1,0,0,0,0,0,204,2,3
,,3.0,66,65,1,0,1,1,1,1,0,0,0,0,55,0,1
,,2.7,190,171,18,18,0,1,0,0,0,0,0,0,172,1,4
,,0.3,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0
,,0.4,18,18,0,0,0,0,3,0,0,0,0,0,16,0,0
,,0.1,11,11,0,0,0,0,0,0,0,0,0,0,7,0,1
,,0.7,12,11,1,1,0,1,0,0,0,0,0,0,12,0,0
,,3.0,92,88,4,1,0,0,2,0,0,0,0,0,67,0,4
,,3.0,300,269,31,10,2,4,12,9,12,7,2,1,270,0,3
,,2.9,50,44,3,0,0,2,1,0,0,0,0,0,32,3,4
,,2.2,164,158,6,3,0,0,0,3,0,0,0,0,148,0,1
,,0.5,17,16,1,0,0,0,2,1,0,0,0,0,13,0,0
,,2.7,104,103,1,1,0,1,0,0,0,0,0,0,98,0,0
,,3.0,113,97,16,8,0,0,0,0,0,0,0,0,98,0,0
,,3.0,154,147,7,2,0,1,0,0,0,0,0,0,138,0,3
,,0.3,5,4,1,0,0,0,0,1,0,0,0,0,5,0,0
,,3.0,148,132,16,4,0,0,4,12,0,0,0,0,111,0,4
,,1.0,42,38,4,3,0,0,1,1,0,0,0,0,28,0,1
,,0.3,8,8,0,0,0,0,0,0,0,0,0,0,6,0,1
,,0.1,4,3,1,0,0,0,0,1,0,0,0,0,4,0,0
,,0.0,9,6,3,0,0,0,2,3,0,0,0,0,6,0,0
,,1.0,25,23,2,1,0,0,0,0,0,0,0,0,24,0,0
,,2.9,143,119,24,3,2,1,21,2,12,3,4,0,110,0,4
,,0.6,41,37,4,0,0,0,1,4,0,0,0,0,36,0,0
,,3.0,128,100,27,0,1,0,3,27,0,0,0,0,101,1,0
,,2.8,105,80,23,1,0,0,0,22,0,0,0,0,69,2,1
,,0.3,8,8,0,0,0,0,0,0,0,0,0,0,7,0,0
,,3.0,107,84,23,7,0,0,0,0,0,0,0,0,84,0,0
,,0.5,20,19,1,0,0,0,0,1,0,0,0,0,18,0,0
,,0.1,5,3,2,0,0,0,0,2,0,0,0,0,3,0,0
,,2.9,83,81,2,2,0,2,0,0,0,0,0,0,70,0,2
,,3.0,143,137,6,4,0,0,0,2,0,0,0,0,104,0,0
,,1.8,63,58,5,2,0,0,1,0,0,0,0,0,48,0,1
,,2.7,81,79,2,0,0,0,5,2,0,0,0,0,58,0,4
,,2.5,155,141,12,7,0,3,0,0,0,0,0,0,134,2,1
,,1.3,20,20,0,0,0,1,1,0,0,0,0,0,16,0,0
,,3.0,215,208,6,5,0,1,0,0,0,0,0,0,196,1,0
,,3.0,123,115,6,5,0,0,0,0,0,0,0,0,103,2,2
,,2.7,81,61,20,0,0,0,2,16,0,0,0,0,55,0,1
,,1.5,86,73,12,4,1,0,10,0,8,3,3,0,69,1,4
,,3.0,113,111,2,2,0,0,0,0,0,0,0,0,96,0,0
,,1.3,27,24,2,0,0,1,1,1,1,1,0,0,17,1,0
,,0.1,4,2,2,0,0,0,0,2,0,0,0,0,4,0,0
,,0.3,11,10,1,1,0,0,0,0,0,0,0,0,7,0,0
,,1.5,56,52,4,1,0,1,6,3,0,0,0,0,42,0,5
,,2.4,74,72,1,1,0,0,0,0,0,0,0,0,48,1,2
,,2.6,46,43,3,2,2,0,2,0,0,0,0,0,35,0,1
,,3.0,146,136,10,7,0,1,0,0,0,0,0,0,127,0,0
