stat_id,player_id,ninety_s,cmp_total,att_total,cmp_percent_total,tot_dist_total,prg_dist_total,cmp_short,att_short,cmp_percent_short,cmp_medium,att_medium,cmp_percent_medium,cmp_long,att_long,cmp_percent_long,ast,xa,xag,a_xag,kp,one_third_ppa,crspa,prgp
,,1.2,46,61,75.4,891.0,248.0,19,22,86.4,21,30,70.0,6,8,75.0,0,0.9,0.6,-0.6,5,3,1,7
,,3.0,111,139,79.9,2611.0,1762.0,21,21,100.0,70,71,98.6,20,47,42.6,0,0.0,0.0,0.0,0,2,0,0
,,1.0,55,60,91.7,1473.0,461.0,14,14,100.0,22,22,100.0,19,23,82.6,0,0.0,0.0,0.0,0,10,0,10
,,0.0,1,2,50.0,18.0,0.0,0,1,0.0,1,1,100.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0
,,0.3,13,17,76.5,184.0,64.0,7,8,87.5,4,6,66.7,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0
,,1.4,28,43,65.1,556.0,193.0,13,17,76.5,7,7,100.0,7,17,41.2,0,0.6,0.6,-0.6,8,1,2,1
,,2.9,131,152,86.2,2731.0,1134.0,30,33,90.9,82,86,95.3,16,28,57.1,0,0.0,0.0,0.0,0,8,0,8
,,0.2,14,14,100.0,197.0,40.0,7,7,100.0,5,5,100.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,2
,,2.0,51,69,73.9,816.0,229.0,26,30,86.7,19,27,70.4,5,9,55.6,0,0.0,0.0,0.0,0,2,0,5
,,3.0,187,223,83.9,3360.0,1096.0,62,71,87.3,107,121,88.4,14,26,53.8,0,0.0,0.0,0.0,0,13,0,12
,,2.4,44,61,72.1,697.0,213.0,21,30,70.0,13,13,100.0,6,12,50.0,1,0.1,0.4,0.6,3,2,0,6
,,2.8,133,154,86.4,2333.0,674.0,58,63,92.1,52,54,96.3,16,20,80.0,0,0.1,0.1,-0.1,3,13,0,9
,,3.0,82,118,69.5,2176.0,1718.0,33,33,100.0,22,23,95.7,27,62,43.5,0,0.0,0.0,0.0,0,4,0,0
,,0.1,0,1,0.0,0.0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0
