stat_id,player_id,ninety_s,gls,sh,sot,sot_percent,sh_per_90,sot_per_90,g_per_sh,g_per_sot,dist,fk,pk,pkatt,xg,npxg,npxg_per_sh,g_minus_xg,npg_minus_xg
,,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,3.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,1.9,0,1,1,100.0,0.54,0.54,0.0,0.0,10.3,0,0,0,0.0,0.0,0.05,0.0,0.0
,,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,3.0,0,1,0,0.0,0.33,0.0,0.0,0.0,14.0,0,0,0,0.0,0.0,0.03,0.0,0.0
,,3.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0.9,0,3,1,33.3,3.29,1.1,0.0,0.0,21.9,0,0,0,0.1,0.1,0.02,-0.1,-0.1
,,2.2,0,6,2,33.3,2.67,0.89,0.0,0.0,17.0,0,0,0,0.7,0.7,0.11,-0.7,-0.7
,,0.7,0,1,0,0.0,1.5,0.0,0.0,0.0,30.1,0,0,0,0.0,0.0,0.03,0.0,0.0
,,0.5,0,3,1,33.3,5.87,1.96,0.0,0.0,22.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1
,,1.7,0,3,1,33.3,1.79,0.6,0.0,0.0,19.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1
,,2.8,0,1,0,0.0,0.36,0.0,0.0,0.0,16.5,0,0,0,0.0,0.0,0.02,0.0,0.0
,,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,3.0,0,1,0,0.0,0.33,0.0,0.0,0.0,31.2,0,0,0,0.0,0.0,0.02,0.0,0.0
