stat_id,player_id,mp,min,ninety_s,starts,mn_per_start,compl,subs,mn_per_subs,unsub,ppm,on_g,on_ga,plus_minus,plus_minus_per_90,onxg,onxga,xg_plus_minus,xg_plus_minus_per_90
,,3,194,2.2,3,65.0,0,0,0.0,0,0.0,1,3,-2,-0.93,1.8,4.7,-2.9,-1.35
,,3,70,0.8,0,0.0,0,3,23.0,0,1.0,1,3,-2,-2.57,1.2,2.2,-0.9,-1.21
,,3,199,2.2,3,66.0,0,0,0.0,0,1.0,3,7,-4,-1.81,3.7,6.6,-2.9,-1.31
,,3,270,3.0,3,90.0,3,0,0.0,0,0.67,5,6,-1,-0.33,4.5,6.1,-1.6,-0.52
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,1,1,0.0,0,0.0,0,1,1.0,2,3.0,0,0,0,0.0,0.0,0.0,0.0,3.99
,,3,234,2.6,3,78.0,0,0,0.0,0,0.67,4,5,-1,-0.38,3.5,4.5,-1.1,-0.41
,,3,182,2.0,2,85.0,1,1,12.0,0,2.33,2,0,2,0.99,2.5,1.8,0.7,0.36
,,3,270,3.0,3,90.0,3,0,0.0,0,1.33,7,7,0,0.0,6.3,6.0,0.3,0.11
,,2,93,1.0,1,90.0,1,1,3.0,0,2.0,3,2,1,0.97,1.2,2.4,-1.3,-1.21
,,3,131,1.5,1,75.0,0,2,28.0,0,2.0,1,2,-1,-0.69,3.1,1.9,1.1,0.76
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,3,206,2.3,2,90.0,2,1,26.0,0,1.33,6,4,2,0.87,6.2,4.0,2.2,0.95
,,1,1,0.0,0,0.0,0,1,1.0,2,0.0,0,1,-1,-90.0,0.0,0.9,-0.9,-83.59
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,1,1,0.0,0,0.0,0,1,1.0,2,3.0,0,0,0,0.0,0.0,0.0,0.0,3.05
,,3,123,1.4,1,75.0,0,2,24.0,0,3.0,7,0,7,5.12,3.3,1.4,1.9,1.38
,,3,95,1.1,0,0.0,0,3,32.0,0,2.0,4,1,3,2.84,3.5,2.2,1.3,1.27
,,0,0,0.0,0,0.0,0,0,0.0,3,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,1,19,0.2,0,0.0,0,1,19.0,1,3.0,1,1,0,0.0,0.8,0.8,0.0,-0.11
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,3,44,0.5,0,0.0,0,3,15.0,0,1.0,1,1,0,0.0,0.5,1.9,-1.4,-2.81
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0,0,0.0,0,0.0,0,0,0.0,3,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
