stat_id,player_id,mp,min,ninety_s,starts,gls,gls_per_90,ast,ast_per_90,g_a,g_a_per_90,g_pk,g_pk_per_90,pk,pkatt,crd_y,crd_r,xg,xg_per_90,npxg,npxg_per_90,xag,xag_per_90,npxg_xag,npxg_xag_per_90
,,2,120,1.3,2,0,0.0,1,0.75,1,0.75,0,0.0,0,0,0,0,0.1,0.04,0.1,0.04,0.4,0.29,0.4,0.33
,,3,124,1.4,1,2,1.45,0,0.0,2,1.45,1,0.73,1,1,0,0,2.0,1.43,1.2,0.85,0.0,0.02,1.2,0.87
,,3,194,2.2,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.3,0.15,0.3,0.15,0.0,0.01,0.3,0.16
,,3,70,0.8,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.3,0.36,0.3,0.36,0.0,0.0,0.3,0.36
,,3,199,2.2,3,0,0.0,1,0.45,1,0.45,0,0.0,0,0,0,0,0.6,0.29,0.6,0.29,0.7,0.33,1.4,0.62
,,3,270,3.0,3,1,0.33,0,0.0,1,0.33,1,0.33,0,0,0,0,1.4,0.46,1.4,0.46,0.1,0.05,1.5,0.51
,,1,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,3,234,2.6,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.2,0.06,0.2,0.06,0.2,0.06,0.3,0.12
,,3,182,2.0,2,1,0.49,0,0.0,1,0.49,0,0.0,1,1,0,0,0.8,0.39,0.0,0.0,0.0,0.0,0.0,0.0
,,3,270,3.0,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.1,0.03,0.1,0.03,0.0,0.01,0.1,0.04
,,2,93,1.0,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,3,131,1.5,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,1.3,0.86,1.3,0.86,0.2,0.16,1.5,1.02
