Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
44,Carlo Boukhalfa,MAR,MF,St. Pauli,25,1999.0,2.6,0,0,0,2,2,0,2,3,1,0,0,0,11,7,8,46.7
45,Julian Brandt,GER,MF,Dortmund,28,1996.0,4.2,0,0,0,1,3,2,13,0,0,0,0,0,10,1,1,50.0
46,Tim Breithaupt,GER,MF,Augsburg,22,2002.0,1.3,0,0,0,2,3,0,1,2,1,0,0,0,9,4,5,44.4
47,Maximilian Breunig,GER,"FW,MF",Heidenheim,24,2000.0,2.4,0,0,0,6,4,1,1,1,2,0,0,0,10,7,23,23.3
48,Moritz Broschinski,GER,FW,Bochum,24,2000.0,2.8,0,0,0,2,0,1,2,0,2,0,0,0,9,9,6,60.0
49,Jacob Bruun Larsen,DEN,"DF,FW",Hoffenheim,26,1998.0,1.0,0,0,0,0,0,0,6,1,0,0,0,0,6,1,0,100.0
50,Marius Bülter,GER,FW,Hoffenheim,31,1993.0,4.0,0,0,0,1,7,1,15,1,5,1,0,0,8,2,4,33.3
51,Jonathan Burkardt,GER,"FW,MF",Mainz 05,24,2000.0,5.0,0,0,0,4,7,4,6,0,0,1,0,0,11,5,13,27.8
52,Marnon Busch,GER,DF,Heidenheim,29,1994.0,1.7,0,0,0,1,0,0,6,1,0,0,0,0,7,1,1,50.0
53,Anthony Caci,FRA,DF,Mainz 05,27,1997.0,4.2,1,0,0,5,2,2,20,4,2,0,0,0,13,8,7,53.3
54,Emre Can,GER,"MF,DF",Dortmund,30,1994.0,3.2,1,0,0,4,4,0,4,2,1,0,0,0,4,7,3,70.0
55,Julian Chabot,GER,DF,Stuttgart,26,1998.0,4.8,1,0,0,5,3,0,0,9,6,0,0,0,19,18,5,78.3
56,El Chadaille Bitshiabu,FRA,DF,RB Leipzig,19,2005.0,1.1,0,0,0,1,0,0,0,3,3,0,0,0,6,0,2,0.0
57,Fares Chaïbi,ALG,"FW,MF",Eint Frankfurt,21,2002.0,3.1,1,0,0,2,1,0,32,3,2,0,0,0,7,4,6,40.0
58,Anrie Chase,JPN,DF,Stuttgart,20,2004.0,2.5,0,0,0,4,0,0,0,5,0,0,0,0,10,5,3,62.5
59,Fabio Chiarodia,ITA,DF,Gladbach,19,2005.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
60,Nnamdi Collins,GER,DF,Eint Frankfurt,20,2004.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
61,Kingsley Coman,FRA,"FW,MF",Bayern Munich,28,1996.0,2.3,0,0,0,3,3,0,9,1,3,0,0,0,11,1,2,33.3
62,Sirlord Conteh,GER,"FW,DF",Heidenheim,28,1996.0,1.4,0,0,0,0,2,0,6,0,2,0,0,0,6,1,0,100.0
63,Yan Couto,BRA,DF,Dortmund,22,2002.0,1.6,2,0,0,1,1,0,7,1,1,0,0,0,15,0,0,0.0
64,Tomáš Čvančara,CZE,"FW,MF",Gladbach,24,2000.0,0.9,0,0,0,0,0,0,2,0,1,0,0,0,1,1,2,33.3
65,Mahmoud Dahoud,GER,MF,Eint Frankfurt,28,1996.0,0.6,0,0,0,1,0,0,1,0,0,0,0,0,2,1,0,100.0
66,Bence Dárdai,GER,FW,Wolfsburg,18,2006.0,0.1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,100.0
67,Lukas Daschner,GER,"MF,FW",Bochum,25,1998.0,2.0,0,0,0,3,0,0,9,0,1,0,0,0,5,2,3,40.0
68,Alphonso Davies,CAN,DF,Bayern Munich,23,2000.0,3.3,0,0,0,2,4,1,1,2,1,0,0,0,15,0,1,0.0
69,Olivier Deman,BEL,DF,Werder Bremen,24,2000.0,0.2,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,100.0
70,Ermedin Demirović,BIH,FW,Stuttgart,26,1998.0,3.6,0,0,0,1,7,4,0,0,1,0,0,0,6,6,4,60.0
71,Justin Diehl,GER,DF,Stuttgart,19,2004.0,0.3,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0.0
72,Eric Dier,ENG,DF,Bayern Munich,30,1994.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,100.0
73,Junior Dina Ebimbe,FRA,"FW,MF",Eint Frankfurt,23,2000.0,1.0,0,0,0,4,1,0,4,2,0,0,0,0,2,2,1,66.7
74,Eren Dinkçi,GER,MF,Freiburg,22,2001.0,2.1,0,0,0,1,1,0,2,1,1,0,0,0,11,0,5,0.0
75,Ritsu Doan,JPN,FW,Freiburg,26,1998.0,4.6,0,0,0,2,8,1,10,3,9,0,0,0,21,2,5,28.6
76,Danilho Doekhi,NED,DF,Union Berlin,26,1998.0,5.0,2,0,0,5,3,0,0,3,4,0,0,0,12,3,10,23.1
77,Niklas Dorsch,GER,MF,Augsburg,26,1998.0,0.4,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0.0
78,Niklas Dorsch,GER,MF,Heidenheim,26,1998.0,1.4,0,1,0,1,3,0,2,0,0,0,0,0,8,1,1,50.0
79,Patrick Drewes,GER,GK,Bochum,31,1993.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,100.0
80,Tim Drexler,GER,DF,Hoffenheim,19,2005.0,3.5,2,0,0,7,2,0,1,1,7,0,0,0,10,2,9,18.2
81,Marvin Ducksch,GER,FW,Werder Bremen,30,1994.0,4.1,0,0,0,0,1,2,26,0,2,0,0,0,7,3,6,33.3
82,Julien Duranville,BEL,FW,Dortmund,18,2006.0,0.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
83,Adam Dźwigała,POL,"DF,MF",St. Pauli,29,1995.0,1.0,0,0,0,1,1,0,2,0,1,0,0,0,1,3,1,75.0
84,Johannes Eggestein,GER,FW,St. Pauli,26,1998.0,4.4,1,0,0,6,4,5,12,0,0,0,0,0,15,3,22,12.0
85,Maximilian Eggestein,GER,MF,Freiburg,27,1996.0,4.7,0,0,0,1,4,1,1,10,4,0,0,0,19,6,8,42.9
86,Hugo Ekitike,FRA,FW,Eint Frankfurt,22,2002.0,3.2,0,0,0,2,3,2,5,3,1,0,0,0,17,6,11,35.3
87,Nico Elvedi,SUI,DF,Gladbach,28,1996.0,5.0,0,0,0,3,2,0,1,8,5,0,0,0,22,7,9,43.8
88,Arne Engels,BEL,"MF,FW",Augsburg,21,2003.0,0.9,1,0,0,3,1,0,4,0,0,0,0,0,0,1,0,100.0
89,Patrick Erras,GER,DF,Holstein Kiel,29,1995.0,2.5,0,0,0,3,0,0,0,2,3,0,0,0,3,5,3,62.5
90,Samuel Essende,COD,FW,Augsburg,26,1998.0,3.6,2,1,0,14,6,2,1,0,0,0,0,0,10,10,16,38.5
91,Kilian Fischer,GER,DF,Wolfsburg,23,2000.0,5.0,1,0,0,5,0,0,8,5,12,0,0,0,15,5,0,100.0
92,Jonas Föhrenbach,GER,"DF,FW",Heidenheim,28,1996.0,5.0,0,0,0,3,0,0,13,6,9,0,0,0,11,8,4,66.7
93,Marco Friedl,AUT,DF,Werder Bremen,26,1998.0,2.7,1,1,0,2,3,1,1,5,5,0,0,0,7,2,1,66.7
94,Marvin Friedrich,GER,FW,Gladbach,28,1995.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
95,Jeremie Frimpong,NED,DF,Leverkusen,23,2000.0,3.7,2,0,0,3,4,0,8,4,5,0,0,0,16,1,3,25.0
96,Chris Führich,GER,"FW,MF",Stuttgart,26,1998.0,1.9,0,0,0,0,0,0,2,0,2,0,0,0,6,0,0,0.0
97,Aleix García,ESP,MF,Leverkusen,27,1997.0,2.1,0,0,0,1,1,0,19,1,0,0,0,0,6,0,1,0.0
98,Lutsharel Geertruida,NED,DF,RB Leipzig,24,2000.0,3.0,0,0,0,4,2,0,2,3,4,0,1,0,12,7,1,87.5
99,Dennis Geiger,GER,MF,Hoffenheim,26,1998.0,1.9,0,0,0,5,3,0,1,1,5,0,1,0,6,0,2,0.0
100,Valentin Gendrey,FRA,"DF,FW",Hoffenheim,24,2000.0,1.3,0,0,0,0,2,0,6,2,1,0,0,0,5,1,1,50.0
101,Yannick Gerhardt,GER,"FW,MF",Wolfsburg,30,1994.0,0.5,0,1,0,1,1,0,2,3,1,0,0,0,1,2,4,33.3
102,Max Geschwill,GER,DF,Holstein Kiel,23,2001.0,2.9,1,0,0,3,0,0,2,5,5,0,0,0,11,5,5,50.0
103,Dimitris Giannoulis,GRE,DF,Augsburg,28,1995.0,4.8,1,0,0,1,2,0,21,9,6,1,0,0,25,1,4,20.0
104,Armin Gigovic,BIH,MF,Holstein Kiel,22,2002.0,2.0,0,0,0,2,4,0,2,3,1,0,0,0,10,2,2,50.0
105,Benedikt Gimber,GER,DF,Heidenheim,27,1997.0,5.0,2,0,0,11,2,0,1,6,10,0,0,0,19,12,9,57.1
106,Matthias Ginter,GER,DF,Freiburg,30,1994.0,2.7,1,0,0,3,3,1,1,0,2,1,0,0,12,10,6,62.5
107,Jamie Gittens,ENG,"FW,DF",Dortmund,20,2004.0,2.5,1,0,0,4,6,1,3,2,2,0,0,0,8,1,1,50.0
108,Serge Gnabry,GER,"FW,MF",Bayern Munich,29,1995.0,3.6,0,0,0,2,0,1,10,3,5,0,0,0,14,1,2,33.3
109,Leon Goretzka,GER,DF,Bayern Munich,29,1995.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
110,Robin Gosens,GER,DF,Union Berlin,30,1994.0,1.0,1,0,0,5,0,0,1,1,0,0,0,0,1,7,4,63.6
111,Mario Götze,GER,"FW,MF",Eint Frankfurt,32,1992.0,2.5,0,0,0,3,2,0,1,1,3,0,0,0,13,0,0,0.0
112,Jeffrey Gouweleeuw,NED,DF,Augsburg,33,1991.0,5.0,3,0,0,3,0,0,9,4,3,0,0,0,17,13,5,72.2
113,Kamil Grabara,POL,GK,Wolfsburg,25,1999.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,100.0
